訓練日期,20111209 - 20120314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12096385.110000001266599
真實報酬,2096385.110000001266599

夏普值報酬,0.200938511000000
夏普值風險,0.051791501593115
夏普值,3.879758354538828

預期報酬,29623.355058346227452
風險,71453.387415723482263
趨勢值,0.414582934829868
找到最佳解世代,2709
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,5
AAPL[0](6),MCD[15](26),MSFT[18](1),NKE[19](3),PFE[20](22),
Stock#,AAPL[0](6),MCD[15](26),MSFT[18](1),NKE[19](3),PFE[20](22),
張數,35835,20635,78740,84033,99058,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,48.649999999906868,55.800000000046566,4.000000000000000,14.599999999860302,18.979999999981374,
20111209,2015050.699999999720603,2022904.850000000093132,2023622.000000000000000,2052100.459999999962747,2036651.459999999962747,10150329.469999998807907
20111212,2006091.949999999720603,2032190.600000000093132,2008661.400000000139698,2036974.519999999785796,2019811.600000000093132,10103730.070000000298023
20111213,1990324.549999999813735,2022285.800000000046566,2028346.400000000139698,1996638.679999999934807,2056463.060000000055879,10094058.490000000223517
20111214,1946247.500000000000000,2014238.150000000139698,2014960.600000000093132,1983193.399999999906868,2066368.859999999869615,10025008.509999999776483
20111215,1939797.199999999953434,2025174.699999999953434,2012598.399999999906868,1976470.759999999776483,2094105.100000000093132,10048146.160000000149012
20111216,1950547.699999999953434,2011761.949999999953434,2047244.000000000000000,1968067.459999999962747,2083208.720000000204891,10060829.830000000074506
20111219,1956639.649999999906868,2006603.199999999953434,2010236.200000000186265,1962185.149999999906868,2094105.100000000093132,10029769.299999998882413
20111220,2026876.250000000000000,2039206.500000000000000,2049606.200000000186265,1967227.129999999888241,2125803.660000000149012,10208719.740000000223517
20111221,2029743.049999999813735,2047047.800000000046566,2028346.400000000139698,2024369.569999999832362,2147596.419999999925494,10277103.240000000223517
20111222,2040493.549999999813735,2034666.799999999813735,2032283.399999999906868,1992437.030000000027940,2142643.520000000018626,10242524.300000000745058
20111223,2064861.349999999860302,2066651.050000000279397,2049606.200000000186265,2036134.189999999944121,2162455.119999999646097,10379707.910000000149012
20111227,2081345.449999999953434,2074905.050000000046566,2050393.599999999860302,2053781.119999999878928,2156511.640000000130385,10416936.859999999403954
20111228,2061277.850000000093132,2054889.100000000093132,2033070.800000000046566,2026050.229999999748543,2132737.720000000204891,10308025.699999999254942
20111229,2073820.099999999860302,2080270.150000000139698,2048818.800000000046566,2047898.810000000055879,2150568.160000000149012,10401376.019999999552965
20111230,2073461.750000000000000,2070365.350000000093132,2044094.400000000139698,2024369.569999999832362,2143634.100000000093132,10355925.169999999925494
20120103,2105354.899999999906868,2039619.200000000186265,2107873.799999999813735,2033613.199999999720603,2176323.239999999757856,10462784.339999999850988
20120104,2116463.750000000000000,2050968.449999999953434,2157480.000000000000000,2063865.079999999841675,2156511.640000000130385,10545288.919999999925494
20120105,2140114.850000000093132,2060047.850000000093132,2179527.200000000186265,2062184.419999999692664,2139671.780000000260770,10581546.100000001490116
20120106,2162332.549999999813735,2075936.799999999813735,2213385.399999999906868,2058823.099999999860302,2136700.040000000037253,10647177.890000000596046
20120109,2159107.399999999906868,2056127.199999999953434,2184251.600000000093132,2066386.069999999832362,2161464.540000000037253,10627336.809999998658895
20120110,2166632.750000000000000,2057365.300000000046566,2192125.600000000093132,2068907.060000000055879,2173351.500000000000000,10658382.210000000894070
20120111,2163049.250000000000000,2062111.350000000093132,2182676.799999999813735,2062184.419999999692664,2169389.179999999701977,10639410.999999998137355
20120112,2157315.649999999906868,2075317.750000000000000,2204724.000000000000000,2082352.339999999850988,2178304.399999999906868,10698014.140000000596046
20120113,2149073.600000000093132,2070778.049999999813735,2224409.000000000000000,2065545.739999999757856,2163445.700000000186265,10673252.089999999850988
20120117,2174158.100000000093132,2074905.050000000046566,2225196.399999999906868,2084873.329999999841675,2173351.500000000000000,10732484.380000000819564
20120118,2196734.149999999906868,2095746.400000000139698,2222834.200000000186265,2119326.859999999403954,2176323.239999999757856,10810964.849999999627471
20120119,2189925.500000000000000,2089555.900000000139698,2214172.800000000279397,2134452.799999999813735,2163445.700000000186265,10791552.699999999254942
20120120,2151582.049999999813735,2099460.700000000186265,2339369.399999999906868,2137814.120000000111759,2169389.179999999701977,10897615.449999999254942
20120123,2188133.750000000000000,2083159.050000000046566,2340944.200000000186265,2133612.469999999739230,2150568.160000000149012,10896417.629999998956919
