訓練日期,20151028 - 20160201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11452474.140000000596046
真實報酬,1452474.140000000596046

夏普值報酬,0.136547414000000
夏普值風險,0.030685611365764
夏普值,4.449884096242828

預期報酬,14462.470433139389570
風險,139640.659957352298079
趨勢值,0.103569192794967
找到最佳解世代,1933
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WMT[28](1),
Stock#,MCD[15](2),WMT[28](1),
張數,44786,86986,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,90.959999999962747,44.720000000670552,
20151028,5058221.799999999813735,5013917.760000000707805,10072139.560000000521541
20151029,5043890.280000000260770,5041753.280000001192093,10085643.560000002384186
20151030,5027319.459999999962747,4979123.360000001266599,10006442.820000000298023
20151102,5021049.419999999925494,5011308.180000000633299,10032357.600000001490116
20151103,5019705.839999999850988,5054801.180000000633299,10074507.019999999552965
20151104,5034037.360000000335276,5077417.540000000037253,10111454.900000000372529
20151105,5054191.059999999590218,5098294.180000000633299,10152485.240000000223517
20151106,5074792.620000000111759,5113081.800000000745058,10187874.420000001788139
20151109,5057773.940000000409782,5087855.860000001266599,10145629.800000000745058
20151110,5070761.879999999888241,5104383.200000000186265,10175145.080000000074506
20151111,5098977.059999999590218,5008698.600000000558794,10107675.660000000149012
20151112,5021049.419999999925494,4953897.420000000856817,9974946.839999999850988
20151113,4925207.379999999888241,4907794.840000000782311,9833002.220000000670552
20151116,4974024.120000000111759,5033924.540000000037253,10007948.660000000149012
20151117,4968649.799999999813735,5212245.840000000782311,10180895.640000000596046
20151118,5039859.540000000037253,5300101.700000000186265,10339961.240000000223517
20151119,5074344.759999999776483,5280094.920000000856817,10354439.679999999701977
20151120,5101664.219999999739230,5225293.740000001154840,10326957.960000000894070
20151123,5126744.379999999888241,5241821.080000000074506,10368565.460000000894070
20151124,5118235.040000000037253,5212245.840000000782311,10330480.880000000819564
20151125,5123609.360000000335276,5240081.360000001266599,10363690.720000002533197
20151127,5115995.740000000223517,5209636.260000000707805,10325632.000000000000000
20151130,5112860.719999999739230,5118300.960000000894070,10231161.679999999701977
20151201,5125848.660000000149012,5131348.860000001266599,10257197.520000001415610
20151202,5093154.879999999888241,5075677.820000001229346,10168832.700000001117587
20151203,5078375.500000000000000,5135698.160000000149012,10214073.660000000149012
20151204,5204224.160000000149012,5189629.480000000447035,10393853.640000000596046
20151207,5214077.080000000074506,5262697.720000000670552,10476774.800000000745058
20151208,5219003.540000000037253,5185280.180000000633299,10404283.720000000670552
20151209,5221242.839999999850988,5143526.900000001303852,10364769.740000002086163
20151210,5249010.160000000149012,5180930.880000000819564,10429941.040000000968575
20151211,5198849.839999999850988,5163533.680000000633299,10362383.519999999552965
20151214,5206911.320000000298023,5253129.260000000707805,10460040.580000001937151
20151215,5236917.940000000409782,5187889.760000000707805,10424807.700000001117587
20151216,5277673.200000000186265,5245300.520000000484288,10522973.720000000670552
20151217,5262445.959999999962747,5130479.000000000000000,10392924.960000000894070
20151218,5224825.719999999739230,5119170.820000001229346,10343996.540000000968575
20151221,5270955.299999999813735,5180061.020000000484288,10451016.320000000298023
20151222,5272298.879999999888241,5266177.160000000149012,10538476.039999999105930
20151223,5320667.759999999776483,5314019.460000000894070,10634687.220000000670552
20151224,5310366.979999999515712,5291403.100000000558794,10601770.080000000074506
20151228,5318428.459999999962747,5284444.220000000670552,10602872.679999999701977
20151229,5377545.979999999515712,5359252.180000000633299,10736798.160000000149012
20151230,5348882.940000000409782,5365341.200000000186265,10714224.140000000596046
20151231,5291109.000000000000000,5332286.520000000484288,10623395.519999999552965
20160104,5266028.839999999850988,5346204.280000001192093,10612233.120000001043081
20160105,5338582.160000000149012,5473203.840000000782311,10811786.000000000000000
20160106,5302753.360000000335276,5528005.020000000484288,10830758.380000000819564
20160107,5180039.719999999739230,5656744.300000000745058,10836784.019999999552965
20160108,5171978.240000000223517,5527135.160000000149012,10699113.400000000372529
20160111,5226169.299999999813735,5586285.640000000596046,10812454.940000001341105
20160112,5259758.799999999813735,5534094.040000000037253,10793852.839999999850988
20160113,5155855.280000000260770,5386217.840000000782311,10542073.120000001043081
20160114,5223034.280000000260770,5485381.880000000819564,10708416.160000000149012
20160115,5158542.440000000409782,5387087.700000000186265,10545630.140000000596046
20160119,5262445.959999999962747,5441888.880000000819564,10704334.839999999850988
20160120,5185414.040000000037253,5292272.960000000894070,10477687.000000000000000
20160121,5277673.200000000186265,5382738.400000001303852,10660411.600000001490116
20160122,5302753.360000000335276,5453197.060000000521541,10755950.420000001788139
20160125,5338582.160000000149012,5519306.420000000856817,10857888.580000001937151
20160126,5393668.940000000409782,5567148.720000000670552,10960817.660000000149012
20160127,5413374.780000000260770,5562799.420000000856817,10976174.200000001117587
20160128,5481001.639999999664724,5586285.640000000596046,11067287.280000001192093
20160129,5543702.040000000037253,5772435.680000000633299,11316137.720000000670552
20160201,5580874.419999999925494,5871599.720000000670552,11452474.140000000596046
