訓練日期,20130806 - 20131105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11032089.039999999105930
真實報酬,1032089.039999999105930

夏普值報酬,0.094508904000000
夏普值風險,0.029769346454789
夏普值,3.174705368273046

預期報酬,13911.034059680772771
風險,102658.212610708229477
趨勢值,0.135508243382661
找到最佳解世代,2368
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),BA[2](3),DD[7](1),MSFT[18](2),UNH[23](19),
20131022,2215031.040000000037253,2278687.919999999925494,2277955.560000000055879,2181702.080000000074506,1877830.399999999906868,10831207.000000000000000
20131023,2236504.319999999366701,2400358.080000000074506,2249852.020000000018626,2129967.459999999962747,1854650.900000000139698,10871332.779999999329448
20131024,2266328.319999999366701,2399613.919999999925494,2227138.200000000186265,2127443.820000000298023,1843742.899999999906868,10864267.160000000149012
20131025,2240977.919999999925494,2440728.759999999776483,2166696.339999999850988,2254256.729999999515712,1844015.600000000093132,10946675.349999999627471
20131028,2257679.360000000335276,2416357.520000000018626,2144367.500000000000000,2244162.169999999925494,1825472.000000000000000,10888038.550000000745058
20131029,2201312.000000000000000,2412264.640000000130385,2163231.520000000018626,2241007.620000000111759,1856559.799999999813735,10874375.580000001937151
20131030,2236504.319999999366701,2412636.720000000204891,2152452.079999999608845,2242269.440000000409782,1854650.900000000139698,10898513.459999999031425
20131031,2226960.639999999664724,2427892.000000000000000,2164001.479999999981374,2234067.609999999403954,1861468.400000000139698,10914390.129999998956919
20131101,2215627.519999999552965,2474960.120000000111759,2135512.959999999962747,2241638.530000000260770,1871558.299999999813735,10939297.429999999701977
20131104,2244258.559999999590218,2470495.159999999683350,2105484.520000000018626,2267505.839999999850988,1880284.699999999953434,10968028.779999997466803
20131105,2238592.000000000000000,2485006.279999999795109,2122808.620000000111759,2311669.540000000037253,1874012.599999999860302,11032089.039999999105930
