訓練日期,20180307 - 20180607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11313875.589999999850988
真實報酬,1313875.589999999850988

夏普值報酬,0.122687559000000
夏普值風險,0.031439826401779
夏普值,3.902297596435112

預期報酬,17492.991210270651209
風險,119778.036097909134696
趨勢值,0.146045066192031
找到最佳解世代,2421
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](2),MCD[15](4),MRK[17](1),NKE[19](3),
Stock#,CVX[5](2),MCD[15](4),MRK[17](1),NKE[19](3),
張數,21997,16534,46040,38320,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,40.949999999720603,59.200000000186265,28.000000000000000,3.200000000186265,
20180307,2504179.429999999701977,2519510.120000000111759,2507826.799999999813735,2458997.600000000093132,9990513.949999999254942
20180308,2493400.899999999441206,2553570.160000000149012,2521178.399999999906868,2495018.400000000372529,10063167.859999999403954
20180309,2578529.289999999571592,2599865.360000000335276,2538673.600000000093132,2540619.200000000186265,10257687.449999999254942
20180312,2569070.580000000074506,2608132.360000000335276,2548802.399999999906868,2560545.600000000093132,10286550.939999999478459
20180313,2561811.569999999366701,2616068.680000000167638,2549262.799999999813735,2535637.600000000093132,10262780.650000000372529
20180314,2532555.559999999590218,2616399.360000000335276,2523020.000000000000000,2536787.200000000186265,10208762.120000001043081
20180315,2542454.209999999497086,2672118.940000000409782,2543738.000000000000000,2544068.000000000000000,10302379.150000000372529
20180316,2538494.750000000000000,2684519.440000000409782,2563074.800000000279397,2525674.399999999906868,10311763.390000000596046
20180319,2505279.279999999795109,2629130.540000000037253,2515193.200000000186265,2518010.399999999906868,10167613.419999999925494
20180320,2518697.449999999720603,2635248.120000000111759,2515653.600000000093132,2559779.200000000186265,10229378.370000001043081
20180321,2574569.830000000074506,2623343.640000000130385,2517955.600000000093132,2542535.200000000186265,10258404.269999999552965
20180322,2501099.849999999627471,2596558.560000000055879,2491712.799999999813735,2468577.600000000093132,10057948.810000000521541
20180323,2485262.009999999776483,2562498.520000000018626,2459024.399999999906868,2476624.799999999813735,9983409.730000000447035
20180326,2537394.899999999441206,2612596.540000000037253,2488029.600000000093132,2525291.200000000186265,10163312.239999998360872
20180327,2522216.969999999739230,2603833.520000000018626,2474678.000000000000000,2535637.600000000093132,10136366.089999999850988
20180328,2465904.649999999441206,2619210.140000000130385,2536371.600000000093132,2507664.000000000000000,10129150.389999998733401
20180329,2508578.830000000074506,2585646.120000000111759,2507826.799999999813735,2545984.000000000000000,10148035.750000000000000
20180402,2468984.229999999515712,2607801.680000000167638,2452578.800000000279397,2457081.600000000558794,9986446.310000002384186
20180403,2525956.459999999497086,2652112.800000000279397,2490331.600000000093132,2555947.200000000186265,10224348.059999998658895
20180404,2518257.509999999776483,2674103.020000000018626,2511049.600000000093132,2621857.600000000093132,10325267.729999998584390
20180405,2580069.080000000074506,2710808.500000000000000,2510589.200000000186265,2666692.000000000465661,10468158.780000001192093
20180406,2524416.669999999925494,2666166.700000000186265,2456722.399999999906868,2588519.200000000186265,10235824.969999998807907
20180409,2551253.009999999776483,2665836.020000000018626,2585634.399999999906868,2574340.800000000279397,10377064.230000000447035
20180410,2614384.399999999441206,2691298.380000000353903,2600827.600000000093132,2567443.200000000186265,10473953.579999998211861
20180411,2623183.199999999720603,2700722.760000000242144,2587476.000000000000000,2560928.800000000279397,10472310.759999999776483
20180412,2622743.259999999776483,2672284.280000000260770,2612337.600000000093132,2596949.600000000093132,10504314.740000000223517
20180413,2637921.189999999944121,2674103.020000000018626,2632134.800000000279397,2577023.200000000186265,10521182.210000000894070
20180416,2655078.849999999627471,2672449.620000000111759,2700274.000000000000000,2569742.400000000372529,10597544.870000001043081
20180417,2655078.849999999627471,2687660.900000000372529,2728818.800000000279397,2586986.400000000372529,10658544.950000001117587
20180418,2723709.489999999757856,2675425.740000000223517,2712704.800000000279397,2536787.200000000186265,10648627.230000000447035
20180419,2721289.819999999366701,2637728.220000000204891,2699813.600000000093132,2518776.800000000279397,10577608.439999999478459
20180420,2690494.019999999552965,2625162.380000000353903,2708561.199999999720603,2532572.000000000465661,10556789.599999999627471
20180423,2718430.209999999497086,2628799.860000000335276,2773938.000000000000000,2562844.799999999813735,10684012.870000001043081
20180424,2695553.330000000074506,2601188.080000000074506,2766571.600000000093132,2566293.600000000093132,10629606.609999999403954
20180425,2699512.789999999571592,2578371.160000000149012,2745393.200000000186265,2554797.600000000093132,10578074.750000000000000
20180426,2732508.289999999571592,2627311.800000000279397,2735264.399999999906868,2607679.200000000186265,10702763.690000001341105
20180427,2785301.089999999850988,2617391.400000000372529,2738026.799999999813735,2665542.400000000372529,10806261.690000001341105
20180430,2752085.619999999646097,2768512.160000000149012,2710402.799999999813735,2620708.000000000000000,10851708.579999998211861
20180501,2746586.369999999646097,2702376.160000000149012,2669427.199999999720603,2609595.200000000186265,10727984.929999999701977
