訓練日期,20151223 - 20160329
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11450492.679999999701977
真實報酬,1450492.679999999701977

夏普值報酬,0.136349268000000
夏普值風險,0.045995867577011
夏普值,2.964380827727811

預期報酬,22954.223606042814936
風險,184406.572608712507645
趨勢值,0.124476168508098
找到最佳解世代,2659
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](2),WMT[28](1),
Stock#,VZ[26](2),WMT[28](1),
張數,107898,82590,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.679999999701977,1.400000000372529,
20151223,5065817.780000000260770,5045424.500000000931323,10111242.280000001192093
20151224,5039922.259999999776483,5023951.100000000558794,10063873.359999999403954
20151228,5044238.179999999701977,5017343.900000000372529,10061582.080000000074506
20151229,5093871.259999999776483,5088371.300000000745058,10182242.560000000521541
20151230,5046396.139999999664724,5094152.600000000558794,10140548.740000000223517
20151231,4987052.239999999292195,5062768.400000000372529,10049820.640000000596046
20160104,4949287.939999999478459,5075982.800000000745058,10025270.740000000223517
20160105,5017263.679999999701977,5196564.200000000186265,10213827.879999998956919
20160106,4911523.639999999664724,5248595.900000000372529,10160119.539999999105930
20160107,4884549.139999999664724,5370829.100000000558794,10255378.240000000223517
20160108,4837074.019999999552965,5247770.000000000000000,10084844.019999999552965
20160111,4865127.500000000000000,5303931.200000000186265,10169058.699999999254942
20160112,4847863.819999999366701,5254377.200000000186265,10102241.019999999552965
20160113,4763703.379999999888241,5113974.200000000186265,9877677.580000000074506
20160114,4841389.939999999478459,5208126.800000000745058,10049516.740000000223517
20160115,4793914.819999999366701,5114800.100000000558794,9908714.919999999925494
20160119,4841389.939999999478459,5166831.800000000745058,10008221.740000000223517
20160120,4792835.839999999850988,5024777.000000000931323,9817612.839999999850988
20160121,4949287.939999999478459,5110670.600000000558794,10059958.539999999105930
20160122,5075528.599999999627471,5177568.500000000000000,10253097.099999999627471
20160125,5074449.620000000111759,5240336.900000000372529,10314786.519999999552965
20160126,5206085.179999999701977,5285761.400000000372529,10491846.580000000074506
20160127,5290245.620000000111759,5281631.900000000372529,10571877.519999999552965
20160128,5288087.659999999217689,5303931.200000000186265,10592018.859999999403954
20160129,5391669.739999999292195,5480673.800000000745058,10872343.539999999105930
20160201,5476909.159999999217689,5574826.400000000372529,11051735.559999998658895
20160202,5385195.859999999403954,5521968.800000000745058,10907164.660000000149012
20160203,5461803.439999999478459,5473240.700000000186265,10935044.140000000596046
20160204,5441302.819999999366701,5485629.200000000186265,10926932.019999999552965
20160205,5499567.739999999292195,5533531.400000000372529,11033099.140000000596046
20160208,5474751.200000000186265,5525272.400000001303852,11000023.600000001490116
20160209,5411091.379999999888241,5435249.300000000745058,10846340.679999999701977
20160210,5392748.719999999739230,5433597.500000000931323,10826346.220000000670552
20160211,5329088.899999999441206,5394780.200000000186265,10723869.099999999627471
20160212,5406775.459999999962747,5465807.600000000558794,10872583.060000000521541
20160216,5420802.200000000186265,5442682.400000001303852,10863484.600000001490116
20160217,5429434.040000000037253,5460026.300000000745058,10889460.339999999850988
20160218,5496330.799999999813735,5295672.200000001117587,10792003.000000000000000
20160219,5487698.959999999962747,5340270.799999999813735,10827969.759999999776483
20160222,5510357.540000000037253,5420383.099999999627471,10930740.640000000596046
20160223,5462882.419999999925494,5490584.600000000558794,10953467.019999999552965
20160224,5483383.040000000037253,5543442.200000001117587,11026825.240000002086163
20160225,5514673.459999999962747,5619425.000000000931323,11134098.460000000894070
20160226,5504962.639999999664724,5493062.300000000745058,10998024.940000001341105
20160229,5473672.219999999739230,5479022.000000000931323,10952694.220000000670552
20160301,5552437.759999999776483,5488932.799999999813735,11041370.559999998658895
20160302,5623650.439999999478459,5468285.299999999813735,11091935.739999998360872
20160303,5598833.899999999441206,5462504.000000000000000,11061337.899999998509884
20160304,5590202.059999999590218,5515361.600000000558794,11105563.660000000149012
20160307,5633361.259999999776483,5607036.500000000000000,11240397.759999999776483
20160308,5660335.759999999776483,5619425.000000000931323,11279760.760000001639128
20160309,5647388.000000000000000,5577304.100000000558794,11224692.100000001490116
20160310,5645230.040000000037253,5567393.299999999813735,11212623.339999999850988
20160311,5667888.620000000111759,5547571.700000000186265,11215460.320000000298023
20160314,5668967.599999999627471,5563263.800000000745058,11232231.400000000372529
20160315,5682994.339999999850988,5623554.500000000931323,11306548.839999999850988
20160316,5741259.259999999776483,5615295.500000000000000,11356554.759999999776483
20160317,5786576.419999999925494,5570696.900000000372529,11357273.320000000298023
20160318,5744496.200000000186265,5529401.900000000372529,11273898.100000001490116
20160321,5766075.799999999813735,5613643.700000000186265,11379719.500000000000000
20160322,5741259.259999999776483,5605384.700000001117587,11346643.960000000894070
20160323,5708889.859999999403954,5571522.799999999813735,11280412.660000000149012
20160324,5779023.559999999590218,5616121.400000000372529,11395144.960000000894070
20160328,5761759.879999999888241,5626032.200000001117587,11387792.080000001937151
20160329,5831893.579999999143183,5618599.100000000558794,11450492.679999999701977
