訓練日期,20180206 - 20180509
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11817666.079999998211861
真實報酬,1817666.079999998211861

夏普值報酬,0.173066608000000
夏普值風險,0.045400990838723
夏普值,3.811956629201799

預期報酬,24765.307210163846321
風險,203639.417193841538392
趨勢值,0.121613524294219
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](2),INTC[11](1),
Stock#,CVX[5](2),INTC[11](1),
張數,44397,112309,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.859999999403954,3.319999999366701,
20180206,5202450.319999999366701,5043800.509999998845160,10246250.829999998211861
20180207,5118539.989999999292195,5076370.120000000111759,10194910.109999999403954
20180208,4985792.959999999031425,4801213.069999999366701,9787006.029999997466803
20180209,5039069.359999999403954,4935983.870000000111759,9975053.230000000447035
20180212,5060379.919999999925494,5034815.789999999105930,10095195.709999999031425
20180213,5029745.989999999292195,4993261.459999999031425,10023007.449999999254942
20180214,5044840.969999998807907,5096585.739999999292195,10141426.709999997168779
20180215,4996004.269999999552965,5157232.599999999627471,10153236.869999999180436
20180216,4978689.439999999478459,5116801.359999999403954,10095490.799999998882413
20180220,4927188.919999999925494,5202156.199999999254942,10129345.119999999180436
20180221,4841946.679999999701977,5159478.779999999329448,10001425.459999999031425
20180222,4878796.189999999478459,5143755.519999998621643,10022551.709999997168779
20180223,4998668.089999999850988,5360511.889999998733401,10359179.979999998584390
20180226,5087906.059999999590218,5515498.309999999590218,10603404.369999999180436
20180227,5043953.029999999329448,5605345.509999998845160,10649298.539999999105930
20180228,4968922.099999999627471,5535713.929999999701977,10504636.029999999329448
20180301,4974249.739999999292195,5372865.879999999888241,10347115.619999999180436
20180302,4956490.939999999478459,5500898.139999998733401,10457389.079999998211861
20180305,5023530.409999999217689,5587376.069999999366701,10610906.479999998584390
20180306,5045728.909999999217689,5695192.709999999031425,10740921.619999997317791
20180307,5054164.339999999850988,5763701.199999999254942,10817865.539999999105930
20180308,5032409.809999999590218,5698561.979999999515712,10730971.789999999105930
20180309,5204226.199999999254942,5861410.029999999329448,11065636.229999998584390
20180312,5185135.489999999292195,5786163.000000000000000,10971298.489999998360872
20180313,5170484.479999999515712,5815363.339999999850988,10985847.820000000298023
20180314,5111436.469999998807907,5824348.059999999590218,10935784.529999997466803
20180315,5131415.119999999180436,5714285.239999999292195,10845700.359999999403954
20180316,5123423.659999999217689,5746854.849999999627471,10870278.509999997913837
20180319,5056384.189999999478459,5708669.789999999105930,10765053.979999998584390
20180320,5083466.359999999403954,5789532.269999998621643,10872998.629999998956919
20180321,5196234.739999999292195,5790655.359999999403954,10986890.099999997764826
20180322,5047948.759999999776483,5708669.789999999105930,10756618.549999998882413
20180323,5015982.919999999925494,5543575.559999999590218,10559558.480000000447035
20180326,5121203.809999999590218,5893979.639999998733401,11015183.449999999254942
20180327,5090569.879999998956919,5749101.029999999329448,10839670.909999998286366
20180328,4976913.559999999590218,5570529.719999999739230,10547443.279999999329448
20180329,5063043.739999999292195,5849056.039999999105930,10912099.779999997466803
20180402,4983129.139999998733401,5494159.599999999627471,10477288.739999998360872
20180403,5098117.369999999180436,5587376.069999999366701,10685493.439999997615814
20180404,5082578.419999999925494,5614330.229999999515712,10696908.649999998509884
20180405,5207333.989999999292195,5658130.739999999292195,10865464.729999998584390
20180406,5095009.580000000074506,5479559.429999999701977,10574569.009999999776483
20180409,5149173.919999999925494,5564914.269999998621643,10714088.189999997615814
20180410,5276593.309999999590218,5758085.750000000000000,11034679.059999998658895
20180411,5294352.109999999403954,5738993.219999999739230,11033345.329999998211861
20180412,5293464.169999999925494,5920933.799999998882413,11214397.969999998807907
20180413,5324098.099999999627471,5824348.059999999590218,11148446.160000000149012
20180416,5358727.759999999776483,5884994.919999998994172,11243722.679999999701977
20180417,5358727.759999999776483,6013027.179999999701977,11371754.939999999478459
20180418,5497246.399999999441206,6020888.809999999590218,11518135.209999999031425
20180419,5492362.729999999515712,5864779.299999998882413,11357142.029999997466803
20180420,5430206.929999999701977,5787286.089999999850988,11217493.019999999552965
20180423,5486591.119999999180436,5738993.219999999739230,11225584.339999999850988
20180424,5440418.239999999292195,5778301.370000000111759,11218719.609999999403954
20180425,5448409.699999999254942,5770439.739999999292195,11218849.439999997615814
20180426,5515005.199999999254942,5957995.769999998621643,11473000.969999998807907
20180427,5621558.000000000000000,5922056.889999998733401,11543614.889999998733401
20180430,5554518.529999999329448,5797393.899999999441206,11351912.429999999701977
20180501,5543419.279999999329448,5989442.289999999105930,11532861.569999998435378
20180502,5571389.389999998733401,5874887.109999999403954,11446276.499999998137355
20180503,5594475.830000000074506,5871517.839999999850988,11465993.669999999925494
20180504,5573165.269999999552965,5927672.339999999850988,11500837.609999999403954
20180507,5546971.039999999105930,5989442.289999999105930,11536413.329999998211861
20180508,5619338.149999999441206,6023134.989999999292195,11642473.139999998733401
20180509,5714791.699999999254942,6102874.379999999888241,11817666.079999998211861
