訓練日期,20180521 - 20180821
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11307640.679999999701977
真實報酬,1307640.679999999701977

夏普值報酬,0.122064068000000
夏普值風險,0.035693270086869
夏普值,3.419806246469532

預期報酬,19956.264206267005648
風險,79718.191242152752238
趨勢值,0.250335135498091
找到最佳解世代,2402
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MSFT[18](5),PG[21](1),VZ[26](3),
Stock#,MSFT[18](5),PG[21](1),VZ[26](3),
張數,34592,45382,69822,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.879999999888241,25.100000000093132,30.719999999739230,
20180521,3376227.079999999608845,3361016.020000000018626,3381510.179999999701977,10118754.279999999329448
20180522,3372767.879999999888241,3359654.560000000055879,3408042.540000000037253,10140465.980000000447035
20180523,3412894.599999999627471,3366461.860000000335276,3392681.700000000186265,10172039.160000000149012
20180524,3400787.399999999906868,3347855.239999999757856,3396172.799999999813735,10144816.439999999478459
20180525,3402517.000000000000000,3372361.520000000018626,3387794.160000000149012,10162673.679999999701977
20180529,3390409.800000000279397,3360562.200000000186265,3365451.120000000111759,10116424.120000001043081
20180530,3422926.279999999795109,3398683.080000000074506,3393379.919999999925494,10214990.279999999329448
20180531,3419121.160000000149012,3320626.040000000037253,3328445.459999999962747,10068193.660000000149012
20180601,3486575.560000000055879,3333333.000000000000000,3338220.540000000037253,10158130.100000001490116
20180604,3517016.520000000018626,3366461.860000000335276,3338918.759999999776483,10222398.140000000596046
20180605,3535004.359999999869615,3356931.640000000130385,3349392.059999999590218,10241329.059999998658895
20180606,3545381.959999999497086,3374176.799999999813735,3380113.739999999292195,10299673.500000000000000
20180607,3489688.839999999850988,3438165.420000000391155,3422006.939999999478459,10349862.199999999254942
20180608,3515632.839999999850988,3502607.860000000335276,3433876.679999999701977,10452118.379999998956919
20180611,3495569.479999999981374,3518491.560000000055879,3442255.319999999366701,10456317.359999999403954
20180612,3504563.399999999906868,3505330.779999999795109,3408042.540000000037253,10417937.719999998807907
20180613,3488651.079999999608845,3470386.640000000130385,3309593.519999999552965,10268632.239999998360872
20180614,3508368.520000000018626,3448603.279999999795109,3338918.759999999776483,10295891.559999998658895
20180615,3463744.839999999850988,3511684.259999999776483,3355676.040000000037253,10331106.140000000596046
20180618,3488997.000000000000000,3441795.980000000447035,3313782.839999999850988,10244576.820000000298023
20180619,3488997.000000000000000,3464033.160000000149012,3386397.719999999739230,10339428.879999998956919
20180620,3523934.919999999925494,3442249.799999999813735,3357770.700000000186265,10323956.419999999925494
20180621,3498682.759999999776483,3469025.180000000167638,3395474.580000000074506,10363183.519999999552965
20180622,3473430.599999999627471,3513953.360000000335276,3474373.439999999478459,10461758.399999998509884
20180625,3403554.759999999776483,3530290.880000000353903,3463201.919999999925494,10397048.560000000521541
20180626,3427423.239999999757856,3539821.100000000093132,3442255.319999999366701,10409500.660000000149012
20180627,3374151.560000000055879,3525752.680000000167638,3442953.540000000037253,10342858.780000001192093
20180628,3411856.839999999850988,3542090.200000000186265,3551177.639999999664724,10505125.679999999701977
20180629,3411165.000000000000000,3542544.020000000018626,3512775.540000000037253,10466485.559999998658895
20180702,3459593.800000000279397,3545720.759999999776483,3520455.959999999962747,10525771.519999999552965
20180703,3426385.479999999981374,3535282.900000000372529,3540006.120000000111759,10501675.500000000000000
20180705,3450945.800000000279397,3594733.319999999832362,3580502.879999999888241,10626183.000000000000000
20180706,3499374.599999999627471,3599271.520000000018626,3594467.279999999329448,10693114.399999998509884
20180709,3523243.079999999608845,3533467.620000000111759,3542799.000000000000000,10599510.699999999254942
20180710,3532582.919999999925494,3622416.339999999850988,3584692.200000000186265,10739692.460000000894070
20180711,3527740.040000000037253,3592464.219999999739230,3584692.200000000186265,10704897.460000000894070
20180712,3604188.359999999869615,3580211.080000000074506,3577710.000000000000000,10762110.439999999478459
20180713,3647082.439999999944121,3599271.520000000018626,3589579.739999999292195,10835934.699999999254942
20180716,3629094.599999999627471,3609255.560000000055879,3602147.700000000186265,10840498.859999999403954
20180717,3665070.279999999795109,3631946.560000000055879,3590976.179999999701977,10887994.019999999552965
20180718,3636358.919999999925494,3617878.140000000130385,3570727.799999999813735,10824965.859999999403954
20180719,3611452.680000000167638,3572949.960000000428408,3543497.219999999739230,10727900.859999999403954
20180720,3676139.719999999739230,3570680.860000000335276,3534420.359999999403954,10781241.939999999478459
20180723,3734946.119999999646097,3562965.920000000391155,3543497.219999999739230,10841410.259999999776483
20180724,3724222.599999999627471,3584749.279999999795109,3596561.939999999478459,10905534.819999998435378
20180725,3833879.239999999757856,3606532.640000000130385,3554668.739999999292195,10995081.619999999180436
20180726,3792022.919999999925494,3634669.480000000447035,3573520.679999999701977,11000214.080000000074506
20180727,3724914.439999999944121,3656906.660000000149012,3631472.939999999478459,11013295.039999999105930
20180730,3645006.919999999925494,3639661.500000000000000,3664987.500000000000000,10949656.919999999925494
20180731,3669567.239999999757856,3670521.259999999776483,3605638.799999999813735,10945728.300000000745058
20180801,3676485.640000000130385,3660083.400000000372529,3611922.779999999329448,10948492.820000000298023
20180802,3721109.319999999832362,3721349.100000000093132,3629378.279999999329448,11071837.699999999254942
20180803,3737367.560000000055879,3736325.160000000149012,3649626.660000000149012,11123320.380000000819564
20180806,3740480.839999999850988,3744947.739999999757856,3664289.279999999329448,11149718.859999999403954
20180807,3766424.839999999850988,3750393.580000000074506,3662892.839999999850988,11179712.259999999776483
20180808,3787525.959999999497086,3737232.799999999813735,3679650.120000000111759,11204409.879999998956919
20180809,3793752.520000000018626,3694119.900000000372529,3701294.939999999478459,11189168.359999999403954
20180810,3770575.879999999888241,3695481.360000000335276,3663591.059999999590218,11129649.300000000745058
20180813,3743248.199999999720603,3699565.739999999757856,3646135.559999999590218,11088950.500000000000000
20180814,3789947.399999999906868,3690035.520000000018626,3691519.859999999403954,11171503.779999999329448
20180815,3724222.599999999627471,3734963.700000000186265,3717354.000000000000000,11176541.300000000745058
20180816,3723530.759999999776483,3798044.680000000167638,3789270.660000000149012,11310847.099999999627471
20180817,3721455.239999999757856,3798044.680000000167638,3825578.099999999627471,11345079.019999999552965
20180820,3696894.919999999925494,3795775.580000000074506,3815803.019999999552965,11308474.519999999552965
20180821,3666108.040000000037253,3807574.900000000372529,3833956.739999999292195,11307640.679999999701977
