訓練日期,20130722 - 20131021
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11891439.379999998956919
真實報酬,1891439.379999998956919

夏普值報酬,0.180443938000000
夏普值風險,0.044237606401447
夏普值,4.078971551094063

預期報酬,25079.293943735650828
風險,133160.970885134825949
趨勢值,0.188338172792155
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](5),DD[7](1),NKE[19](2),
Stock#,AAPL[0](3),BA[2](5),DD[7](1),NKE[19](2),
張數,41179,23373,50638,78914,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.910000000149012,23.919999999925494,1.939999999944121,4.479999999981374,
20130722,2507824.010000000242144,2497662.699999999720603,2494429.819999999832362,2497632.580000000074506,9997549.109999999403954
20130723,2464997.850000000093132,2519399.589999999850988,2491391.540000000037253,2493686.879999999888241,9969475.859999999403954
20130724,2591417.380000000353903,2499766.270000000018626,2478732.040000000037253,2471590.959999999962747,10041506.650000000372529
20130725,2579475.470000000204891,2493923.020000000018626,2523293.479999999981374,2466066.979999999981374,10062758.950000001117587
20130726,2594299.910000000149012,2468212.719999999739230,2502531.899999999906868,2467645.259999999776483,10032689.789999999105930
20130729,2634243.540000000037253,2449748.049999999813735,2523799.860000000335276,2474747.520000000018626,10082538.970000000670552
20130730,2666774.950000000186265,2471251.209999999962747,2528357.279999999795109,2480271.500000000000000,10146654.939999999478459
20130731,2662245.260000000242144,2456526.219999999739230,2526838.139999999664724,2482638.919999999925494,10128248.539999999105930
20130801,2686540.870000000111759,2493923.020000000018626,2552663.519999999552965,2603377.340000000316650,10336504.750000000000000
20130802,2721131.229999999981374,2521970.620000000111759,2611909.979999999981374,2616003.580000000074506,10471015.410000000149012
20130805,2761486.650000000372529,2512621.419999999925494,2630646.040000000037253,2619949.280000000260770,10524703.390000000596046
20130806,2736779.250000000000000,2501869.839999999850988,2600263.240000000223517,2625473.260000000242144,10464385.589999999850988
20130807,2735543.880000000353903,2487378.580000000074506,2616973.779999999795109,2589961.959999999962747,10429858.199999999254942
20130808,2712071.850000000093132,2473822.240000000223517,2661535.220000000204891,2606533.899999999906868,10453963.210000000894070
20130809,2673363.590000000316650,2461902.009999999776483,2743062.399999999906868,2616792.719999999739230,10495120.719999998807907
20130812,2749544.739999999757856,2436425.439999999944121,2702552.000000000000000,2624684.119999999646097,10513206.299999998882413
20130813,2880082.169999999925494,2482937.709999999962747,2731415.659999999683350,2597064.219999999739230,10691499.759999997913837
20130814,2932379.500000000000000,2434555.599999999627471,2722300.819999999832362,2538667.860000000335276,10627903.780000001192093
20130815,2929085.180000000167638,2401132.209999999962747,2679258.519999999552965,2505523.979999999981374,10514999.890000000596046
20130816,2955027.950000000186265,2418428.229999999981374,2660016.080000000074506,2511837.099999999627471,10545309.359999999403954
