訓練日期,20120619 - 20120919
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11281566.629999998956919
真實報酬,1281566.629999998956919

夏普值報酬,0.119456663000000
夏普值風險,0.033542340452676
夏普值,3.561369343577532

預期報酬,18929.191678108141787
風險,76904.369659583579050
趨勢值,0.246139351533574
找到最佳解世代,1694
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](7),HD[9](14),MRK[17](10),PFE[20](4),WMT[28](11),
Stock#,AAPL[0](7),HD[9](14),MRK[17](10),PFE[20](4),WMT[28](11),
張數,23900,38226,51480,88417,29359,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,47.999999999767169,15.679999999934807,2.000000000000000,7.459999999962747,64.919999999925494,
20120619,2005735.999999999767169,2024846.899999999906868,2019562.399999999906868,2007957.530000000027940,1990898.709999999962747,10049001.539999999105930
20120620,2000000.000000000000000,2019495.259999999776483,2018532.800000000046566,2004420.850000000093132,2011743.599999999860302,10054192.509999999776483
20120621,1972275.999999999767169,1959480.439999999944121,2030888.000000000232831,1998231.660000000149012,1987669.219999999972060,9948545.320000000298023
20120622,1987571.999999999767169,1988532.199999999953434,2068468.399999999906868,2009725.870000000111759,1975925.619999999878928,10030224.089999999850988
20120625,1948854.000000000000000,1969419.199999999953434,2047876.400000000139698,1986737.449999999953434,2001761.540000000037253,9954648.589999999850988
20120626,1953155.999999999767169,1983180.560000000055879,2062805.600000000093132,1984084.940000000176951,2013505.139999999897555,9996732.240000000223517
20120627,1961520.999999999534339,1970565.979999999748543,2086486.400000000139698,1999115.829999999841675,2013798.729999999981374,10031487.939999999478459
20120628,1942879.000000000000000,1975917.619999999878928,2094208.399999999906868,1992042.469999999972060,2005284.619999999878928,10010332.109999999403954
20120629,1994025.000000000000000,2025611.419999999925494,2149292.000000000000000,2033598.459999999962747,2046974.399999999906868,10249501.279999999329448
20120702,2023183.000000000000000,2026375.939999999944121,2154440.000000000000000,2033598.459999999962747,2036111.569999999832362,10273708.969999998807907
20120703,2046604.999999999767169,1974388.579999999841675,2152380.800000000279397,2022104.250000000000000,2077214.169999999925494,10272692.800000000745058
20120705,2082454.999999999767169,1991972.539999999804422,2143114.399999999906868,2004420.850000000093132,2086902.639999999897555,10308865.429999999701977
20120706,2068592.999999999767169,1993501.579999999841675,2136936.799999999813735,1992926.639999999897555,2095123.159999999916181,10287081.179999997839332
20120709,2096077.999999999767169,1992354.799999999813735,2168854.399999999906868,2002652.509999999776483,2106866.760000000242144,10366806.469999998807907
20120710,2076718.999999999767169,1996177.399999999906868,2129729.600000000093132,1984084.940000000176951,2117142.409999999683350,10303853.349999999627471
20120711,2063812.999999999534339,1975153.100000000093132,2121492.799999999813735,1975243.239999999990687,2121546.260000000242144,10257248.400000000372529
20120712,2044931.999999999767169,1970565.979999999748543,2209008.799999999813735,2004420.850000000093132,2123014.209999999962747,10351941.839999999850988
20120713,2065485.999999999767169,1991208.020000000018626,2237837.600000000093132,2016799.229999999748543,2148556.540000000037253,10459887.389999998733401
20120716,2072177.999999999767169,1966743.380000000121072,2231660.000000000000000,2045092.669999999925494,2142684.740000000223517,10458358.789999999105930
20120717,2072416.999999999534339,1938838.399999999906868,2274903.199999999720603,2088417.000000000000000,2146207.819999999832362,10520783.419999999925494
20120718,2070026.999999999767169,1946101.339999999850988,2262033.199999999720603,2092837.850000000093132,2138868.069999999832362,10509867.459999999031425
20120719,2097512.000000000000000,1948012.639999999897555,2262033.199999999720603,2104332.060000000055879,2100114.189999999944121,10512004.089999999850988
20120720,2063334.999999999767169,1938073.880000000121072,2234748.799999999813735,2095490.359999999869615,2121252.669999999925494,10452900.709999999031425
20120723,2061662.000000000000000,1948012.639999999897555,2227541.600000000093132,2086648.660000000149012,2109509.069999999832362,10433373.970000000670552
20120724,2051862.999999999534339,1956040.100000000093132,2197683.199999999720603,2067196.919999999925494,2118023.180000000167638,10390806.399999998509884
20120725,1963193.999999999767169,1952217.500000000000000,2194079.600000000093132,2062776.069999999832362,2116261.639999999664724,10288528.809999998658895
20120726,1962954.999999999767169,2022553.339999999850988,2230630.399999999906868,2076922.789999999804422,2162942.450000000186265,10456003.980000000447035
20120727,1997848.999999999767169,2053134.139999999897555,2321750.000000000000000,2106984.569999999832362,2187897.599999999627471,10667615.309999998658895
20120730,2031547.999999999767169,2035550.179999999934807,2289832.399999999906868,2096374.530000000027940,2201402.740000000223517,10654707.849999999627471
20120731,2085322.999999999767169,1994648.359999999869615,2273873.600000000093132,2125552.139999999664724,2185255.290000000037253,10664652.389999996870756
20120801,2071938.999999999767169,1975535.359999999869615,2279536.399999999906868,2116710.439999999944121,2161474.500000000000000,10605195.699999999254942
20120802,2075284.999999999767169,1964449.820000000065193,2260488.799999999813735,2114942.100000000093132,2174098.869999999646097,10589264.589999997988343
20120803,2102292.000000000000000,1998853.219999999972060,2272844.000000000000000,2146772.220000000204891,2188778.369999999646097,10709539.809999998658895
20120806,2125714.000000000000000,1987767.679999999934807,2290347.200000000186265,2145003.879999999888241,2180851.439999999944121,10729684.199999999254942
20120807,2119978.000000000000000,2003058.079999999841675,2265122.000000000000000,2099027.040000000037253,2172337.329999999608845,10659522.450000001117587
20120808,2116393.000000000000000,2017966.219999999972060,2268210.800000000279397,2106984.569999999832362,2181732.209999999962747,10691286.800000000745058
20120809,2119500.000000000000000,2031727.579999999841675,2279536.399999999906868,2110521.250000000000000,2168227.069999999832362,10709512.300000000745058
