訓練日期,20190926 - 20191227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12481213.800000000745058
真實報酬,2481213.800000000745058

夏普值報酬,0.239421380000000
夏普值風險,0.068211805799929
夏普值,3.509969824024937

預期報酬,36403.287364330339187
風險,124668.399782893611700
趨勢值,0.292000919460951
找到最佳解世代,2264
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](10),UNH[23](2),
Stock#,AAPL[0](1),MRK[17](10),UNH[23](2),
張數,15080,40112,15003,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,200.600000000093132,25.800000000279397,116.490000000223517,
20190926,3316141.799999999813735,3364620.359999999869615,3232962.930000000167638,9913726.089999999850988
20190927,3300006.200000000186265,3325711.720000000204891,3229662.270000000018626,9855381.189999999478459
20190930,3377668.200000000186265,3376653.960000000428408,3260568.450000000186265,10014891.609999999403954
20191001,3387017.800000000279397,3353790.120000000111759,3258918.120000000111759,9999727.039999999105930
20191002,3302117.400000000372529,3273967.240000000689179,3252016.740000000223517,9828102.380000000819564
20191003,3330166.200000000186265,3318892.680000000167638,3231162.570000000298023,9880222.450000001117587
20191004,3423511.399999999906868,3409545.800000000279397,3297775.890000000596046,10130834.089999999850988
20191007,3424265.399999999906868,3385077.480000000447035,3319380.210000000428408,10128724.090000001713634
20191008,3384152.600000000093132,3340954.280000000726432,3302426.820000000298023,10027534.700000001117587
20191009,3423813.000000000000000,3376653.960000000428408,3331982.730000000447035,10132450.690000001341105
20191010,3469957.800000000279397,3359806.920000000391155,3356737.680000000167638,10186503.400000000372529
20191011,3562247.400000000372529,3383071.880000000353903,3331832.700000000186265,10277152.980000000447035
20191014,3557120.200000000186265,3397111.080000000074506,3309628.260000000242144,10263860.540000000968575
20191015,3548826.200000000186265,3411150.280000000726432,3579682.260000000242144,10539659.740000000223517
20191016,3534500.200000000186265,3387484.200000000186265,3555677.460000000428408,10477662.860000001266599
20191017,3548223.000000000000000,3361411.400000000372529,3655897.500000000000000,10565532.900000000372529
20191018,3565263.399999999906868,3396709.960000000428408,3680952.510000000242144,10642926.870000001043081
20191021,3627091.399999999906868,3390292.040000000037253,3659648.250000000000000,10677032.689999999478459
20191022,3618797.400000000372529,3261131.400000000372529,3743064.930000000167638,10622994.730000000447035
20191023,3667355.000000000000000,3324107.240000000689179,3717859.890000000596046,10709323.130000000819564
20191024,3673387.000000000465661,3312474.760000000242144,3668500.020000000018626,10654362.780000001192093
20191025,3718627.000000000465661,3299638.920000000391155,3674501.220000000204891,10692768.140000000596046
20191028,3755874.600000000093132,3297232.200000000186265,3706607.640000000596046,10759715.440000001341105
20191029,3669013.799999999813735,3413557.000000000000000,3785223.360000000335276,10867795.160000000149012
20191030,3668561.399999999906868,3458482.440000000409782,3822880.890000000596046,10949925.730000000447035
20191031,3751501.399999999906868,3476131.720000000204891,3791374.589999999850988,11019008.710000000894070
20191101,3857966.200000000186265,3407139.080000000074506,3784023.120000000111759,11049129.400000000372529
20191104,3883300.600000000093132,3365422.600000000558794,3769620.240000000223517,11018344.440000001341105
20191105,3877721.000000000000000,3326112.840000000316650,3755367.390000000596046,10959202.230000000447035
20191106,3879379.800000000279397,3339349.800000000279397,3758668.050000000279397,10977398.650000000372529
20191107,3912405.000000000000000,3324508.359999999869615,3847785.870000000111759,11084700.230000000447035
20191108,3923111.799999999813735,3352987.880000000353903,3855437.400000000838190,11131538.080000000074506
20191111,3954176.600000000093132,3340553.160000000149012,3812228.760000000242144,11106959.519999999552965
20191112,3950557.399999999906868,3374247.240000000689179,3829632.240000000223517,11154437.880000000819564
20191113,3988408.200000000651926,3402325.640000000130385,3804427.200000000186265,11195162.040000000968575
20191114,3960811.799999999813735,3391495.400000000372529,3838333.980000000447035,11190642.179999999701977
