訓練日期,20130117 - 20130422
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11680375.339999999850988
真實報酬,1680375.339999999850988

夏普值報酬,0.159337534000000
夏普值風險,0.042928885744475
夏普值,3.711662467747771

預期報酬,25451.944301393272326
風險,58622.988960668342770
趨勢值,0.434163196940873
找到最佳解世代,2740
找到最佳解實驗#,2
找到最佳解次數,13

stock[index](rank)
投資組合檔數,4
JNJ[12](1),TRV[22](3),VZ[26](2),WMT[28](7),
Stock#,JNJ[12](1),TRV[22](3),VZ[26](2),WMT[28](7),
張數,34444,33090,60226,36121,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,54.479999999981374,50.500000000000000,18.740000000223517,65.590000000316650,
20130117,2511022.080000000074506,2511581.500000000000000,2537340.120000000577420,2486996.439999999944121,10046940.140000000596046
20130118,2522388.600000000093132,2525148.399999999906868,2562032.780000000260770,2499638.790000000502914,10109208.570000000298023
20130122,2503788.839999999850988,2579416.000000000000000,2586123.180000000167638,2513364.770000000484288,10182692.789999999105930
20130123,2509299.879999999888241,2569158.100000000093132,2577089.280000000260770,2510113.880000000353903,10165661.140000000596046
20130124,2517910.879999999888241,2584048.600000000093132,2565044.080000000540167,2520950.180000000633299,10187953.740000002086163
20130125,2546154.959999999962747,2592652.000000000000000,2569862.160000000149012,2492414.590000000316650,10201083.710000000894070
20130128,2535821.760000000242144,2559562.000000000000000,2575884.760000000242144,2505056.939999999944121,10176325.459999999031425
20130129,2563032.520000000018626,2574783.399999999906868,2619849.740000000223517,2524562.280000000260770,10282227.940000001341105
20130130,2552010.439999999944121,2567172.699999999720603,2626474.600000000093132,2519505.340000000316650,10265163.080000000074506
20130131,2546154.959999999962747,2596291.899999999906868,2626474.600000000093132,2526729.540000000502914,10295651.000000000000000
20130201,2555110.400000000372529,2643610.600000000093132,2683689.300000000279397,2546234.880000000353903,10428645.180000001564622
20130204,2552699.319999999832362,2581070.500000000000000,2681280.260000000242144,2515170.820000000298023,10330220.900000000372529
20130205,2571643.520000000018626,2602579.000000000000000,2683689.300000000279397,2556348.760000000242144,10414260.580000000074506
20130206,2596787.640000000130385,2612836.899999999906868,2695132.240000000223517,2575854.100000000558794,10480610.880000000819564
20130207,2585421.120000000111759,2618131.300000000279397,2677666.700000000186265,2572964.420000000391155,10454183.540000000968575
20130208,2599887.600000000093132,2609527.899999999906868,2671041.840000000316650,2581994.670000000391155,10462452.009999999776483
20130211,2597476.520000000018626,2621109.399999999906868,2669235.060000000055879,2579104.990000000689179,10466925.970000000670552
20130212,2610909.679999999701977,2643941.500000000000000,2676462.180000000167638,2579104.990000000689179,10510418.349999999627471
20130213,2606087.520000000018626,2646919.599999999627471,2681280.260000000242144,2578743.780000000260770,10513031.160000000149012
20130214,2611254.120000000111759,2658501.100000000093132,2669837.320000000298023,2558154.810000000055879,10497747.350000001490116
20130215,2623309.520000000018626,2660155.600000000093132,2674053.140000000130385,2503250.890000000130385,10460769.150000000372529
20130219,2650864.719999999739230,2667104.500000000000000,2680075.740000000223517,2483745.550000000279397,10481790.509999999776483
20130220,2640187.080000000074506,2650890.399999999906868,2705370.660000000149012,2500000.000000000000000,10496448.140000000596046
20130221,2647764.760000000242144,2659824.699999999720603,2717415.859999999869615,2537927.050000000279397,10562932.370000001043081
20130222,2626409.479999999981374,2680671.400000000372529,2734279.140000000130385,2542983.990000000689179,10584344.010000001639128
20130225,2602987.559999999590218,2622433.000000000000000,2753551.459999999962747,2544428.830000000074506,10523400.849999999627471
20130226,2609187.479999999981374,2648574.100000000093132,2777641.859999999869615,2568629.900000000372529,10604033.339999999850988
20130227,2628820.559999999590218,2673060.700000000186265,2791493.840000000316650,2588496.450000000186265,10681871.550000000745058
20130228,2621587.319999999832362,2661148.300000000279397,2802334.520000000484288,2556709.970000000204891,10641780.110000001266599
20130301,2641909.280000000260770,2670082.600000000093132,2813777.459999999962747,2591386.130000000353903,10717155.470000000670552
20130304,2659131.280000000260770,2664457.299999999813735,2837265.600000000093132,2646290.050000000279397,10807144.230000000447035
20130305,2674975.520000000018626,2695561.899999999906868,2872196.680000000167638,2662905.710000000428408,10905639.810000000521541
20130306,2665675.640000000130385,2682656.799999999813735,2847504.020000000484288,2650624.570000000298023,10846461.030000001192093
20130307,2678075.479999999981374,2686958.500000000000000,2859549.220000000204891,2648457.310000000055879,10873040.510000001639128
20130308,2693230.839999999850988,2701849.000000000000000,2888457.700000000186265,2637982.220000000204891,10921519.759999999776483
20130311,2701841.839999999850988,2705158.000000000000000,2879423.800000000279397,2636176.170000000391155,10922599.810000000521541
20130312,2705975.120000000111759,2704827.099999999627471,2912548.100000000093132,2658571.189999999944121,10981921.509999999776483
20130313,2705630.679999999701977,2717401.300000000279397,2887253.180000000167638,2660377.240000000689179,10970662.400000000372529
20130314,2724574.879999999888241,2725342.899999999906868,2919775.220000000204891,2644845.210000000428408,11014538.210000000894070
20130315,2727674.839999999850988,2722695.700000000186265,2892071.260000000242144,2618838.090000000316650,10961279.890000000596046
20130318,2714586.120000000111759,2730968.200000000186265,2936036.240000000223517,2609807.840000000316650,10991398.400000000372529
20130319,2716308.319999999832362,2752807.600000000093132,2948081.440000000409782,2617032.040000000502914,11034229.400000000372529
20130320,2736630.280000000260770,2774316.100000000093132,2927002.340000000316650,2636537.380000000353903,11074486.100000001490116
