訓練日期,20101105 - 20110208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11310892.959999999031425
真實報酬,1310892.959999999031425

夏普值報酬,0.122389296000000
夏普值風險,0.036080819618888
夏普值,3.392087466215173

預期報酬,17185.018780440936098
風險,103528.724129469919717
趨勢值,0.165992761187222
找到最佳解世代,2540
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DIS[6](8),KO[14](16),XOM[29](2),
Stock#,CAT[3](1),DIS[6](8),KO[14](16),XOM[29](2),
張數,30055,67512,80051,36033,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.099999999627471,30.640000000130385,7.270000000018626,30.459999999962747,
20101105,2510819.799999999813735,2511477.040000000502914,2504803.060000000055879,2522340.459999999962747,10049440.359999999403954
20101108,2498196.699999999720603,2502025.360000000335276,2500000.000000000000000,2533871.019999999552965,10034093.080000000074506
20101109,2461830.149999999441206,2488522.959999999962747,2507204.589999999850988,2545041.250000000000000,10002598.949999999254942
20101110,2478360.399999999441206,2497299.520000000484288,2504002.550000000279397,2563057.750000000000000,10042720.220000000670552
20101111,2477759.299999999348074,2425736.800000000279397,2513608.669999999925494,2588280.850000000093132,10005385.619999999180436
20101112,2435682.299999999813735,2548608.640000000130385,2518411.729999999981374,2558013.129999999888241,10060715.800000000745058
20101115,2459125.199999999254942,2514852.640000000130385,2520012.750000000000000,2539636.300000000279397,10033626.890000000596046
20101116,2415545.449999999720603,2492573.680000000167638,2484790.310000000055879,2484145.479999999981374,9877054.919999999925494
20101117,2439589.449999999720603,2512827.280000000260770,2502401.530000000260770,2486667.790000000037253,9941486.050000000745058
20101118,2497896.149999999441206,2537131.600000000093132,2555235.189999999944121,2533510.689999999944121,10123773.629999998956919
20101119,2523743.449999999720603,2498649.759999999776483,2574447.429999999701977,2541798.280000000260770,10138638.919999998062849
20101122,2524645.099999999627471,2494599.040000000502914,2572846.410000000149012,2529186.729999999981374,10121277.280000001192093
20101123,2483469.749999999534339,2438564.080000000074506,2546429.580000000074506,2485586.800000000279397,9954050.210000000894070
20101124,2545383.049999999348074,2489198.080000000074506,2586455.080000000074506,2518016.500000000000000,10139052.709999999031425
20101126,2528552.249999999534339,2477721.040000000502914,2566442.330000000074506,2494595.050000000279397,10067310.669999999925494
20101129,2514726.949999999720603,2458817.680000000167638,2537623.969999999739230,2502522.310000000055879,10013690.910000000149012
20101130,2542678.099999999627471,2464893.759999999776483,2528818.359999999869615,2506485.939999999944121,10042876.159999998286366
20101201,2628334.849999999627471,2506076.080000000074506,2589657.120000000111759,2570264.350000000093132,10294332.400000000372529
20101202,2663499.199999999720603,2520928.720000000204891,2597662.220000000204891,2575669.300000000279397,10357759.440000001341105
20101203,2686340.999999999534339,2537806.720000000204891,2581652.020000000018626,2565219.729999999981374,10371019.470000000670552
20101206,2680931.099999999627471,2535781.360000000335276,2561639.270000000018626,2569543.689999999944121,10347895.419999999925494
20101207,2715494.349999999627471,2520253.600000000093132,2567242.839999999850988,2574948.639999999664724,10377939.429999999701977
20101208,2693554.199999999720603,2495949.280000000260770,2577649.470000000204891,2589001.509999999776483,10356154.460000000894070
20101209,2695056.949999999720603,2480421.520000000484288,2595260.689999999944121,2594406.459999999962747,10365145.620000001043081
20101210,2703171.799999999348074,2475020.560000000055879,2588056.100000000093132,2600892.400000000372529,10367140.859999999403954
20101213,2753964.749999999534339,2506751.200000000186265,2595260.689999999944121,2607378.339999999850988,10463354.979999998584390
20101214,2767790.049999999813735,2514177.520000000484288,2557636.719999999739230,2600892.400000000372529,10440496.690000001341105
20101215,2798746.699999999720603,2494599.040000000502914,2591258.139999999664724,2589001.509999999776483,10473605.390000000596046
20101216,2801151.099999999627471,2498649.759999999776483,2615273.439999999944121,2602333.719999999739230,10517408.019999999552965
20101217,2782817.549999999813735,2501350.239999999757856,2629682.620000000111759,2600532.069999999832362,10514382.479999998584390
20101220,2804156.599999999627471,2502025.360000000335276,2614472.929999999701977,2602333.719999999739230,10522988.609999999403954
20101221,2844129.749999999534339,2520253.600000000093132,2620877.010000000242144,2620350.219999999739230,10605610.579999998211861
20101222,2842326.449999999254942,2562111.040000000502914,2625680.069999999832362,2623232.859999999869615,10653350.419999999925494
20101223,2838719.849999999627471,2545233.040000000502914,2624879.560000000055879,2637646.060000000055879,10646478.510000001639128
20101227,2827298.949999999254942,2530380.399999999906868,2604066.300000000279397,2630799.790000000037253,10592545.440000001341105
20101228,2815878.049999999348074,2522278.959999999962747,2616073.950000000186265,2645573.319999999832362,10599804.279999999329448
20101229,2818582.999999999534339,2538481.840000000316650,2620076.500000000000000,2643771.669999999925494,10620913.009999999776483
20101230,2821287.949999999720603,2530380.399999999906868,2621677.520000000018626,2643411.339999999850988,10616757.209999999031425
20101231,2814976.399999999441206,2532405.759999999776483,2632884.660000000149012,2634763.419999999925494,10615030.239999998360872
20110103,2829703.349999999627471,2553334.479999999981374,2610470.379999999888241,2686290.609999999869615,10679798.820000000298023
20110104,2816479.149999999441206,2632323.520000000484288,2556836.209999999962747,2698902.160000000149012,10704541.039999999105930
20110105,2840823.699999999720603,2697810.160000000149012,2541626.520000000018626,2691695.560000000055879,10771955.939999999478459
20110106,2811369.799999999813735,2676881.439999999944121,2523214.790000000037253,2708991.400000000372529,10720457.429999999701977
20110107,2817080.249999999534339,2663379.040000000502914,2518411.729999999981374,2723764.930000000167638,10722635.949999999254942
20110110,2806861.549999999813735,2666754.640000000130385,2524015.300000000279397,2707189.750000000000000,10704821.240000000223517
20110111,2823692.349999999627471,2660003.439999999944121,2509606.120000000111759,2727368.229999999981374,10720670.139999998733401
20110112,2809867.049999999348074,2644475.680000000167638,2523214.790000000037253,2759437.600000000093132,10736995.119999999180436
20110113,2829402.799999999813735,2650551.759999999776483,2537623.969999999739230,2764121.889999999664724,10781700.419999998062849
20110114,2825495.649999999906868,2652577.120000000111759,2527217.339999999850988,2804839.180000000167638,10810129.289999999105930
20110118,2892217.749999999534339,2659328.320000000298023,2540826.009999999776483,2836187.889999999664724,10928559.969999998807907
20110119,2871479.799999999813735,2639074.720000000204891,2538424.479999999981374,2819252.379999999888241,10868231.379999998956919
20110120,2813473.649999999441206,2644475.680000000167638,2519212.239999999757856,2801596.209999999962747,10778757.780000001192093
20110121,2787626.349999999627471,2682957.520000000484288,2512808.160000000149012,2845916.800000000279397,10829308.830000000074506
20110124,2842326.449999999254942,2696459.919999999925494,2532020.399999999906868,2831863.930000000167638,10902670.699999999254942
20110125,2836916.549999999813735,2691058.959999999962747,2520012.750000000000000,2835106.900000000372529,10883095.160000000149012
20110126,2877791.349999999627471,2662703.919999999925494,2520012.750000000000000,2870419.239999999757856,10930927.259999999776483
20110127,2904239.749999999534339,2664054.160000000149012,2509606.120000000111759,2878346.500000000000000,10956246.530000001192093
20110128,2875687.500000000000000,2622871.840000000316650,2490393.879999999888241,2846277.129999999888241,10835230.349999999627471
20110131,2915660.649999999906868,2624222.080000000074506,2516010.200000000186265,2907172.900000000372529,10963065.830000001937151
