訓練日期,20100701 - 20101001
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11963671.259999999776483
真實報酬,1963671.259999999776483

夏普值報酬,0.187667126000000
夏普值風險,0.047897240978349
夏普值,3.918119753178047

預期報酬,32503.812194202739192
風險,152420.259333113470348
趨勢值,0.213251258962668
找到最佳解世代,2820
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](5),VZ[26](1),
Stock#,MCD[15](5),VZ[26](1),
張數,75907,190839,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.909999999217689,18.200000000186265,
20100701,5063761.879999998956919,5019083.900000000372529,10082845.779999999329448
20100702,5020494.889999999664724,5116411.790000000037253,10136906.679999999701977
20100706,5018217.679999998770654,5078243.990000000223517,10096461.669999998062849
20100707,5109306.079999999143183,5061068.480000000447035,10170374.559999998658895
20100708,5239107.049999998882413,5110686.620000000111759,10349793.669999998062849
20100709,5254288.449999999254942,5085877.549999999813735,10340166.000000000000000
20100712,5308941.489999999292195,5055343.309999999590218,10364284.799999998882413
20100713,5377257.789999999105930,5131678.910000000149012,10508936.699999999254942
20100714,5381812.209999999962747,5122136.959999999962747,10503949.169999999925494
20100715,5414452.219999998807907,5114503.400000000372529,10528955.619999999180436
20100716,5308941.489999999292195,5093511.110000000335276,10402452.599999999627471
20100719,5306664.279999999329448,5099236.280000000260770,10405900.559999998658895
20100720,5379535.000000000000000,5089694.330000000074506,10469229.330000000074506
20100721,5321845.679999998770654,5061068.480000000447035,10382914.160000000149012
20100722,5419765.709999999962747,5152671.200000000186265,10572436.910000000149012
20100723,5305905.209999999962747,5347326.980000000447035,10653232.190000001341105
20100726,5379535.000000000000000,5396945.120000000111759,10776480.120000001043081
20100727,5343858.709999999962747,5456105.209999999962747,10799963.919999999925494
20100728,5296037.299999998882413,5517173.690000000409782,10813210.989999998360872
20100729,5266433.569999998435378,5511448.519999999552965,10777882.089999997988343
20100730,5293001.019999999552965,5545799.540000000037253,10838800.559999998658895
20100802,5332472.659999999217689,5641219.040000000037253,10973691.699999999254942
20100803,5347654.059999999590218,5637402.259999999776483,10985056.320000000298023
20100804,5365871.739999999292195,5610684.799999999813735,10976556.539999999105930
20100805,5347654.059999999590218,5639310.650000000372529,10986964.710000000894070
20100806,5445574.089999998919666,5639310.650000000372529,11084884.739999998360872
20100809,5535144.349999999627471,5698470.740000000223517,11233615.089999999850988
20100810,5529071.789999999105930,5729004.980000000447035,11258076.769999999552965
20100811,5432669.899999998509884,5641219.040000000037253,11073888.939999997615814
20100812,5469864.329999999143183,5786256.680000000633299,11256121.009999999776483
20100813,5456960.139999999664724,5730913.370000000111759,11187873.509999999776483
20100816,5449369.439999999478459,5717554.640000000596046,11166924.080000000074506
20100817,5557916.449999999254942,5757630.830000000074506,11315547.279999999329448
20100818,5560193.659999999217689,5753814.049999999813735,11314007.709999999031425
20100819,5538939.699999999254942,5652669.380000000819564,11191609.080000000074506
20100820,5547289.469999998807907,5604959.630000000819564,11152249.099999999627471
20100823,5567025.289999999105930,5612593.190000000409782,11179618.480000000447035
20100824,5519962.949999999254942,5624043.530000000260770,11144006.480000000447035
20100825,5555639.239999999292195,5660302.940000000409782,11215942.179999999701977
20100826,5553362.029999999329448,5629768.700000000186265,11183130.730000000447035
20100827,5616364.839999998919666,5694653.959999999962747,11311018.799999998882413
20100830,5521481.089999998919666,5618318.360000000335276,11139799.449999999254942
20100831,5545771.329999999143183,5635493.870000000111759,11181265.199999999254942
20100901,5658113.689999999478459,5774806.340000000782311,11432920.030000001192093
20100902,5694549.049999998882413,5746180.490000000223517,11440729.539999999105930
20100903,5699862.539999999105930,5763356.000000000000000,11463218.539999999105930
20100907,5753756.509999998845160,5767172.780000000260770,11520929.289999999105930
20100908,5775010.469999998807907,5812974.140000000596046,11587984.609999999403954
20100909,5645209.500000000000000,5885492.959999999962747,11530702.460000000894070
20100910,5693789.979999999515712,5881676.180000000633299,11575466.160000000149012
20100913,5660390.899999998509884,5896943.299999999813735,11557334.199999999254942
20100914,5612569.489999999292195,5898851.690000000409782,11511421.179999999701977
20100915,5671017.879999998956919,5952286.610000000335276,11623304.489999998360872
20100916,5677849.509999998845160,5996179.580000000074506,11674029.089999999850988
20100917,5641414.149999998509884,6045797.719999999739230,11687211.869999997317791
20100920,5701380.679999998770654,6124041.710000000894070,11825422.390000000596046
20100921,5731743.479999999515712,6167934.680000000633299,11899678.160000000149012
20100922,5702898.819999998435378,6181293.410000000149012,11884192.229999998584390
20100923,5665704.389999999664724,6139308.830000000074506,11805013.219999998807907
20100924,5700621.609999998472631,6229003.160000000149012,11929624.769999999552965
20100927,5674813.229999999515712,6270987.740000000223517,11945800.969999998807907
20100928,5664945.319999998435378,6244270.280000000260770,11909215.599999997764826
20100929,5651282.059999999590218,6232819.939999999478459,11884102.000000000000000
20100930,5655836.479999999515712,6219461.210000000894070,11875297.690000001341105
20101001,5686958.349999999627471,6276712.910000000149012,11963671.259999999776483
