訓練日期,20160707 - 20161006
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11320507.869999999180436
真實報酬,1320507.869999999180436

夏普值報酬,0.123350787000000
夏普值風險,0.030782319013883
夏普值,4.007196044728348

預期報酬,21181.527436822711024
風險,140251.988172578770900
趨勢值,0.151024792680721
找到最佳解世代,2047
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),INTC[11](3),PG[21](2),
Stock#,AAPL[0](1),INTC[11](3),PG[21](2),
張數,34893,101102,39201,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.709999999962747,0.060000000055879,71.969999999739230,
20160707,3347639.129999999888241,3356586.460000000428408,3325492.799999999813735,10029719.390000000596046
20160708,3373459.950000000186265,3437468.060000000055879,3362341.739999999757856,10173270.750000000000000
20160711,3383927.850000000093132,3475886.820000000298023,3361557.719999999739230,10221373.390000000596046
20160712,3399280.770000000018626,3532503.939999999944121,3361557.719999999739230,10293343.429999999701977
20160713,3380089.620000000111759,3539581.080000000074506,3367045.859999999869615,10286717.560000000521541
20160714,3447084.180000000167638,3558790.460000000428408,3366261.839999999850988,10372137.480000000447035
20160715,3446735.250000000000000,3545647.200000000186265,3371749.979999999981374,10364133.429999999701977
20160718,3483372.899999999906868,3543625.159999999683350,3368613.899999999906868,10395612.959999999031425
20160719,3484768.620000000111759,3553735.359999999869615,3378022.139999999664724,10416527.120000001043081
20160720,3487908.989999999757856,3608330.439999999944121,3344701.289999999571592,10440941.719999998807907
20160721,3469415.700000000186265,3464765.600000000558794,3342349.229999999981374,10276531.530000001192093
20160722,3442548.089999999850988,3504195.379999999888241,3360381.689999999478459,10307126.160000000149012
20160725,3396489.330000000074506,3507228.439999999944121,3363517.769999999552965,10267236.539999999105930
20160726,3373111.020000000018626,3547669.240000000223517,3342741.239999999757856,10263522.500000000000000
20160727,3592239.060000000055879,3521382.719999999739230,3310988.429999999701977,10424611.209999999031425
20160728,3640740.330000000074506,3515316.600000000558794,3324708.779999999795109,10480766.710000000894070
20160729,3636204.239999999757856,3524415.779999999795109,3355285.560000000055879,10515906.580000000074506
20160801,3700407.359999999869615,3523404.760000000242144,3387430.379999999422580,10611243.500000000000000
20160802,3645625.350000000093132,3494085.180000000167638,3401150.729999999981374,10540862.259999999776483
20160803,3691335.180000000167638,3462743.560000000055879,3370181.939999999478459,10524261.679999999701977
20160804,3694126.620000000111759,3496107.219999999739230,3373318.019999999552965,10563552.859999999403954
20160805,3750304.350000000093132,3536548.019999999552965,3362733.750000000000000,10649587.119999999180436
20160808,3781359.120000000111759,3542614.140000000130385,3361949.729999999981374,10685923.990000000223517
20160809,3796712.040000000037253,3530481.900000000372529,3370965.959999999497086,10698160.900000000372529
20160810,3768448.709999999962747,3491052.120000000111759,3383510.279999999795109,10643012.109999999403954
20160811,3766006.200000000186265,3506217.419999999925494,3399974.699999999720603,10672199.320000000298023
20160812,3774729.450000000186265,3495096.200000000186265,3412127.009999999776483,10681953.660000000149012
20160815,3820090.350000000093132,3529470.879999999888241,3411342.989999999757856,10760905.220000000670552
20160816,3816601.049999999813735,3559801.479999999981374,3394094.549999999813735,10770498.079999998211861
20160817,3811018.169999999925494,3540592.100000000558794,3408990.929999999701977,10760602.199999999254942
20160818,3806133.149999999906868,3535537.000000000000000,3427807.409999999683350,10769478.560000000521541
20160819,3815903.189999999944121,3562834.540000000037253,3422711.279999999795109,10801450.009999999776483
20160822,3786244.140000000130385,3574966.779999999795109,3404678.819999999366701,10765890.739999998360872
20160823,3798107.759999999776483,3579010.859999999869615,3426239.370000000111759,10803358.989999998360872
20160824,3769495.500000000000000,3553735.359999999869615,3422711.279999999795109,10745943.139999998733401
20160825,3753444.719999999739230,3547669.240000000223517,3445839.870000000111759,10746954.830000000074506
20160826,3731462.129999999888241,3564856.580000000074506,3433295.549999999813735,10729615.259999999776483
20160829,3727274.969999999739230,3594176.159999999683350,3461520.269999999552965,10782972.399999998509884
20160830,3698662.709999999962747,3609341.460000000428408,3431727.509999999776483,10739732.679999999701977
20160831,3702152.009999999776483,3628550.840000000316650,3422711.279999999795109,10753415.129999998956919
20160901,3724134.600000000093132,3641694.100000000558794,3461912.279999999795109,10827741.980000000447035
20160902,3759027.600000000093132,3647760.219999999739230,3457600.169999999925494,10864388.990000000223517
20160906,3757980.810000000055879,3697300.200000000186265,3474848.609999999869615,10930130.619999999180436
20160907,3781010.189999999944121,3686178.979999999981374,3447799.919999999925494,10914990.089999999850988
20160908,3681914.069999999832362,3684156.939999999944121,3441135.750000000000000,10807207.759999999776483
20160909,3598519.799999999813735,3583054.939999999944121,3380766.209999999497086,10562341.949999999254942
20160912,3679122.629999999888241,3647760.219999999739230,3459560.219999999739230,10786444.070000000298023
20160913,3766704.060000000055879,3600242.279999999795109,3412519.019999999552965,10779466.359999999403954
20160914,3899995.319999999832362,3601253.299999999813735,3410950.979999999981374,10912200.599999999627471
