訓練日期,20180412 - 20180713
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11218063.849999999627471
真實報酬,1218063.849999999627471

夏普值報酬,0.113106385000000
夏普值風險,0.031350658388085
夏普值,3.607783402819609

預期報酬,17547.754612929056748
風險,97604.867504329304211
趨勢值,0.179783601592930
找到最佳解世代,2219
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](1),NKE[19](2),PG[21](27),UNH[23](4),V[25](3),VZ[26](12),
Stock#,HD[9](1),NKE[19](2),PG[21](27),UNH[23](4),V[25](3),VZ[26](12),
張數,9641,24938,21293,7510,13914,35028,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,122.739999999757856,59.459999999962747,62.890000000130385,197.000000000000000,47.080000000074506,33.760000000009313,
20180412,1671486.500000000000000,1690107.719999999972060,1656445.360000000335276,1684239.400000000139698,1684615.060000000055879,1672270.479999999981374,10059168.520000001415610
20180413,1666087.539999999804422,1677139.959999999962747,1668795.300000000279397,1684539.800000000046566,1680162.580000000074506,1669468.239999999990687,10046197.419999999925494
20180416,1681802.369999999878928,1672401.739999999990687,1673905.620000000111759,1729900.199999999953434,1695885.399999999906868,1695038.679999999934807,10148938.009999999776483
20180417,1686430.049999999813735,1683623.840000000083819,1670072.880000000353903,1791707.500000000000000,1722600.280000000027940,1711151.560000000055879,10265590.109999999403954
20180418,1734056.589999999618158,1650955.060000000055879,1665175.490000000223517,1775561.000000000000000,1722600.280000000027940,1703095.119999999878928,10251447.539999999105930
20180419,1707351.019999999785796,1639234.199999999953434,1595973.240000000223517,1770754.599999999860302,1724826.520000000018626,1696439.800000000046566,10134583.380000000819564
20180420,1706676.149999999674037,1648211.880000000121072,1571486.290000000037253,1765497.600000000093132,1728165.880000000121072,1677874.959999999962747,10097916.760000001639128
20180423,1712942.799999999813735,1667912.899999999906868,1554451.890000000130385,1760090.400000000139698,1731783.520000000018626,1704496.239999999990687,10131681.750000000000000
20180424,1699445.399999999674037,1670157.319999999832362,1543805.390000000130385,1759189.199999999953434,1687397.860000000102445,1739874.520000000018626,10099873.689999999478459
20180425,1710339.729999999515712,1662675.919999999925494,1539546.790000000037253,1759189.199999999953434,1686563.020000000018626,1754936.560000000055879,10113255.220000000670552
20180426,1790649.259999999776483,1697090.359999999869615,1549128.640000000130385,1780292.300000000046566,1768238.199999999953434,1743027.040000000037253,10328429.800000000745058
20180427,1797783.599999999860302,1734746.739999999990687,1550406.220000000204891,1803948.800000000046566,1753350.220000000204891,1806427.719999999972060,10446667.300000000745058
20180430,1781779.539999999804422,1705569.280000000027940,1540398.510000000242144,1775561.000000000000000,1765455.399999999906868,1728665.560000000055879,10297433.290000000968575
20180501,1780140.569999999599531,1698337.259999999776483,1532307.169999999925494,1778940.500000000000000,1774221.220000000204891,1710100.719999999972060,10274051.439999999478459
20180502,1792481.049999999813735,1702327.340000000083819,1510588.310000000055879,1753481.600000000093132,1758498.399999999906868,1672620.760000000009313,10190001.459999999031425
20180503,1766257.529999999795109,1668411.660000000149012,1519531.370000000111759,1758663.500000000000000,1769629.600000000093132,1675773.280000000027940,10158270.939999999478459
20180504,1783996.969999999739230,1698337.259999999776483,1542314.880000000353903,1771806.000000000000000,1783265.320000000065193,1688033.079999999841675,10267757.509999999776483
20180507,1769824.699999999720603,1729260.380000000121072,1532733.030000000260770,1755884.800000000046566,1798570.719999999972060,1671920.199999999953434,10258197.830000000074506
20180508,1784093.379999999655411,1707314.939999999711290,1521234.810000000055879,1742742.300000000046566,1807475.680000000167638,1647050.320000000065193,10209915.429999999701977
20180509,1796819.500000000000000,1694596.560000000055879,1541037.300000000279397,1721564.100000000093132,1820554.840000000083819,1624632.400000000139698,10199208.700000001117587
20180510,1804532.299999999813735,1693848.419999999925494,1557645.840000000316650,1755359.100000000093132,1820554.840000000083819,1653355.360000000102445,10285299.859999999403954
20180511,1834901.449999999720603,1706566.800000000046566,1562330.300000000279397,1789679.800000000046566,1834190.560000000055879,1703095.119999999878928,10430768.029999999329448
20180514,1842325.019999999785796,1716791.380000000121072,1560413.930000000167638,1824376.000000000000000,1825703.020000000251457,1698541.479999999981374,10468154.830000000074506
20180515,1812437.919999999692664,1733250.459999999962747,1553387.240000000223517,1798842.000000000000000,1824172.479999999981374,1674021.879999999888241,10396115.980000000447035
20180516,1797012.319999999599531,1779136.380000000121072,1565737.180000000167638,1815514.199999999953434,1821250.539999999804422,1676473.840000000083819,10455128.459999999031425
20180517,1786889.269999999785796,1769161.179999999934807,1574893.169999999925494,1824826.600000000093132,1807893.100000000093132,1676123.560000000055879,10439790.879999998956919
20180518,1807038.959999999729916,1778637.619999999878928,1564033.740000000223517,1837443.399999999906868,1807893.100000000093132,1672270.479999999981374,10467321.300000000745058
20180521,1829888.129999999655411,1780133.899999999906868,1577022.470000000204891,1861926.000000000000000,1818050.320000000065193,1696439.800000000046566,10563464.620000001043081
20180522,1801736.409999999916181,1778388.239999999990687,1576383.680000000167638,1841498.800000000046566,1818746.020000000251457,1709750.440000000176951,10526507.589999999850988
20180523,1799808.209999999729916,1779136.380000000121072,1579577.630000000353903,1834589.599999999860302,1835025.399999999906868,1702044.280000000027940,10530185.500000000000000
20180524,1804435.889999999897555,1800084.300000000046566,1570847.500000000000000,1823099.299999999813735,1835164.539999999804422,1703795.679999999934807,10537431.209999999031425
20180525,1801543.589999999618158,1801829.959999999962747,1582345.720000000204891,1839771.500000000000000,1826677.000000000000000,1699592.320000000065193,10551764.089999999850988
20180529,1783707.739999999757856,1768662.419999999925494,1576809.540000000037253,1818893.699999999953434,1804553.739999999990687,1688383.360000000102445,10441014.499999998137355
20180530,1803857.429999999701977,1801331.199999999953434,1594695.660000000149012,1839696.399999999906868,1817772.039999999804422,1702394.560000000055879,10559751.289999999105930
20180531,1798651.289999999804422,1790607.859999999869615,1558071.700000000186265,1813937.099999999860302,1818885.160000000149012,1669818.520000000018626,10449975.629999998956919
20180601,1806364.089999999618158,1814548.340000000083819,1564033.740000000223517,1827755.500000000000000,1820693.979999999981374,1674722.440000000176951,10508122.089999999850988
20180604,1845024.500000000000000,1841232.000000000000000,1579577.630000000353903,1837368.300000000046566,1851583.060000000055879,1675072.719999999972060,10629862.210000000894070
20180605,1850616.279999999795109,1846718.359999999869615,1575106.100000000093132,1835866.300000000046566,1858400.920000000158325,1680326.919999999925494,10647038.880000000819564
20180606,1866523.929999999701977,1864174.959999999962747,1583197.439999999944121,1867558.500000000000000,1896247.000000000000000,1695739.239999999990687,10773445.070000000298023
20180607,1891397.709999999729916,1864424.340000000083819,1613220.570000000298023,1870036.799999999813735,1862296.840000000083819,1716756.040000000037253,10818136.300000000745058
20180608,1912222.269999999785796,1867915.660000000149012,1643456.630000000353903,1882803.800000000046566,1874819.440000000176951,1722710.800000000046566,10903932.600000001490116
20180611,1924851.979999999515712,1860184.880000000121072,1650909.180000000167638,1906084.800000000046566,1863270.820000000065193,1726914.159999999916181,10932219.819999998435378
20180612,1940952.449999999720603,1852703.480000000214204,1644734.209999999962747,1904582.800000000046566,1876489.120000000344589,1709750.440000000176951,10929216.500000000000000
20180613,1931311.449999999720603,1848214.639999999897555,1628338.600000000093132,1899250.699999999953434,1870088.680000000167638,1660360.959999999962747,10837569.030000001192093
20180614,1925141.209999999729916,1862928.060000000055879,1618117.959999999962747,1917725.300000000046566,1878437.080000000074506,1675072.719999999972060,10877426.330000000074506
20180615,1933528.879999999655411,1891357.380000000121072,1647715.229999999981374,1922606.799999999813735,1879828.479999999981374,1683479.440000000176951,10958520.209999999031425
20180618,1934975.029999999795109,1885621.639999999897555,1614924.010000000242144,1914270.699999999953434,1895133.879999999888241,1662462.640000000130385,10907391.900000000372529
20180619,1920706.349999999860302,1851955.340000000083819,1625357.580000000074506,1900377.200000000186265,1879967.620000000344589,1698891.760000000009313,10877259.849999999627471
20180620,1919453.019999999785796,1863426.819999999832362,1615136.939999999944121,1898800.100000000093132,1885394.080000000074506,1684530.280000000027940,10866745.239999998360872
20180621,1931311.449999999720603,1843975.179999999934807,1627699.810000000055879,1891890.899999999906868,1871897.500000000000000,1703445.400000000139698,10870224.240000000223517
20180622,1903352.549999999813735,1831256.800000000046566,1648779.880000000353903,1910515.699999999953434,1883028.700000000186265,1743027.040000000037253,10919964.670000001788139
20180625,1893422.319999999599531,1804323.759999999776483,1656445.360000000335276,1883029.100000000093132,1821807.100000000093132,1737422.560000000055879,10796454.199999999254942
20180626,1893229.500000000000000,1809560.739999999990687,1660916.890000000130385,1875969.700000000186265,1844347.780000000260770,1726914.159999999916181,10810942.770000001415610
20180627,1880310.559999999823049,1779385.759999999776483,1654316.060000000055879,1863953.699999999953434,1823059.360000000102445,1727264.440000000176951,10728293.879999998956919
20180628,1882142.349999999860302,1788114.060000000055879,1661981.540000000037253,1839396.000000000000000,1846991.440000000176951,1781557.840000000083819,10800187.230000000447035
20180629,1881081.839999999618158,1987119.300000000046566,1662194.470000000204891,1842700.400000000139698,1842956.379999999888241,1762292.440000000176951,10978348.830000000074506
20180702,1870669.559999999823049,1953951.759999999776483,1663684.979999999981374,1858771.799999999813735,1843652.080000000074506,1766145.520000000018626,10956879.699999999254942
20180703,1866813.159999999916181,1902330.100000000093132,1658787.590000000316650,1855016.799999999813735,1829042.379999999888241,1775953.360000000102445,10887947.389999998733401
20180705,1874429.549999999813735,1909063.359999999869615,1686681.419999999925494,1881452.000000000000000,1854644.139999999897555,1796269.600000000093132,11002544.070000000298023
20180706,1875104.419999999692664,1907317.699999999953434,1688810.720000000204891,1883404.599999999860302,1865775.340000000083819,1803275.199999999953434,11023691.979999998584390
20180709,1890530.019999999785796,1927268.100000000093132,1657935.870000000111759,1905258.699999999953434,1885672.360000000102445,1777354.479999999981374,11044023.530000001192093
20180710,1905280.750000000000000,1934500.119999999878928,1699670.149999999906868,1919302.399999999906868,1901951.739999999990687,1798371.280000000027940,11159080.439999999478459
20180711,1898917.689999999711290,1929263.139999999897555,1685616.770000000018626,1912167.900000000139698,1922266.180000000167638,1798371.280000000027940,11146606.959999999031425
20180712,1908558.689999999711290,1929512.520000000018626,1679867.660000000149012,1923132.500000000000000,1946615.680000000167638,1794868.479999999981374,11182559.530000001192093
20180713,1915693.029999999795109,1929761.899999999906868,1688810.720000000204891,1943034.000000000000000,1939936.959999999962747,1800823.239999999990687,11218063.849999999627471
