訓練日期,20140319 - 20140619
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11227598.750000001862645
真實報酬,1227598.750000001862645

夏普值報酬,0.114059875000000
夏普值風險,0.033918256216906
夏普值,3.362787115899853

預期報酬,18805.523605081929418
風險,45031.540372492643655
趨勢值,0.417607824416533
找到最佳解世代,2358
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](8),CSCO[4](3),INTC[11](11),KO[14](9),MCD[15](12),TRV[22](1),VZ[26](13),XOM[29](7),
Stock#,AAPL[0](8),CSCO[4](3),INTC[11](11),KO[14](9),MCD[15](12),TRV[22](1),VZ[26](13),XOM[29](7),
張數,16466,57790,50362,32552,12845,14889,26766,13198,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,65.939999999944121,2.300000000046566,15.159999999916181,3.199999999953434,53.050000000046566,68.449999999953434,27.799999999813735,17.420000000158325,
20140319,1249670.679999999934807,1250000.000000000000000,1260072.399999999906868,1241536.479999999981374,1234457.550000000046566,1238833.250000000000000,1240899.559999999823049,1237065.960000000195578,9952535.880000000819564
20140320,1243742.919999999925494,1261558.000000000000000,1280720.819999999832362,1251627.600000000093132,1240880.050000000046566,1239279.919999999925494,1263650.659999999916181,1248284.260000000242144,10029744.229999998584390
20140321,1253457.860000000102445,1250577.900000000139698,1267626.699999999953434,1251302.079999999841675,1226365.199999999953434,1247468.869999999878928,1255620.859999999636784,1244720.800000000279397,9997140.270000001415610
20140324,1268441.919999999925494,1246532.600000000093132,1265108.599999999860302,1250000.000000000000000,1235485.150000000139698,1248659.989999999990687,1258297.459999999729916,1249076.140000000130385,10021601.860000001266599
20140325,1282108.699999999953434,1291030.900000000139698,1282231.679999999934807,1257161.439999999944121,1232017.000000000000000,1251191.119999999878928,1263918.319999999832362,1252639.600000000093132,10112298.759999999776483
20140326,1269759.199999999953434,1289875.100000000093132,1278202.719999999972060,1256835.919999999925494,1231117.850000000093132,1242257.719999999972060,1258297.459999999729916,1249868.020000000251457,10076213.989999998360872
