訓練日期,20100622 - 20100922
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11180900.720000000670552
真實報酬,1180900.720000000670552

夏普值報酬,0.109390072000000
夏普值風險,0.036915113892040
夏普值,2.963286861850613

預期報酬,13865.067598355846712
風險,177875.707631121797021
趨勢值,0.077948067125103
找到最佳解世代,2426
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MRK[17](9),VZ[26](1),
Stock#,KO[14](2),MRK[17](9),VZ[26](1),
張數,127032,94912,122684,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,13.320000000298023,23.560000000055879,8.719999999739230,
20100622,3332062.680000000167638,3334282.120000000111759,3333333.000000000000000,9999678.800000000745058
20100623,3318089.160000000614673,3361806.600000000093132,3364004.000000000000000,10043900.760000001639128
20100624,3290142.120000000111759,3379839.879999999888241,3322291.439999999478459,9992274.439999999478459
20100625,3192327.479999999981374,3410211.720000000204891,3274444.679999999701977,9876984.879999998956919
20100628,3244410.600000000093132,3411160.839999999850988,3292847.279999999795109,9948419.719999998807907
20100629,3197408.760000000707805,3362755.720000000204891,3283032.560000000055879,9843198.040000000968575
20100630,3183435.240000000223517,3319096.199999999720603,3214329.519999999552965,9716861.959999999031425
20100701,3178353.960000000428408,3268792.839999999850988,3226597.919999999925494,9673745.720000000670552
20100702,3179624.280000000260770,3247912.199999999720603,3289166.759999999776483,9716704.240000000223517
20100706,3203760.360000000335276,3288724.359999999869615,3264629.959999999497086,9757115.679999999701977
20100707,3269817.000000000000000,3362755.720000000204891,3253588.399999999906868,9886162.120000001043081
20100708,3329522.040000000502914,3403567.879999999888241,3285486.239999999757856,10018577.160000000149012
20100709,3328251.720000000204891,3445329.159999999683350,3269537.319999999366701,10043119.199999999254942
20100712,3332062.680000000167638,3425397.640000000596046,3249907.879999999422580,10007369.199999999254942
20100713,3348576.840000000316650,3459565.960000000428408,3298981.479999999981374,10107125.280000001192093
20100714,3354928.440000000409782,3435837.960000000428408,3292847.279999999795109,10083614.679999999701977
20100715,3357469.080000000074506,3463362.440000000409782,3287939.919999999925494,10108772.440000001341105
20100716,3326981.400000000372529,3408313.479999999515712,3274444.679999999701977,10009740.559999998658895
20100719,3320629.800000000279397,3397873.159999999683350,3278125.199999999720603,9996629.160000000149012
20100720,3381605.160000000614673,3384585.479999999515712,3271991.000000000000000,10038182.640000000596046
20100721,3434958.600000000093132,3339976.839999999850988,3253588.399999999906868,10028524.839999999850988
20100722,3446391.479999999981374,3339027.720000000204891,3312476.719999999739230,10097896.919999999925494
20100723,3478149.479999999981374,3309605.000000000000000,3437614.399999999906868,10225369.880000000819564
20100726,3489582.360000000335276,3347569.800000000279397,3469512.239999999757856,10306665.400000000372529
20100727,3497204.280000000260770,3339027.720000000204891,3507544.279999999795109,10343777.279999999329448
20100728,3485771.400000000372529,3297266.440000000409782,3546803.159999999683350,10329842.000000000000000
20100729,3493393.320000000298023,3327638.280000000260770,3543122.639999999664724,10364155.240000000223517
20100730,3501015.240000000223517,3270691.080000000074506,3565205.759999999776483,10336913.080000000074506
20100802,3583586.040000000502914,3328587.399999999906868,3626547.759999999776483,10538722.199999999254942
20100803,3581045.400000000372529,3304859.399999999906868,3624094.079999999608845,10509999.880000000819564
20100804,3592478.280000000260770,3339976.839999999850988,3606918.319999999366701,10539374.439999999478459
20100805,3581045.400000000372529,3328587.399999999906868,3625320.919999999925494,10534954.720000000670552
20100806,3605181.479999999981374,3320045.319999999832362,3625320.919999999925494,10550548.719999998807907
20100809,3628047.240000000223517,3356111.879999999888241,3663352.959999999497086,10647513.080000000074506
20100810,3619155.000000000000000,3395025.800000000279397,3682982.399999999906868,10697164.200000001117587
20100811,3559449.960000000428408,3311503.240000000223517,3626547.759999999776483,10497501.960000000894070
20100812,3537854.520000000484288,3325740.040000000037253,3719787.599999999627471,10583383.160000000149012
20100813,3540395.160000000614673,3321943.560000000055879,3684209.239999999757856,10546548.960000000894070
20100816,3549287.400000000372529,3319096.199999999720603,3675621.359999999869615,10544005.959999999031425
20100817,3564531.240000000223517,3373196.040000000037253,3701385.000000000000000,10639113.280000001192093
20100818,3546746.760000000707805,3357061.000000000000000,3698931.319999999366701,10602740.080000000074506
20100819,3511177.800000000279397,3294419.080000000074506,3633908.799999999813735,10439506.679999999701977
20100820,3512448.120000000111759,3268792.839999999850988,3603237.799999999813735,10384479.759999999776483
20100823,3531502.920000000391155,3319096.199999999720603,3608145.159999999683350,10458745.279999999329448
20100824,3535313.879999999888241,3268792.839999999850988,3615506.199999999720603,10419613.919999999925494
20100825,3518799.720000000204891,3278284.040000000037253,3638816.159999999683350,10435900.919999999925494
20100826,3503555.879999999888241,3272589.319999999832362,3619186.719999999739230,10395332.919999998062849
20100827,3567071.879999999888241,3321943.560000000055879,3660899.279999999795109,10549915.719999998807907
20100830,3528962.280000000260770,3296317.319999999832362,3611825.679999999701977,10437106.279999999329448
20100831,3549287.400000000372529,3337129.479999999515712,3622867.239999999757856,10509285.119999999180436
20100901,3640750.440000000409782,3380789.000000000000000,3712426.560000000055879,10733967.000000000000000
20100902,3644561.400000000372529,3355162.760000000242144,3694023.959999999497086,10693749.119999999180436
20100903,3655994.280000000260770,3377941.640000000596046,3705065.519999999552965,10739002.440000001341105
20100907,3661075.560000000521541,3365603.080000000074506,3707519.199999999720603,10734198.839999999850988
20100908,3673778.760000000707805,3398822.280000000260770,3736963.359999999869615,10809565.400000000372529
20100909,3702996.120000000111759,3424448.520000000018626,3783583.279999999795109,10911028.919999999925494
20100910,3716969.640000000596046,3478548.359999999869615,3781129.599999999627471,10976648.599999999627471
20100913,3686481.960000000428408,3437736.199999999720603,3790944.319999999366701,10915163.480000000447035
20100914,3658534.920000000391155,3466209.800000000279397,3792171.159999999683350,10916916.880000000819564
20100915,3647102.040000000502914,3465260.679999999701977,3826522.679999999701977,10938886.400000000372529
20100916,3653453.640000000596046,3457667.720000000204891,3854740.000000000000000,10965862.360000001266599
20100917,3655994.280000000260770,3448176.520000000018626,3886637.839999999850988,10990809.640000000596046
20100920,3682671.000000000000000,3468108.040000000037253,3936938.280000000260770,11087718.320000000298023
20100921,3691563.240000000223517,3485192.199999999720603,3965155.599999999627471,11141912.039999999105930
20100922,3699185.160000000614673,3507971.080000000074506,3973743.479999999981374,11180900.720000000670552
