代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12160851.179999999701977
真實報酬,2160851.179999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16886.596642354685173
風險,163926.073952197592007
起點值,0.103013487941393
找到最佳解世代,2062
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AAPL[0](5),BA[2](8),JPM[13](3),V[25](10),
Stock#,AAPL[0](5),BA[2](8),JPM[13](3),V[25](10),
張數,26071,19276,40809,33566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.810000000055879,95.560000000055879,40.660000000149012,4.319999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2476536.100000000093132,2447569.280000000260770,2430216.609999999869615,2506377.540000000037253,9860699.530000001192093
FS( 3 ),2490614.439999999944121,2447376.520000000018626,2456334.370000000111759,2485902.279999999795109,9880227.609999999403954
FS( 4 ),2501303.549999999813735,2451424.479999999981374,2456334.370000000111759,2485902.279999999795109,9894964.679999999701977
FS( 5 ),2520596.090000000316650,2507710.399999999906868,2523261.129999999888241,2565118.040000000037253,10116685.660000000149012
FS( 6 ),2528417.390000000130385,2545298.600000000093132,2541217.090000000316650,2568474.639999999664724,10183407.719999998807907
FS( 7 ),2539888.629999999888241,2521589.120000000111759,2579169.460000000428408,2600698.000000000000000,10241345.210000000894070
FS( 8 ),2525549.580000000074506,2508095.920000000391155,2577537.100000000093132,2600026.679999999701977,10211209.279999999329448
FS( 9 ),2575605.900000000372529,2535853.360000000335276,2616713.740000000223517,2622851.560000000055879,10351024.560000000521541
FS( 10 ),2575345.189999999944121,2552045.199999999720603,2619162.280000000260770,2628222.119999999646097,10374774.789999999105930
FS( 11 ),2602719.740000000223517,2572092.240000000223517,2610184.300000000279397,2628557.779999999795109,10413554.060000000521541
FS( 12 ),2603762.580000000074506,2595801.720000000204891,2606103.399999999906868,2642319.839999999850988,10447987.540000000968575
FS( 13 ),2606108.969999999739230,2596958.280000000260770,2608960.030000000260770,2663802.079999999608845,10475829.359999999403954
FS( 14 ),2592291.340000000316650,2574019.839999999850988,2599165.870000000111759,2644669.459999999962747,10410146.509999999776483
FS( 15 ),2572216.669999999925494,2572863.280000000260770,2613449.020000000484288,2682263.379999999888241,10440792.350000001490116
FS( 16 ),2537802.950000000186265,2562647.000000000000000,2606511.490000000223517,2649704.359999999869615,10356665.800000000745058
FS( 17 ),2520335.379999999888241,2599464.160000000149012,2617121.830000000074506,2634599.659999999683350,10371521.029999999329448
FS( 18 ),2684061.260000000242144,2620860.520000000018626,2625283.629999999888241,2635942.299999999813735,10566147.710000000894070
FS( 19 ),2720299.950000000186265,2563996.319999999832362,2615897.560000000055879,2658095.859999999869615,10558289.689999999478459
FS( 20 ),2716910.719999999739230,2576525.720000000204891,2610592.390000000130385,2619830.619999999646097,10523859.449999999254942
FS( 21 ),2764881.359999999869615,2567851.520000000018626,2603654.859999999869615,2626879.479999999981374,10563267.220000000670552
FS( 22 ),2723949.890000000130385,2536817.160000000149012,2597533.510000000242144,2627550.799999999813735,10485851.359999999403954
FS( 23 ),2758102.900000000372529,2542021.680000000167638,2638750.600000000093132,2641984.179999999701977,10580859.359999999403954
FS( 24 ),2760188.580000000074506,2529299.520000000018626,2634669.700000000186265,2667830.000000000000000,10591987.800000000745058
FS( 25 ),2802162.890000000130385,2539323.040000000037253,2705677.359999999869615,2689983.560000000055879,10737146.849999999627471
FS( 26 ),2825366.080000000074506,2548190.000000000000000,2697515.560000000055879,2683606.020000000018626,10754677.660000000149012
