代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15137782.210000000894070
真實報酬,5137782.210000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19879.723704556949087
風險,337175.850472319580149
起點值,0.058959512304067
找到最佳解世代,2098
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,186219,
分配資金,10000000.000000000000000,
剩餘資金,39.699999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10122904.539999999105930,10122904.539999999105930
FS( 3 ),10130353.299999998882413,10130353.299999998882413
FS( 4 ),10111731.399999998509884,10111731.399999998509884
FS( 5 ),10143388.629999998956919,10143388.629999998956919
FS( 6 ),10197392.139999998733401,10197392.139999998733401
FS( 7 ),10268155.359999999403954,10268155.359999999403954
FS( 8 ),10309123.539999999105930,10309123.539999999105930
FS( 9 ),10310985.729999998584390,10310985.729999998584390
FS( 10 ),10204840.899999998509884,10204840.899999998509884
FS( 11 ),10288639.449999999254942,10288639.449999999254942
FS( 12 ),10366851.429999999701977,10366851.429999999701977
FS( 13 ),10173183.669999999925494,10173183.669999999925494
FS( 14 ),10175045.859999999403954,10175045.859999999403954
FS( 15 ),10184356.809999998658895,10184356.809999998658895
FS( 16 ),10078211.979999998584390,10078211.979999998584390
FS( 17 ),9945996.489999998360872,9945996.489999998360872
FS( 18 ),10063314.459999999031425,10063314.459999999031425
FS( 19 ),10009310.949999999254942,10009310.949999999254942
FS( 20 ),10258844.410000000149012,10258844.410000000149012
FS( 21 ),10143388.629999998956919,10143388.629999998956919
FS( 22 ),9919925.830000000074506,9919925.830000000074506
FS( 23 ),10072625.410000000149012,10072625.410000000149012
FS( 24 ),10156423.959999999031425,10156423.959999999031425
FS( 25 ),10154561.769999999552965,10154561.769999999552965
FS( 26 ),9936685.539999999105930,9936685.539999999105930
FS( 27 ),10458098.739999998360872,10458098.739999998360872
FS( 28 ),10519551.009999999776483,10519551.009999999776483
FS( 29 ),10465547.500000000000000,10465547.500000000000000
FS( 30 ),10566105.759999999776483,10566105.759999999776483
FS( 31 ),10646179.929999999701977,10646179.929999999701977
