代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14059474.130000000819564
真實報酬,4059474.130000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14920.491295354386239
風險,446674.821763138170354
起點值,0.033403475119684
找到最佳解世代,1620
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,177683,78690,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.379999999888241,37.400000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4980454.870000000111759,4918162.400000000372529,9898617.269999999552965
FS( 3 ),4987562.189999999478459,4876456.700000000186265,9864018.890000000596046
FS( 4 ),4907604.839999999850988,4846554.500000000931323,9754159.339999999850988
FS( 5 ),4795664.549999999813735,4873309.100000000558794,9668973.650000000372529
FS( 6 ),4818763.339999999850988,4769438.300000000745058,9588201.640000000596046
FS( 7 ),5021321.959999999962747,4768651.400000000372529,9789973.359999999403954
FS( 8 ),4985785.359999999403954,4804061.900000000372529,9789847.259999999776483
FS( 9 ),4941364.609999999403954,4852062.799999999813735,9793427.410000000149012
FS( 10 ),5000000.000000000000000,4889834.000000000000000,9889834.000000000000000
FS( 11 ),4928926.799999999813735,4878817.400000000372529,9807744.199999999254942
FS( 12 ),4950248.759999999776483,4911867.200000000186265,9862115.960000000894070
FS( 13 ),4870291.410000000149012,4872522.200000000186265,9742813.609999999403954
FS( 14 ),4960909.740000000223517,4892194.700000000186265,9853104.440000001341105
FS( 15 ),5031982.939999999478459,4930752.799999999813735,9962735.739999998360872
FS( 16 ),5085287.839999999850988,4955146.700000000186265,10040434.539999999105930
FS( 17 ),5129708.589999999850988,4985835.800000000745058,10115544.390000000596046
FS( 18 ),5305614.759999999776483,4990557.200000000186265,10296171.960000000894070
FS( 19 ),5371357.469999999739230,5005508.300000000745058,10376865.769999999552965
FS( 20 ),5307391.589999999850988,5003934.500000000931323,10311326.089999999850988
FS( 21 ),5371357.469999999739230,4948851.500000000000000,10320208.969999998807907
FS( 22 ),5348258.679999999701977,4913441.000000000000000,10261699.679999999701977
FS( 23 ),5431769.689999999478459,4940195.600000000558794,10371965.289999999105930
FS( 24 ),5442430.669999999925494,4902424.400000000372529,10344855.070000000298023
FS( 25 ),5355366.000000000000000,4835537.900000000372529,10190903.900000000372529
FS( 26 ),5344705.019999999552965,4870948.400000000372529,10215653.419999999925494
FS( 27 ),5380241.620000000111759,4866227.000000000931323,10246468.620000001043081
FS( 28 ),5334044.040000000037253,4903998.200000000186265,10238042.240000000223517
FS( 29 ),5271854.990000000223517,4930752.799999999813735,10202607.789999999105930
FS( 30 ),5346481.849999999627471,4925244.500000000931323,10271726.350000001490116
FS( 31 ),5316275.740000000223517,4929965.900000000372529,10246241.640000000596046
FS( 32 ),5227434.240000000223517,4900850.600000000558794,10128284.839999999850988
FS( 33 ),5458422.139999999664724,4995278.600000000558794,10453700.740000000223517
FS( 34 ),5374911.129999999888241,4958294.299999999813735,10333205.429999999701977
FS( 35 ),5280739.139999999664724,4973245.400000000372529,10253984.539999999105930
FS( 36 ),5019545.129999999888241,4988196.500000000000000,10007741.629999998956919
FS( 37 ),5154584.209999999962747,4964589.500000000931323,10119173.710000000894070
FS( 38 ),5227434.240000000223517,5021246.300000000745058,10248680.540000000968575
FS( 39 ),5277185.479999999515712,5014951.100000000558794,10292136.580000000074506
FS( 40 ),5058635.389999999664724,4944130.100000000558794,10002765.490000000223517
FS( 41 ),4875621.900000000372529,4912654.100000000558794,9788276.000000000000000
FS( 42 ),4943141.439999999478459,5027541.500000000000000,9970682.939999999478459
FS( 43 ),4971570.719999999739230,5038558.100000000558794,10010128.820000000298023
FS( 44 ),5056858.559999999590218,5131412.299999999813735,10188270.859999999403954
FS( 45 ),4875621.900000000372529,5040918.800000000745058,9916540.700000001117587
FS( 46 ),4960909.740000000223517,4986622.700000000186265,9947532.440000001341105
FS( 47 ),4927149.969999999739230,4951212.200000000186265,9878362.169999999925494
FS( 48 ),4980454.870000000111759,5002360.700000000186265,9982815.570000000298023
FS( 49 ),4952025.589999999850988,4977179.900000000372529,9929205.490000000223517
FS( 50 ),5042643.919999999925494,5019672.500000000000000,10062316.419999999925494
FS( 51 ),5087064.669999999925494,5003934.500000000931323,10090999.170000001788139
FS( 52 ),5163468.359999999403954,5036984.300000000745058,10200452.660000000149012
FS( 53 ),5142146.400000000372529,5056656.800000000745058,10198803.200000001117587
FS( 54 ),5151030.549999999813735,5073968.600000000558794,10224999.150000000372529
FS( 55 ),5119047.609999999403954,5094428.000000000000000,10213475.609999999403954
FS( 56 ),5087064.669999999925494,5096788.700000000186265,10183853.370000001043081
FS( 57 ),5001776.830000000074506,5104657.700000001117587,10106434.530000001192093
FS( 58 ),5094171.990000000223517,5135346.800000000745058,10229518.790000000968575
FS( 59 ),5127931.759999999776483,5066099.599999999627471,10194031.359999999403954
FS( 60 ),5193674.469999999739230,5024393.900000000372529,10218068.370000001043081
