代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12226818.280000001192093
真實報酬,2226818.280000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10377.400394463043995
風險,265084.333049110486172
起點值,0.039147543255755
找到最佳解世代,3199
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,159286,
分配資金,10000000.000000000000000,
剩餘資金,24.919999999925494,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9923542.719999998807907,9923542.719999998807907
FS( 3 ),9788149.620000001043081,9788149.620000001043081
FS( 4 ),9859828.320000000298023,9859828.320000000298023
FS( 5 ),9850271.160000000149012,9850271.160000000149012
FS( 6 ),9926728.439999999478459,9926728.439999999478459
FS( 7 ),9980885.679999999701977,9980885.679999999701977
FS( 8 ),9969735.660000000149012,9969735.660000000149012
FS( 9 ),9979292.820000000298023,9979292.820000000298023
FS( 10 ),9920357.000000000000000,9920357.000000000000000
FS( 11 ),10111500.199999999254942,10111500.199999999254942
FS( 12 ),10036635.779999999329448,10036635.779999999329448
FS( 13 ),10066900.120000001043081,10066900.120000001043081
FS( 14 ),10097164.460000000894070,10097164.460000000894070
FS( 15 ),10049378.660000000149012,10049378.660000000149012
FS( 16 ),10164064.580000000074506,10164064.580000000074506
FS( 17 ),10151321.699999999254942,10151321.699999999254942
FS( 18 ),10007964.299999998882413,10007964.299999998882413
FS( 19 ),9944249.900000000372529,9944249.900000000372529
FS( 20 ),10176807.460000000894070,10176807.460000000894070
FS( 21 ),10199107.500000000000000,10199107.500000000000000
FS( 22 ),10387064.979999998584390,10387064.979999998584390
FS( 23 ),10203886.080000000074506,10203886.080000000074506
FS( 24 ),10093978.740000000223517,10093978.740000000223517
FS( 25 ),10022300.040000000968575,10022300.040000000968575
FS( 26 ),10125835.939999999478459,10125835.939999999478459
FS( 27 ),10074864.419999999925494,10074864.419999999925494
FS( 28 ),10160878.859999999403954,10160878.859999999403954
FS( 29 ),10129021.660000000149012,10129021.660000000149012
FS( 30 ),10195921.780000001192093,10195921.780000001192093
FS( 31 ),10235743.280000001192093,10235743.280000001192093
FS( 32 ),10270786.200000001117587,10270786.200000001117587
FS( 33 ),10312200.559999998658895,10312200.559999998658895
FS( 34 ),10316979.139999998733401,10316979.139999998733401
FS( 35 ),10332907.740000000223517,10332907.740000000223517
FS( 36 ),10395029.280000001192093,10395029.280000001192093
FS( 37 ),10254857.599999999627471,10254857.599999999627471
