代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12535268.099999999627471
真實報酬,2535268.099999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10615.080979510901670
風險,309104.857756613055244
起點值,0.034341359293257
找到最佳解世代,2281
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](5),NKE[19](1),UNH[23](7),
Stock#,MCD[15](5),NKE[19](1),UNH[23](7),
張數,36032,72526,31068,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.679999999701977,38.040000000037253,47.279999999795109,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3384138.119999999646097,3385551.720000000204891,3349488.359999999869615,10119179.199999999254942
FS( 3 ),3388822.279999999795109,3355816.060000000055879,3352905.839999999850988,10097545.179999999701977
FS( 4 ),3399271.560000000055879,3384826.459999999962747,3380867.039999999571592,10164966.059999998658895
FS( 5 ),3386660.359999999403954,3328981.439999999944121,3342964.079999999608845,10058606.879999998956919
FS( 6 ),3340899.719999999739230,3306498.380000000353903,3308478.599999999627471,9955877.699999999254942
FS( 7 ),3387741.319999999366701,3363793.920000000391155,3385527.239999999757856,10137063.480000000447035
FS( 8 ),3394587.399999999441206,3311575.199999999720603,3412867.079999999608845,10119030.679999999701977
FS( 9 ),3426295.560000000055879,3336234.040000000037253,3412556.399999999906868,10175087.000000000000000
FS( 10 ),3446473.479999999981374,3337684.560000000055879,3400129.199999999720603,10184288.240000000223517
FS( 11 ),3399631.879999999422580,3331157.220000000204891,3410070.959999999962747,10140861.059999998658895
FS( 12 ),3407919.239999999757856,3394980.100000000093132,3410381.639999999664724,10213281.980000000447035
FS( 13 ),3393866.759999999776483,3397881.140000000130385,3418459.319999999832362,10210208.220000000670552
FS( 14 ),3393866.759999999776483,3442847.259999999776483,3498925.439999999944121,10335640.459999999031425
FS( 15 ),3398190.599999999627471,3445748.299999999813735,3616362.479999999981374,10460302.379999998956919
FS( 16 ),3422332.040000000037253,3460253.500000000000000,3586226.520000000018626,10468813.060000000521541
FS( 17 ),3554929.799999999348074,3511021.699999999720603,3543352.679999999701977,10609305.179999999701977
FS( 18 ),3585557.000000000000000,3517549.040000000037253,3531236.159999999683350,10634343.199999999254942
FS( 19 ),3563577.479999999981374,3521900.600000000093132,3530304.119999999646097,10615783.199999999254942
FS( 20 ),3603212.679999999701977,3581371.920000000391155,3554226.479999999981374,10738812.080000000074506
FS( 21 ),3593844.359999999403954,3553086.780000000260770,3506381.759999999776483,10653313.899999998509884
FS( 22 ),3612220.679999999701977,3536405.799999999813735,3536207.039999999571592,10684834.519999999552965
FS( 23 ),3571144.199999999720603,3570493.020000000018626,3566343.000000000000000,10707981.219999998807907
FS( 24 ),3499800.839999999385327,3514648.000000000000000,3507003.119999999646097,10521452.959999999031425
FS( 25 ),3520699.399999999441206,3533504.759999999776483,3569760.479999999981374,10623965.639999998733401
FS( 26 ),3469533.959999999962747,3500142.799999999813735,3493954.559999999590218,10463632.320000000298023
FS( 27 ),3421611.399999999441206,3457352.459999999962747,3502032.239999999757856,10380997.099999999627471
FS( 28 ),3468092.679999999701977,3518999.560000000055879,3569139.119999999646097,10556232.359999999403954
FS( 29 ),3471695.879999999422580,3474758.699999999720603,3580634.279999999795109,10527089.859999999403954
FS( 30 ),3500521.479999999981374,3497241.759999999776483,3682226.639999999664724,10679990.879999998956919
FS( 31 ),3465210.119999999646097,3500868.060000000055879,3653644.079999999608845,10619723.259999999776483
FS( 32 ),3495116.679999999701977,3536405.799999999813735,3726964.559999999590218,10758488.039999999105930
FS( 33 ),3458364.040000000037253,3565416.199999999720603,3751818.959999999962747,10775600.199999999254942
FS( 34 ),3496918.279999999795109,3698138.780000000260770,3701488.799999999813735,10896546.859999999403954
FS( 35 ),3553488.520000000018626,3679282.020000000018626,3698382.000000000000000,10931153.539999999105930
FS( 36 ),3580152.199999999720603,3650271.620000000111759,3669799.439999999944121,10900224.259999999776483
FS( 37 ),3536193.159999999683350,3590075.040000000037253,3620712.000000000000000,10746981.199999999254942
FS( 38 ),3518177.159999999683350,3602404.459999999962747,3611702.279999999795109,10732284.899999998509884
FS( 39 ),3493675.399999999441206,3621986.479999999981374,3666381.959999999962747,10782044.839999999850988
FS( 40 ),3526824.839999999385327,3658974.740000000223517,3759275.279999999795109,10945075.859999999403954
FS( 41 ),3510970.759999999776483,3638667.459999999962747,3675081.000000000000000,10824720.219999998807907
FS( 42 ),3469533.959999999962747,3610382.320000000298023,3648983.879999999888241,10728901.160000000149012
FS( 43 ),3452959.239999999757856,3614008.620000000111759,3646187.759999999776483,10713156.619999999180436
FS( 44 ),3469173.639999999664724,3616909.659999999683350,3656750.879999999888241,10742835.179999999701977
FS( 45 ),3471695.879999999422580,3612558.100000000093132,3645877.079999999608845,10730132.059999998658895
FS( 46 ),3489711.879999999422580,3656798.959999999962747,3671974.199999999720603,10818486.039999999105930
FS( 47 ),3478902.279999999795109,3652447.399999999906868,3683158.679999999701977,10814509.359999999403954
FS( 48 ),3523942.279999999795109,3625612.780000000260770,3697139.279999999795109,10846695.339999999850988
FS( 49 ),3510970.759999999776483,3600228.680000000167638,3708634.439999999944121,10819834.879999998956919
FS( 50 ),3516015.239999999757856,3609657.060000000055879,3725721.839999999850988,10851395.140000000596046
FS( 51 ),3474938.759999999776483,3620535.959999999962747,3644945.039999999571592,10740420.759999999776483
FS( 52 ),3445752.839999999385327,3622711.740000000223517,3777916.079999999608845,10846381.660000000149012
FS( 53 ),3418728.839999999385327,3574119.320000000298023,3688129.559999999590218,10680978.719999998807907
FS( 54 ),3465570.439999999944121,3626338.040000000037253,3684090.719999999739230,10776000.199999999254942
FS( 55 ),3418368.520000000018626,3637216.939999999944121,3705838.319999999832362,10761424.779999999329448
FS( 56 ),3525383.560000000055879,3632140.120000000111759,3660168.359999999869615,10817693.039999999105930
FS( 57 ),3495116.679999999701977,3666952.600000000093132,3674148.959999999962747,10836219.239999998360872
FS( 58 ),3557812.359999999403954,3661150.520000000018626,3687508.199999999720603,10906472.079999998211861
FS( 59 ),3474938.759999999776483,3660425.259999999776483,3611391.599999999627471,10746756.619999999180436
FS( 60 ),3488991.239999999757856,3621261.220000000204891,3653333.399999999906868,10763586.859999999403954
FS( 61 ),3495837.319999999366701,3632865.380000000353903,3529682.759999999776483,10658386.459999999031425
FS( 62 ),3478902.279999999795109,3584272.959999999962747,3461022.479999999981374,10524198.720000000670552
FS( 63 ),3523942.279999999795109,3654623.180000000167638,3516944.879999999888241,10695511.339999999850988
FS( 64 ),3463768.839999999385327,3656798.959999999962747,3559197.359999999869615,10679766.159999998286366
FS( 65 ),3463768.839999999385327,3641568.500000000000000,3522226.439999999944121,10627564.779999999329448
FS( 66 ),3473137.159999999683350,3634315.899999999906868,3525954.599999999627471,10633408.660000000149012
FS( 67 ),3487189.639999999664724,3679282.020000000018626,3565410.959999999962747,10731883.620000001043081
FS( 68 ),3539436.040000000037253,3714819.759999999776483,3593993.520000000018626,10848250.320000000298023
FS( 69 ),3513493.000000000000000,3727874.439999999944121,3565721.639999999664724,10807090.079999998211861
FS( 70 ),3529347.079999999608845,3712643.979999999981374,3561682.799999999813735,10803674.859999999403954
FS( 71 ),3507727.879999999422580,3704666.120000000111759,3599585.759999999776483,10811980.759999999776483
FS( 72 ),3520699.399999999441206,3751082.759999999776483,3682537.319999999832362,10954320.479999998584390
FS( 73 ),3532589.959999999962747,3806927.780000000260770,3707391.719999999739230,11046910.460000000894070
FS( 74 ),3531869.319999999366701,3798949.920000000391155,3721993.679999999701977,11052813.919999999925494
FS( 75 ),3627714.439999999944121,3794598.359999999869615,3745294.679999999701977,11167608.480000000447035
FS( 76 ),3607176.199999999720603,3793873.100000000093132,3766731.599999999627471,11167781.899999998509884
FS( 77 ),3577269.639999999664724,3785895.240000000223517,3742498.559999999590218,11105664.439999999478459
FS( 78 ),3566820.359999999403954,3787345.759999999776483,3715469.399999999906868,11069636.519999999552965
FS( 79 ),3547723.399999999441206,3750357.500000000000000,3673527.599999999627471,10971609.500000000000000
FS( 80 ),3554929.799999999348074,3729324.959999999962747,3711119.879999999888241,10995375.640000000596046
FS( 81 ),3476380.040000000037253,3709742.939999999944121,3716401.439999999944121,10902525.419999999925494
FS( 82 ),3456562.439999999944121,3687259.880000000353903,3734731.559999999590218,10878554.879999998956919
FS( 83 ),3467011.719999999739230,3690160.920000000391155,3723857.759999999776483,10881031.400000000372529
FS( 84 ),3469533.959999999962747,3703215.600000000093132,3658304.279999999795109,10831054.839999999850988
FS( 85 ),3477821.319999999366701,3717720.799999999813735,3676945.079999999608845,10872488.199999999254942
FS( 86 ),3470254.599999999627471,3697413.520000000018626,3624129.479999999981374,10791798.599999999627471
