代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11087358.209999999031425
真實報酬,1087358.209999999031425

夏普值報酬,0.100035821000000
夏普值風險,0.029872343696606
夏普值,3.348777116921195

二次趨勢線,-214.224594924667258 x^2 + 29890.278405993740307 x + 10000000.000000000000000
二次加權預期報酬,11466.963242472353159
風險,77386.642584654080565
二次加權趨勢值,0.148177551829161
一次趨勢線,19527.786372428439790 x + 10000000.000000000000000
一次預期報酬,19527.786372428439790
一次風險,126450.929046123739681
一次趨勢值,0.154429758007595
找到最佳解世代,2196
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),JPM[13](5),PG[21](1),V[25](2),
Stock#,AAPL[0](3),JPM[13](5),PG[21](1),V[25](2),
張數,26071,40809,29488,33566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.810000000055879,40.660000000149012,7.359999999869615,4.319999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2476536.100000000093132,2430216.609999999869615,2519462.079999999608845,2506377.540000000037253,9932592.329999998211861
FS( 3 ),2490614.439999999944121,2456334.370000000111759,2507372.000000000000000,2485902.279999999795109,9940223.089999999850988
FS( 4 ),2501303.549999999813735,2456334.370000000111759,2501474.399999999906868,2485902.279999999795109,9945014.599999999627471
FS( 5 ),2520596.090000000316650,2523261.129999999888241,2529193.119999999646097,2565118.040000000037253,10138168.379999998956919
FS( 6 ),2528417.390000000130385,2541217.090000000316650,2528603.359999999869615,2568474.639999999664724,10166712.480000000447035
FS( 7 ),2539888.629999999888241,2579169.460000000428408,2528603.359999999869615,2600698.000000000000000,10248359.449999999254942
FS( 8 ),2525549.580000000074506,2577537.100000000093132,2532731.679999999701977,2600026.679999999701977,10235845.039999999105930
FS( 9 ),2575605.900000000372529,2616713.740000000223517,2532141.919999999925494,2622851.560000000055879,10347313.120000001043081
FS( 10 ),2575345.189999999944121,2619162.280000000260770,2536270.240000000223517,2628222.119999999646097,10358999.830000000074506
FS( 11 ),2602719.740000000223517,2610184.300000000279397,2533911.200000000186265,2628557.779999999795109,10375373.020000001415610
FS( 12 ),2603762.580000000074506,2606103.399999999906868,2540988.319999999832362,2642319.839999999850988,10393174.140000000596046
FS( 13 ),2606108.969999999739230,2608960.030000000260770,2515923.519999999552965,2663802.079999999608845,10394794.599999999627471
FS( 14 ),2592291.340000000316650,2599165.870000000111759,2514154.240000000223517,2644669.459999999962747,10350280.910000000149012
FS( 15 ),2572216.669999999925494,2613449.020000000484288,2527718.719999999739230,2682263.379999999888241,10395647.789999999105930
FS( 16 ),2537802.950000000186265,2606511.490000000223517,2530077.759999999776483,2649704.359999999869615,10324096.560000000521541
FS( 17 ),2520335.379999999888241,2617121.830000000074506,2514449.119999999646097,2634599.659999999683350,10286505.990000000223517
FS( 18 ),2684061.260000000242144,2625283.629999999888241,2490563.839999999850988,2635942.299999999813735,10435851.030000001192093
FS( 19 ),2720299.950000000186265,2615897.560000000055879,2500884.640000000130385,2658095.859999999869615,10495178.009999999776483
FS( 20 ),2716910.719999999739230,2610592.390000000130385,2523885.279999999795109,2619830.619999999646097,10471219.009999997913837
FS( 21 ),2764881.359999999869615,2603654.859999999869615,2548065.439999999944121,2626879.479999999981374,10543481.140000000596046
