代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9740394.440000001341105
真實報酬,-259605.559999998658895

夏普值報酬,-0.034660556000000
夏普值風險,0.028538577960752
夏普值,-1.214515875586634

二次趨勢線,488.220736206307095 x^2 + -30848.630524742471607 x + 10000000.000000000000000
二次加權預期報酬,11138.352788999940458
風險,201619.323727396491449
二次加權趨勢值,0.055244470535274
一次趨勢線,-7232.371657088529901 x + 10000000.000000000000000
一次預期報酬,-7232.371657088529901
一次風險,304294.795309454959352
一次趨勢值,-2200773052.995657920837402
找到最佳解世代,2135
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
V[25](2),VZ[26](1),
Stock#,V[25](2),VZ[26](1),
張數,227376,132275,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.760000000707805,5.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5020463.840000000782311,5002645.500000000000000,10023109.339999999850988
FS( 3 ),5013642.560000000521541,4965608.500000000000000,9979251.060000000521541
FS( 4 ),5125056.800000000745058,4949735.500000000000000,10074792.300000000745058
FS( 5 ),5100045.440000000409782,4957672.000000000000000,10057717.440000001341105
FS( 6 ),4997726.240000001154840,4910053.000000000000000,9907779.240000002086163
FS( 7 ),4986357.440000000409782,4906084.750000000000000,9892442.190000001341105
FS( 8 ),5045475.200000001117587,4886243.500000000000000,9931718.700000001117587
FS( 9 ),5000000.000000000000000,4878307.000000000000000,9878307.000000000000000
FS( 10 ),5045475.200000001117587,4870370.500000000000000,9915845.700000001117587
FS( 11 ),5006821.280000000260770,4855820.250000000000000,9862641.530000001192093
FS( 12 ),5070486.560000000521541,4890211.750000000000000,9960698.310000000521541
FS( 13 ),5038653.920000000856817,4937830.750000000000000,9976484.670000001788139
FS( 14 ),5004547.520000001415610,4969576.750000000000000,9974124.270000001415610
FS( 15 ),5088676.640000000596046,4859788.500000000000000,9948465.140000000596046
FS( 16 ),5063665.280000000260770,4791005.500000000000000,9854670.780000001192093
FS( 17 ),5070486.560000000521541,4798942.000000000000000,9869428.560000000521541
FS( 18 ),4988631.200000001117587,4789682.750000000000000,9778313.950000001117587
FS( 19 ),4940882.240000001154840,4716931.500000000000000,9657813.740000002086163
