代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9740394.440000001341105
真實報酬,-259605.559999998658895

夏普值報酬,-0.034660556000000
夏普值風險,0.028538577960752
夏普值,-1.214515875586634

二次趨勢線,488.220736206307095 x^2 + -30848.630524742471607 x + 10000000.000000000000000
二次加權預期報酬,11138.352788999940458
風險,201619.323727396491449
二次加權趨勢值,0.055244470535274
一次趨勢線,-7232.371657088529901 x + 10000000.000000000000000
一次預期報酬,-7232.371657088529901
一次風險,304294.795309454959352
一次趨勢值,-2200773052.995657920837402
找到最佳解世代,2135
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
V[25](2),VZ[26](1),
FS( 20 ),4863574.400000000372529,4667989.750000000000000,9531564.150000000372529
FS( 21 ),4870395.680000000633299,4744709.250000000000000,9615104.929999999701977
FS( 22 ),4749886.400000000372529,4694444.750000000000000,9444331.150000000372529
FS( 23 ),4972714.880000000819564,4757936.750000000000000,9730651.630000000819564
FS( 24 ),4831741.760000000707805,4619048.000000000000000,9450789.760000001639128
FS( 25 ),4740791.360000001266599,4636243.750000000000000,9377035.110000001266599
FS( 26 ),4504320.320000000298023,4380953.000000000000000,8885273.320000000298023
FS( 27 ),4704411.200000001117587,4535714.750000000000000,9240125.950000001117587
FS( 28 ),4506594.080000001005828,4452381.500000000000000,8958975.580000001937151
FS( 29 ),4804456.640000000596046,4579365.500000000000000,9383822.140000000596046
FS( 30 ),4765802.720000000670552,4537037.500000000000000,9302840.220000000670552
FS( 31 ),4881764.480000000447035,4636243.750000000000000,9518008.230000000447035
FS( 32 ),4879490.720000000670552,4613757.000000000000000,9493247.720000000670552
FS( 33 ),4774897.760000000707805,4710317.750000000000000,9485215.510000001639128
FS( 34 ),4563438.080000001005828,4638889.250000000000000,9202327.330000001937151
FS( 35 ),4524784.160000000149012,4591270.250000000000000,9116054.410000000149012
FS( 36 ),4536152.960000000894070,4605820.500000000000000,9141973.460000000894070
FS( 37 ),4761255.200000001117587,4756614.000000000000000,9517869.200000001117587
FS( 38 ),4911323.360000001266599,4824074.250000000000000,9735397.610000001266599
FS( 39 ),4781719.040000000968575,4731481.750000000000000,9513200.790000000968575
FS( 40 ),4879490.720000000670552,4730159.000000000000000,9609649.720000000670552
FS( 41 ),4922692.160000000149012,4780423.500000000000000,9703115.660000000149012
FS( 42 ),4997726.240000001154840,4802910.250000000000000,9800636.490000002086163
FS( 43 ),4995452.480000000447035,4784391.750000000000000,9779844.230000000447035
FS( 44 ),4986357.440000000409782,4746032.000000000000000,9732389.440000001341105
FS( 45 ),4863574.400000000372529,4703704.000000000000000,9567278.400000000372529
FS( 46 ),4881764.480000000447035,4658730.500000000000000,9540494.980000000447035
FS( 47 ),5029558.880000000819564,4711640.500000000000000,9741199.380000000819564
FS( 48 ),4972714.880000000819564,4679894.500000000000000,9652609.380000000819564
FS( 49 ),4909049.600000000558794,4661376.000000000000000,9570425.600000001490116
FS( 50 ),4970441.120000001043081,4662698.750000000000000,9633139.870000001043081
FS( 51 ),4988631.200000001117587,4695767.500000000000000,9684398.700000001117587
FS( 52 ),5093224.160000000149012,4708995.000000000000000,9802219.160000000149012
FS( 53 ),5145520.640000000596046,4787037.250000000000000,9932557.890000000596046
FS( 54 ),5163710.720000000670552,4857143.000000000000000,10020853.720000000670552
FS( 55 ),5118235.520000001415610,4798942.000000000000000,9917177.520000001415610
FS( 56 ),5277398.720000000670552,4816137.750000000000000,10093536.470000000670552
FS( 57 ),5197817.120000001043081,4740741.000000000000000,9938558.120000001043081
FS( 58 ),5020463.840000000782311,4707672.250000000000000,9728136.089999999850988
FS( 59 ),5120509.280000000260770,4746032.000000000000000,9866541.280000001192093
FS( 60 ),5131878.080000001005828,4809524.000000000000000,9941402.080000001937151
FS( 61 ),5086402.880000000819564,4879629.750000000000000,9966032.630000000819564
FS( 62 ),4981809.920000000856817,4873016.000000000000000,9854825.920000001788139
FS( 63 ),4984083.680000000633299,4914021.250000000000000,9898104.929999999701977
FS( 64 ),4872669.440000000409782,4867725.000000000000000,9740394.440000001341105
