代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10611975.099999999627471
真實報酬,611975.099999999627471

夏普值報酬,0.052497510000000
夏普值風險,0.025876359691230
夏普值,2.028782665971032

二次趨勢線,234.112998699645942 x^2 + -11857.780544657298378 x + 10000000.000000000000000
二次加權預期報酬,8275.937343512252482
風險,235860.969009800144704
二次加權趨勢值,0.035088202080474
一次趨勢線,-533.244793604655911 x + 10000000.000000000000000
一次預期報酬,-533.244793604655911
一次風險,259951.410177066543838
一次趨勢值,-138617736.067109107971191
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](2),NKE[19](1),
Stock#,INTC[11](2),NKE[19](1),
張數,165672,91374,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.040000000037253,14.719999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5062955.359999999403954,5020102.279999999329448,10083057.639999998733401
FS( 3 ),4976805.919999999925494,5018274.799999999813735,9995080.719999998807907
FS( 4 ),4953611.839999999850988,5084977.819999999366701,10038589.660000000149012
FS( 5 ),4887343.040000000037253,4992690.080000000074506,9880033.120000001043081
FS( 6 ),4792910.000000000000000,5000000.000000000000000,9792910.000000000000000
FS( 7 ),4832671.280000000260770,5049341.959999999962747,9882013.240000000223517
FS( 8 ),4925447.600000000558794,5136147.259999999776483,10061594.859999999403954
FS( 9 ),4912193.839999999850988,5132492.299999999813735,10044686.140000000596046
FS( 10 ),4918820.720000000670552,5112390.019999999552965,10031210.740000000223517
FS( 11 ),4953611.839999999850988,5132492.299999999813735,10086104.140000000596046
FS( 12 ),4882372.879999999888241,5153508.319999999366701,10035881.199999999254942
FS( 13 ),4821074.240000000223517,5169041.899999999441206,9990116.140000000596046
FS( 14 ),4758118.879999999888241,5162645.719999999739230,9920764.599999999627471
FS( 15 ),4739894.959999999962747,5212901.419999999925494,9952796.379999998956919
FS( 16 ),4738238.240000000223517,5208332.719999999739230,9946570.960000000894070
FS( 17 ),4648775.359999999403954,5162645.719999999739230,9811421.079999998211861
FS( 18 ),4696820.240000000223517,5105080.099999999627471,9801900.339999999850988
FS( 19 ),4797880.160000000149012,5184575.479999999515712,9982455.640000000596046
FS( 20 ),4806163.760000000707805,5250364.759999999776483,10056528.519999999552965
FS( 21 ),4789596.560000000521541,5254933.459999999962747,10044530.019999999552965
FS( 22 ),4796223.439999999478459,5264070.859999999403954,10060294.299999998882413
FS( 23 ),4812790.640000000596046,5246709.799999999813735,10059500.440000001341105
FS( 24 ),4826044.399999999441206,5289655.580000000074506,10115699.980000000447035
FS( 25 ),4824387.680000000633299,5334428.839999999850988,10158816.519999999552965
FS( 26 ),4806163.760000000707805,5259502.160000000149012,10065665.920000001788139
FS( 27 ),4784626.399999999441206,5232089.959999999962747,10016716.359999999403954
FS( 28 ),4910537.120000000111759,5270467.040000000037253,10181004.160000000149012
FS( 29 ),4799536.879999999888241,5229348.739999999292195,10028885.619999999180436
FS( 30 ),4880716.160000000149012,5165386.939999999478459,10046103.099999999627471
FS( 31 ),4782969.680000000633299,5190057.919999999925494,9973027.600000001490116
FS( 32 ),4807820.479999999515712,5224780.040000000037253,10032600.519999999552965
FS( 33 ),4817760.799999999813735,5253105.979999999515712,10070866.779999999329448
FS( 34 ),4789596.560000000521541,5245796.059999999590218,10035392.620000001043081
FS( 35 ),4698476.959999999962747,5252192.239999999292195,9950669.199999999254942
FS( 36 ),4560969.200000000186265,5130664.819999999366701,9691634.019999999552965
FS( 37 ),4400267.359999999403954,4883041.279999999329448,9283308.639999998733401
FS( 38 ),4348909.040000000037253,4745980.279999999329448,9094889.320000000298023
FS( 39 ),4285953.680000000633299,4730446.700000000186265,9016400.380000000819564
FS( 40 ),4522864.640000000596046,4968932.839999999850988,9491797.480000000447035
FS( 41 ),4592446.879999999888241,5145284.660000000149012,9737731.539999999105930
FS( 42 ),4708417.280000000260770,5139802.219999999739230,9848219.500000000000000
FS( 43 ),4728297.919999999925494,5105993.839999999850988,9834291.759999999776483
FS( 44 ),4609014.080000000074506,4963450.399999999441206,9572464.480000000447035
FS( 45 ),4738238.240000000223517,5057565.620000000111759,9795803.859999999403954
FS( 46 ),4817760.799999999813735,5064875.540000000037253,9882636.339999999850988
FS( 47 ),4724984.479999999515712,5011878.620000000111759,9736863.099999999627471
FS( 48 ),4887343.040000000037253,5105993.839999999850988,9993336.879999998956919
FS( 49 ),4844268.319999999366701,5019188.540000000037253,9863456.859999999403954
FS( 50 ),4849238.479999999515712,5042945.779999999329448,9892184.259999997913837
FS( 51 ),4882372.879999999888241,5108735.059999999590218,9991107.939999999478459
FS( 52 ),4869119.120000000111759,5112390.019999999552965,9981509.140000000596046
FS( 53 ),4925447.600000000558794,5201022.799999999813735,10126470.400000000372529
FS( 54 ),4932074.479999999515712,5280518.179999999701977,10212592.660000000149012
FS( 55 ),4922134.160000000149012,5266812.080000000074506,10188946.240000000223517
FS( 56 ),4807820.479999999515712,5256760.939999999478459,10064581.419999998062849
FS( 57 ),4831014.560000000521541,5325291.439999999478459,10156306.000000000000000
FS( 58 ),4749835.280000000260770,5298792.979999999515712,10048628.259999999776483
FS( 59 ),4761432.319999999366701,5274122.000000000000000,10035554.320000000298023
FS( 60 ),4718357.600000000558794,5244882.319999999366701,9963239.919999999925494
FS( 61 ),4773029.359999999403954,5710889.719999999739230,10483919.079999998211861
FS( 62 ),4764745.760000000707805,5580224.899999999441206,10344970.660000000149012
FS( 63 ),4844268.319999999366701,5467834.879999999888241,10312103.199999999254942
FS( 64 ),4993373.120000000111759,5618601.979999999515712,10611975.099999999627471
