代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12143608.019999999552965
真實報酬,2143608.019999999552965

夏普值報酬,0.205660802000000
夏普值風險,0.059817649775015
夏普值,3.438129093562312

二次趨勢線,346.832291308827450 x^2 + 13816.804377993918024 x + 10000000.000000000000000
二次加權預期報酬,42719.495320396199531
風險,78376.546905553375836
二次加權趨勢值,0.545054573173207
一次趨勢線,30073.527536221201444 x + 10000000.000000000000000
一次預期報酬,30073.527536221201444
一次風險,171054.316142700379714
一次趨勢值,0.175812737230978
找到最佳解世代,1574
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](2),IBM[10](7),JPM[13](3),KO[14](4),UNH[23](15),
Stock#,AAPL[0](1),HD[9](2),IBM[10](7),JPM[13](3),KO[14](4),UNH[23](15),
張數,28368,39550,8946,47646,47523,32368,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,46.000000000000000,29.000000000000000,26.199999999953434,8.920000000158325,34.389999999897555,37.679999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1675460.080000000074506,1690396.000000000000000,1659867.039999999804422,1665236.620000000344589,1656210.939999999944121,1690942.000000000000000,10038116.679999999701977
FS( 3 ),1694182.959999999962747,1704238.500000000232831,1651994.559999999823049,1700018.200000000186265,1648607.259999999776483,1702270.800000000046566,10101316.280000001192093
FS( 4 ),1711771.120000000111759,1708589.000000000000000,1633029.039999999804422,1684771.480000000214204,1638152.199999999953434,1708420.719999999972060,10084737.560000000521541
FS( 5 ),1709218.000000000000000,1709775.499999999767169,1624530.340000000083819,1681912.719999999972060,1638152.199999999953434,1706478.639999999897555,10070071.400000000372529
FS( 6 ),1715175.280000000027940,1721640.500000000000000,1622025.459999999962747,1717647.219999999972060,1647656.800000000046566,1703241.839999999850988,10127391.099999999627471
FS( 7 ),1712338.479999999981374,1718872.000000000000000,1631060.919999999925494,1746711.280000000027940,1617242.079999999841675,1715865.359999999869615,10142094.119999999180436
FS( 8 ),1707799.600000000093132,1716103.500000000000000,1615226.500000000000000,1755764.020000000251457,1605361.329999999841675,1711333.839999999850988,10111592.789999999105930
FS( 9 ),1701274.959999999962747,1720849.500000000000000,1602791.559999999823049,1711453.240000000223517,1591579.659999999916181,1705831.280000000027940,10033784.199999999254942
FS( 10 ),1721132.560000000055879,1729946.000000000000000,1610306.199999999953434,1663330.780000000027940,1600133.800000000046566,1733991.439999999944121,10058844.779999999329448
FS( 11 ),1739004.399999999906868,1775033.000000000000000,1619878.419999999925494,1740993.760000000009313,1606311.789999999804422,1745967.599999999860302,10227192.969999998807907
FS( 12 ),1733614.479999999981374,1795994.499999999767169,1614958.120000000111759,1759575.700000000186265,1602985.179999999701977,1693531.439999999944121,10200663.419999999925494
FS( 13 ),1703260.719999999972060,1760399.500000000000000,1686526.120000000111759,1780063.480000000214204,1618192.539999999804422,1691913.040000000037253,10240359.399999998509884
FS( 14 ),1732196.080000000074506,1775033.000000000000000,1699587.279999999795109,1794357.280000000027940,1628647.600000000093132,1697091.919999999925494,10326917.160000000149012
FS( 15 ),1703828.080000000074506,1778197.000000000000000,1717031.979999999981374,1794357.280000000027940,1613440.239999999990687,1661487.119999999878928,10268345.699999999254942
FS( 16 ),1810208.080000000074506,1790062.000000000000000,1715242.779999999795109,1791498.520000000251457,1626271.449999999953434,1669255.439999999944121,10402542.269999999552965
FS( 17 ),1801981.360000000102445,1777801.500000000000000,1708533.279999999795109,1786257.460000000195578,1616291.619999999878928,1629766.479999999981374,10320635.700000001117587
FS( 18 ),1812761.199999999953434,1774637.500000000000000,1703881.360000000102445,1772916.580000000307336,1602509.949999999953434,1651453.040000000037253,10318163.629999998956919
FS( 19 ),1836022.959999999962747,1770682.500000000232831,1722131.199999999953434,1763387.380000000121072,1602985.179999999701977,1653071.439999999944121,10348284.659999998286366
FS( 20 ),1849923.279999999795109,1755653.500000000000000,1723025.799999999813735,1777204.719999999972060,1604886.100000000093132,1676376.399999999906868,10387073.800000000745058
FS( 21 ),1848788.560000000055879,1758817.500000000000000,1723204.719999999972060,1791498.520000000251457,1612014.550000000046566,1723957.359999999869615,10458285.210000000894070
FS( 22 ),1844533.359999999869615,1758422.000000000000000,1713453.580000000074506,1789116.219999999972060,1612014.550000000046566,1700652.399999999906868,10418196.109999999403954
