代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11509288.859999999403954
真實報酬,1509288.859999999403954

夏普值報酬,0.142228886000000
夏普值風險,0.054378873771500
夏普值,2.615517316479279

二次趨勢線,528.113255577934410 x^2 + -6027.298584225565719 x + 10000000.000000000000000
二次加權預期報酬,38686.290388039538811
風險,151278.057977833377663
二次加權趨勢值,0.255729686810947
一次趨勢線,19122.535823139307467 x + 10000000.000000000000000
一次預期報酬,19122.535823139307467
一次風險,282823.644329147646204
一次趨勢值,0.067612931968604
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
JNJ[12](5),MSFT[18](1),
Stock#,JNJ[12](5),MSFT[18](1),
張數,94268,258933,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.280000000260770,3.770000000484288,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4993401.240000000223517,4994821.339999999850988,9988222.580000000074506
FS( 3 ),4916101.480000000447035,4854997.520000000484288,9771099.000000000000000
FS( 4 ),4920814.880000000819564,4857586.850000000558794,9778401.730000000447035
FS( 5 ),4841629.759999999776483,4857586.850000000558794,9699216.609999999403954
FS( 6 ),4850113.880000000819564,4968928.040000000968575,9819041.920000001788139
FS( 7 ),4846343.160000000149012,5093215.880000000819564,9939559.040000000968575
FS( 8 ),4821833.480000000447035,5072501.240000000223517,9894334.720000000670552
FS( 9 ),4842572.440000000409782,5010357.320000001229346,9852929.760000001639128
FS( 10 ),4880279.640000000596046,4875712.160000000149012,9755991.800000000745058
FS( 11 ),4920814.880000000819564,5116519.850000000558794,10037334.730000000447035
FS( 12 ),5000942.679999999701977,4971517.370000000111759,9972460.050000000745058
FS( 13 ),4946267.240000000223517,4818746.900000000372529,9765014.140000000596046
FS( 14 ),4945324.560000000521541,4911962.780000000260770,9857287.339999999850988
FS( 15 ),4824661.520000000484288,4862765.510000000707805,9687427.030000001192093
FS( 16 ),4845400.480000000447035,4899016.130000000819564,9744416.610000001266599
FS( 17 ),4800151.840000000782311,5414292.800000000745058,10214444.640000000596046
FS( 18 ),4794495.759999999776483,5282236.969999999739230,10076732.730000000447035
FS( 19 ),4774699.480000000447035,5160538.459999999962747,9935237.940000001341105
FS( 20 ),4810521.320000000298023,5243397.020000000484288,10053918.339999999850988
FS( 21 ),4935897.759999999776483,5245986.350000000558794,10181884.109999999403954
FS( 22 ),4957579.400000000372529,5240807.690000000409782,10198387.089999999850988
FS( 23 ),5067872.959999999962747,5227861.040000000968575,10295734.000000000000000
FS( 24 ),5124433.759999999776483,5124287.839999999850988,10248721.599999999627471
FS( 25 ),5110293.560000000521541,5124287.839999999850988,10234581.400000000372529
FS( 26 ),5174395.800000000745058,5002589.330000001005828,10176985.130000002682209
