訓練日期,20150825 - 20151124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12713906.949999999254942
真實報酬,2713906.949999999254942

夏普值報酬,0.262690695000000
夏普值風險,0.070740041228523
夏普值,3.713465392978599

預期報酬,45455.155828324357572
風險,242649.785728153714444
趨勢值,0.187328233948036
找到最佳解世代,2291
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),MSFT[18](4),NKE[19](10),
Stock#,DIS[6](2),MSFT[18](4),NKE[19](10),
張數,34955,79974,64176,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.200000000186265,16.680000000167638,31.560000000055879,
20150825,3351859.150000000372529,3236564.459999999962747,3322423.080000000074506,9910847.690000001341105
20150826,3468608.850000000093132,3415706.220000000204891,3489922.440000000409782,10374238.510000001639128
20150827,3571376.550000000279397,3510875.280000000260770,3613782.120000000111759,10696034.949999999254942
20150828,3582212.600000000093132,3513274.500000000000000,3609931.560000000055879,10705419.660000000149012
20150831,3561239.600000000093132,3480485.160000000614673,3586186.440000000409782,10627912.200000001117587
20150901,3478396.250000000465661,3344529.360000000335276,3486071.879999999888241,10308998.490000002086163
20150902,3561589.150000000372529,3467689.320000000298023,3552173.160000000149012,10581452.630000000819564
20150903,3565084.649999999906868,3478885.680000000167638,3557307.240000000223517,10601278.570000000298023
20150904,3529430.550000000279397,3407708.820000000298023,3520085.160000000149012,10457225.530000001192093
20150908,3635693.750000000465661,3510075.540000000037253,3586186.440000000409782,10731956.730000000447035
20150909,3562288.250000000000000,3444496.860000000335276,3525219.240000000223517,10532005.350000001490116
20150910,3586407.200000000186265,3462091.140000000130385,3541905.000000000000000,10590404.339999999850988
20150911,3652122.600000000093132,3477286.199999999720603,3588111.719999999739230,10717521.519999999552965
20150914,3629052.299999999813735,3442097.640000000130385,3590678.760000000242144,10661829.699999999254942
20150915,3615419.850000000558794,3517273.199999999720603,3652929.479999999981374,10785623.530000001192093
20150916,3633946.000000000000000,3542864.879999999888241,3708762.600000000093132,10885574.480000000447035
20150917,3642335.200000000186265,3538866.180000000167638,3699136.200000000186265,10880338.580000001937151
20150918,3594796.400000000372529,3477286.199999999720603,3692076.840000000316650,10764160.439999999478459
20150921,3614720.750000000000000,3527669.820000000298023,3740208.840000000316650,10882600.410000000149012
20150922,3582562.149999999906868,3510875.280000000260770,3721597.800000000279397,10815036.230000000447035
20150923,3550403.549999999813735,3508476.060000000055879,3704270.279999999795109,10763150.889999998733401
20150924,3517196.300000000279397,3511675.020000000018626,3683733.959999999962747,10712606.280000001192093
20150925,3506010.700000000186265,3514074.239999999757856,4011031.560000000055879,11031117.500000000000000
20150928,3442742.149999999906868,3462091.140000000130385,3919259.879999999888241,10824094.169999999925494
20150929,3475250.300000000279397,3474087.239999999757856,3840323.400000000372529,10789661.940000001341105
20150930,3572425.200000000186265,3539665.919999999925494,3946213.800000000279397,11058305.919999999925494
20151001,3588854.050000000279397,3567656.820000000298023,3973809.479999999981374,11130321.350000001490116
20151002,3600389.200000000186265,3644431.860000000335276,4018090.919999999925494,11262912.980000000447035
20151005,3630100.950000000186265,3729204.300000000279397,3987928.200000000186265,11347234.449999999254942
20151006,3627304.550000000279397,3738801.180000000167638,3953273.160000000149012,11319379.890000000596046
20151007,3614021.650000000372529,3742799.879999999888241,3917976.359999999869615,11274798.890000000596046
20151008,3656666.750000000000000,3794782.980000000447035,4008464.520000000018626,11459915.250000000000000
20151009,3689874.000000000465661,3767591.820000000298023,4009106.279999999795109,11466573.099999999627471
20151012,3717488.450000000186265,3758794.680000000167638,4057238.279999999795109,11533522.410000000149012
20151013,3725877.650000000372529,3749997.540000000037253,4037343.719999999739230,11513219.910000000149012
20151014,3695816.350000000093132,3733203.000000000000000,4037985.479999999981374,11467005.830000000074506
20151015,3771319.150000000372529,3759594.419999999925494,4132965.960000000428408,11663880.530000001192093
20151016,3783553.399999999906868,3799581.419999999925494,4186873.799999999813735,11770009.620000001043081
20151019,3826548.050000000279397,3808378.560000000055879,4274794.919999999925494,11909722.530000001192093
20151020,3839481.400000000372529,3820374.660000000614673,4247841.000000000000000,11907698.060000000521541
20151021,3848220.150000000372529,3774789.480000000447035,4251049.799999998882413,11874060.429999999701977
20151022,3958677.950000000186265,3841167.900000000372529,4249124.519999999552965,12048971.370000001043081
20151023,3953085.150000000372529,4228242.060000000521541,4188799.079999999608845,12370127.290000000968575
20151026,3968115.800000000279397,4338606.179999999701977,4215753.000000000000000,12522475.980000000447035
20151027,3976854.550000000279397,4293820.740000000223517,4197783.720000000670552,12468460.010000001639128
20151028,3996778.900000000372529,4317013.199999999254942,4213185.960000000894070,12526979.060000000521541
