訓練日期,20130508 - 20130808
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11630791.320000000298023
真實報酬,1630791.320000000298023

夏普值報酬,0.154379132000000
夏普值風險,0.046751616838805
夏普值,3.302113219576623

預期報酬,26010.237250200181734
風險,156210.915905346948421
趨勢值,0.166507168205586
找到最佳解世代,2418
找到最佳解實驗#,1
找到最佳解次數,23

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,52748,82644,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,17.080000000074506,38.000000000000000,
20130508,4960439.000000000000000,5166114.439999999478459,10126553.439999999478459
20130509,4990505.360000000335276,5124792.439999999478459,10115297.800000000745058
20130510,4970988.599999999627471,5199172.040000000037253,10170160.640000000596046
20130513,4998417.560000000521541,5156197.160000000149012,10154614.720000000670552
20130514,5069627.360000000335276,5101652.120000000111759,10171279.480000000447035
20130515,5117628.040000000037253,5091734.839999999850988,10209362.879999998956919
20130516,5094418.919999999925494,5135536.160000000149012,10229955.080000000074506
20130517,5217849.240000000223517,5193386.959999999962747,10411236.199999999254942
20130520,5207299.639999999664724,5170246.640000000596046,10377546.280000001192093
20130521,5208882.080000000074506,5195866.279999999329448,10404748.359999999403954
20130522,5165628.720000000670552,5147106.320000000298023,10312735.040000000968575
20130523,5261630.080000000074506,5153717.839999999850988,10415347.919999999925494
20130524,5274817.080000000074506,5128924.640000000596046,10403741.720000000670552
20130528,5280619.360000000335276,5234708.959999999962747,10515328.320000000298023
20130529,5226816.400000000372529,5235535.400000000372529,10462351.800000000745058
20130530,5303301.000000000000000,5343799.040000000037253,10647100.039999999105930
20130531,5223124.040000000037253,5176031.720000000670552,10399155.760000001639128
20130603,5313850.599999999627471,5190081.200000000186265,10503931.800000000745058
20130604,5254245.360000000335276,5153717.839999999850988,10407963.199999999254942
20130605,5195167.599999999627471,5103305.000000000000000,10298472.599999999627471
20130606,5262157.560000000521541,5117354.480000000447035,10379512.040000000968575
20130607,5406159.599999999627471,5171073.080000000074506,10577232.679999999701977
20130610,5392972.599999999627471,5262807.919999999925494,10655780.519999999552965
20130611,5367126.080000000074506,5283468.919999999925494,10650595.000000000000000
20130612,5321235.320000000298023,5275204.519999999552965,10596439.839999999850988
20130613,5388752.759999999776483,5301650.600000000558794,10690403.359999999403954
20130614,5371345.919999999925494,5272725.200000000186265,10644071.120000001043081
20130617,5434643.520000000484288,5319832.280000000260770,10754475.800000000745058
20130618,5490028.919999999925494,5428095.920000000856817,10918124.839999999850988
20130619,5393500.080000000074506,5393385.440000000409782,10786885.519999999552965
20130620,5255827.799999999813735,5272725.200000000186265,10528553.000000000000000
20130621,5273762.120000000111759,5280989.599999999627471,10554751.719999998807907
20130624,5161408.879999999888241,5342972.600000000558794,10504381.480000000447035
20130625,5204662.240000000223517,5266940.120000000111759,10471602.359999999403954
20130626,5314378.080000000074506,5353716.320000000298023,10668094.400000000372529
20130627,5440973.280000000260770,5461979.959999999962747,10902953.240000000223517
20130628,5403522.200000000186265,5411567.120000000111759,10815089.320000000298023
20130701,5445720.599999999627471,5423963.719999999739230,10869684.320000000298023
20130702,5352356.639999999664724,5394211.879999999888241,10746568.519999999552965
20130703,5427258.799999999813735,5416525.760000000707805,10843784.560000000521541
20130705,5496358.680000000633299,5468591.480000000447035,10964950.160000000149012
20130708,5505325.839999999850988,5583466.640000000596046,11088792.480000000447035
20130709,5521677.720000000670552,5617350.679999999701977,11139028.400000000372529
20130710,5564931.080000000074506,5594210.359999999403954,11159141.439999999478459
20130711,5637723.320000000298023,5649581.839999999850988,11287305.160000000149012
20130712,5373455.839999999850988,5619830.000000000000000,10993285.839999999850988
20130715,5573370.759999999776483,5588425.280000000260770,11161796.039999999105930
20130716,5497941.120000000111759,5529748.040000000037253,11027689.160000000149012
20130717,5527480.000000000000000,5473550.120000000111759,11001030.120000001043081
20130718,5677284.320000000298023,5830572.200000000186265,11507856.519999999552965
20130719,5641943.160000000149012,5904951.799999999813735,11546894.960000000894070
20130722,5636668.360000000335276,5965281.920000000856817,11601950.280000001192093
20130723,5685724.000000000000000,6007430.359999999403954,11693154.359999999403954
20130724,5641415.680000000633299,5994207.320000000298023,11635623.000000000000000
20130725,5628228.680000000633299,6001645.280000000260770,11629873.960000000894070
20130726,5570205.879999999888241,5967761.239999999292195,11537967.119999999180436
20130729,5528534.959999999962747,6015694.760000000707805,11544229.720000000670552
20130730,5577063.120000000111759,5972719.879999999888241,11549783.000000000000000
20130731,5543831.879999999888241,6020653.399999999441206,11564485.279999999329448
20130801,5628228.680000000633299,6046273.040000000037253,11674501.720000000670552
20130802,5691526.280000000260770,5971893.440000000409782,11663419.720000000670552
20130805,5670427.080000000074506,6061148.959999999962747,11731576.039999999105930
20130806,5646163.000000000000000,6052884.559999999590218,11699047.559999998658895
20130807,5613459.240000000223517,6026438.480000000447035,11639897.720000000670552
20130808,5582865.400000000372529,6047925.920000000856817,11630791.320000000298023
