訓練日期,20111207 - 20120312
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11830369.759999999776483
真實報酬,1830369.759999999776483

夏普值報酬,0.174336976000000
夏普值風險,0.052194384025535
夏普值,3.340148164498087

預期報酬,29253.523005178019957
風險,76106.153002526145428
趨勢值,0.384377896544147
找到最佳解世代,2360
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AAPL[0](3),MCD[15](18),MSFT[18](2),PFE[20](20),
Stock#,AAPL[0](3),MCD[15](18),MSFT[18](2),PFE[20](20),
張數,44762,26038,97427,123578,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,42.299999999813735,91.619999999646097,23.180000000167638,17.060000000055879,
20111207,2487914.259999999776483,2511456.719999999739230,2494154.380000000353903,2529658.719999999739230,10023184.079999998211861
20111208,2498209.520000000018626,2523694.579999999608845,2474668.979999999981374,2495056.880000000353903,9991629.960000000894070
20111209,2517009.559999999590218,2552596.759999999776483,2503897.080000000074506,2540780.739999999757856,10114284.139999998733401
20111212,2505819.059999999590218,2564313.859999999869615,2485385.950000000186265,2519772.479999999981374,10075291.349999999627471
20111213,2486123.779999999795109,2551815.619999999646097,2509742.700000000186265,2565496.340000000316650,10113178.439999999478459
20111214,2431066.520000000018626,2541660.799999999813735,2493180.110000000335276,2577854.140000000130385,10043761.570000000298023
20111215,2423009.359999999869615,2555460.939999999478459,2490257.299999999813735,2612455.979999999981374,10081183.579999998211861
20111216,2436437.959999999962747,2538536.239999999292195,2533125.180000000167638,2598862.400000000372529,10106961.779999999329448
20111219,2444047.500000000000000,2532026.739999999292195,2487334.490000000223517,2612455.979999999981374,10075864.709999999031425
20111220,2531781.020000000018626,2573166.779999999329448,2536047.990000000223517,2652000.939999999944121,10292996.729999998584390
20111221,2535361.979999999981374,2583061.219999999739230,2509742.700000000186265,2679188.100000000093132,10307354.000000000000000
20111222,2548790.579999999608845,2567438.419999999459833,2514614.049999999813735,2673009.199999999720603,10303852.249999998137355
20111223,2579228.739999999757856,2607797.319999999832362,2536047.990000000223517,2697724.799999999813735,10420798.849999999627471
20111227,2599819.259999999776483,2618212.519999999552965,2537022.260000000242144,2690310.120000000111759,10445364.160000000149012
20111228,2574752.540000000037253,2592955.659999999683350,2515588.320000000298023,2660651.400000000372529,10343947.919999999925494
20111229,2590419.239999999757856,2624982.399999999906868,2535073.720000000204891,2682895.439999999944121,10433370.799999998882413
20111230,2589971.619999999646097,2612484.159999999683350,2529228.100000000093132,2674244.979999999981374,10405928.859999999403954
20120103,2629809.799999999813735,2573687.539999999571592,2608143.970000000204891,2715025.719999999739230,10526667.030000001192093
20120104,2643686.020000000018626,2588008.439999999478459,2669522.979999999981374,2690310.120000000111759,10591527.559999998658895
20120105,2673228.939999999944121,2599465.159999999683350,2696802.540000000037253,2669301.860000000335276,10638798.500000000000000
20120106,2700981.379999999888241,2619514.419999999459833,2738696.149999999906868,2665594.520000000018626,10724786.469999998807907
20120109,2696952.799999999813735,2594517.939999999478459,2702648.160000000149012,2696489.020000000018626,10690607.919999999925494
20120110,2706352.819999999832362,2596080.219999999739230,2712390.860000000335276,2711318.380000000353903,10726142.279999999329448
20120111,2701876.619999999646097,2602068.959999999962747,2700699.620000000111759,2706375.259999999776483,10711020.460000000894070
20120112,2694714.699999999720603,2618733.279999999329448,2727979.180000000167638,2717497.279999999795109,10758924.439999997615814
20120113,2684419.439999999944121,2613004.919999999459833,2752335.930000000167638,2698960.580000000074506,10748720.869999999180436
20120117,2715752.839999999850988,2618212.519999999552965,2753310.200000000186265,2711318.380000000353903,10798593.939999999478459
20120118,2743952.899999999906868,2644510.899999999906868,2750387.390000000130385,2715025.719999999739230,10853876.910000000149012
20120119,2735448.119999999646097,2636699.500000000000000,2739670.420000000391155,2698960.580000000074506,10810778.619999999180436
20120120,2687552.779999999795109,2649197.739999999292195,2894579.350000000093132,2706375.259999999776483,10937705.129999998956919
20120123,2733210.020000000018626,2628627.719999999739230,2896527.890000000130385,2682895.439999999944121,10941261.070000000298023
20120124,2688448.020000000018626,2571344.119999999646097,2858531.360000000335276,2676716.540000000037253,10795040.039999999105930
20120125,2856305.520000000018626,2583842.359999999869615,2879965.299999999813735,2684131.219999999739230,11004244.399999998509884
20120126,2843324.540000000037253,2582540.459999999962747,2874119.680000000167638,2673009.199999999720603,10972993.879999998956919
20120127,2860334.099999999627471,2569781.839999999385327,2847814.390000000130385,2654472.500000000000000,10932402.830000000074506
20120130,2897038.939999999944121,2569781.839999999385327,2884836.649999999906868,2666830.299999999813735,11018487.730000000447035
20120131,2918972.319999999366701,2579155.519999999552965,2877042.490000000223517,2644586.259999999776483,11019756.589999999850988
20120201,2917181.839999999850988,2562230.819999999832362,2912116.210000000428408,2633464.239999999757856,11024993.110000001266599
20120202,2910467.539999999571592,2567959.179999999701977,2917961.830000000074506,2608748.640000000130385,11005137.189999999478459
20120203,2939562.839999999850988,2604152.000000000000000,2946215.660000000149012,2619870.660000000149012,11109801.160000000149012
20120206,2966867.659999999683350,2590612.239999999292195,2942318.580000000074506,2588976.160000000149012,11088774.639999998733401
20120207,2998201.060000000055879,2627586.199999999720603,2956932.630000000353903,2601333.959999999962747,11184053.850000001490116
20120208,3048334.499999999534339,2605193.519999999552965,2987135.000000000000000,2596390.840000000316650,11237053.859999999403954
20120209,3153525.199999999720603,2603631.239999999292195,2997851.970000000204891,2612455.979999999981374,11367464.390000000596046
20120210,3155315.679999999701977,2590091.479999999515712,2971546.680000000167638,2601333.959999999962747,11318287.800000000745058
20120213,3213953.899999999906868,2594778.319999999832362,2979340.839999999850988,2632228.459999999962747,11420301.519999999552965
20120214,3257820.659999999683350,2592174.519999999552965,2947189.930000000167638,2635935.799999999813735,11433120.910000000149012
20120215,3182620.499999999534339,2567698.799999999813735,2927704.530000000260770,2608748.640000000130385,11286772.469999998807907
20120216,3211268.179999999701977,2584623.500000000000000,3048514.010000000242144,2635935.799999999813735,11480341.489999998360872
20120217,3210820.560000000055879,2603631.239999999292195,3044616.930000000167638,2618634.880000000353903,11477703.609999999403954
20120221,3292287.399999999906868,2616650.239999999292195,3063128.060000000521541,2622342.219999999739230,11594407.919999998062849
20120222,3280649.280000000260770,2621076.699999999720603,3046565.470000000204891,2639643.140000000130385,11587934.590000001713634
20120223,3302135.039999999571592,2624982.399999999906868,3056308.170000000391155,2598862.400000000372529,11582288.009999999776483
20120224,3340630.359999999403954,2612223.779999999329448,3067025.140000000130385,2617399.100000000093132,11637278.379999998956919
20120227,3362116.119999999646097,2613265.299999999813735,3054359.630000000353903,2627285.340000000316650,11657026.390000000596046
20120228,3423887.679999999701977,2598163.259999999776483,3105021.670000000391155,2622342.219999999739230,11749414.829999998211861
20120229,3468649.679999999701977,2585144.259999999776483,3092356.160000000149012,2611220.199999999720603,11757370.299999998882413
20120301,3481630.659999999683350,2584363.119999999646097,3145941.010000000242144,2655708.279999999795109,11867643.069999998435378
20120302,3486106.859999999403954,2590872.619999999646097,3125481.339999999850988,2645822.040000000037253,11848282.859999999403954
20120305,3409563.839999999850988,2602329.339999999385327,3098201.780000000260770,2656944.060000000055879,11767039.020000001415610
20120306,3390763.799999999813735,2601027.439999999478459,3074819.299999999813735,2628521.120000000111759,11695131.660000000149012
20120307,3393449.520000000018626,2608578.459999999962747,3102098.860000000335276,2640878.920000000391155,11745005.759999999776483
20120308,3465963.959999999962747,2524736.099999999627471,3118661.450000000186265,2652000.939999999944121,11761362.449999999254942
20120309,3486106.859999999403954,2521611.539999999571592,3116712.910000000149012,2654472.500000000000000,11778903.809999998658895
20120312,3529973.619999999646097,2516924.699999999720603,3121584.260000000242144,2661887.180000000167638,11830369.759999999776483
