訓練日期,20151127 - 20160302
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10933591.369999997317791
真實報酬,933591.369999997317791

夏普值報酬,0.084659137000000
夏普值風險,0.033527689375807
夏普值,2.525051340432928

預期報酬,14295.839850104079233
風險,163246.862667029752629
趨勢值,0.087571911744870
找到最佳解世代,2607
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](3),WMT[28](1),
Stock#,PG[21](3),WMT[28](1),
張數,65876,83001,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,11.599999999627471,19.759999999776483,
20151127,4986824.799999999813735,4970949.649999999441206,9957774.449999999254942
20151130,4930171.439999999478459,4883798.599999999627471,9813970.039999999105930
20151201,5002635.039999999105930,4896248.750000000000000,9898883.789999999105930
20151202,4992753.639999999664724,4843128.110000000335276,9835881.750000000000000
20151203,4989459.839999998919666,4900398.799999999813735,9889858.639999998733401
20151204,5127140.679999999701977,4951859.419999999925494,10079000.099999999627471
20151207,5162713.719999999739230,5021580.259999999776483,10184293.980000000447035
20151208,5121870.599999999627471,4947709.370000000111759,10069579.969999998807907
20151209,5118576.799999999813735,4907868.889999999664724,10026445.689999999478459
20151210,5124505.639999999664724,4943559.320000000298023,10068064.960000000894070
20151211,5123846.879999999888241,4926959.120000000111759,10050806.000000000000000
20151214,5157443.639999999664724,5012450.149999999441206,10169893.789999999105930
20151215,5249011.280000000260770,4950199.399999999441206,10199210.679999999701977
20151216,5335308.839999998919666,5004980.059999999590218,10340288.899999998509884
20151217,5289195.639999999664724,4895418.739999999292195,10184614.379999998956919
20151218,5146903.479999999515712,4884628.610000000335276,10031532.089999999850988
20151221,5200921.799999999813735,4942729.309999999590218,10143651.109999999403954
20151222,5243741.199999999254942,5024900.299999999813735,10268641.500000000000000
20151223,5264821.519999999552965,5070550.849999999627471,10335372.369999999180436
20151224,5256257.639999999664724,5048970.589999999850988,10305228.230000000447035
20151228,5264821.519999999552965,5042330.509999999776483,10307152.029999999329448
20151229,5293806.959999999962747,5113711.370000000111759,10407518.330000000074506
20151230,5274702.919999998994172,5119521.439999999478459,10394224.359999999403954
20151231,5231224.759999999776483,5087981.059999999590218,10319205.820000000298023
20160104,5162713.719999999739230,5101261.219999999739230,10263974.939999999478459
20160105,5179182.719999999739230,5222442.679999999701977,10401625.399999998509884
20160106,5129116.959999999962747,5274733.309999999590218,10403850.269999999552965
20160107,5084321.280000000260770,5397574.790000000037253,10481896.070000000298023
20160108,5004611.319999999366701,5273903.299999999813735,10278514.619999999180436
20160111,5050724.519999999552965,5330343.979999999515712,10381068.500000000000000
20160112,5040184.360000000335276,5280543.379999999888241,10320727.740000000223517
20160113,4996706.199999999254942,5139441.679999999701977,10136147.879999998956919
20160114,5016469.000000000000000,5234062.820000000298023,10250531.820000000298023
20160115,4939394.080000000074506,5140271.689999999478459,10079665.769999999552965
20160119,5054677.080000000074506,5192562.320000000298023,10247239.400000000372529
20160120,4995388.679999999701977,5049800.599999999627471,10045189.279999999329448
20160121,5054018.319999999366701,5136121.639999999664724,10190139.959999999031425
20160122,5096178.959999999962747,5203352.449999999254942,10299531.410000000149012
20160125,5062582.199999999254942,5266433.209999999962747,10329015.410000000149012
20160126,5191699.160000000149012,5312083.759999999776483,10503782.919999999925494
20160127,5191040.399999999441206,5307933.709999999962747,10498974.109999999403954
20160128,5258233.919999998994172,5330343.979999999515712,10588577.899999998509884
20160129,5381422.039999999105930,5507966.120000000111759,10889388.160000000149012
20160201,5343872.719999999739230,5602587.259999999776483,10946459.980000000447035
20160202,5284584.319999999366701,5549466.620000000111759,10834050.939999999478459
20160203,5342555.199999999254942,5500496.029999999329448,10843051.229999998584390
20160204,5316204.799999999813735,5512946.179999999701977,10829150.980000000447035
20160205,5349142.799999999813735,5561086.759999999776483,10910229.559999998658895
20160208,5442686.719999999739230,5552786.660000000149012,10995473.379999998956919
20160209,5444004.239999999292195,5462315.570000000298023,10906319.809999998658895
20160210,5376810.719999999739230,5460655.550000000745058,10837466.269999999552965
20160211,5263504.000000000000000,5421645.079999999143183,10685149.079999998211861
20160212,5335308.839999998919666,5493025.940000000409782,10828334.779999999329448
20160216,5366929.319999999366701,5469785.660000000149012,10836714.980000000447035
20160217,5431487.799999999813735,5487215.870000000111759,10918703.669999999925494
20160218,5400526.080000000074506,5322043.879999999888241,10722569.960000000894070
20160219,5388009.639999999664724,5366864.419999999925494,10754874.059999998658895
20160222,5410407.479999999515712,5447375.389999999664724,10857782.869999999180436
20160223,5389327.160000000149012,5517926.240000000223517,10907253.400000000372529
20160224,5372858.160000000149012,5571046.879999999888241,10943905.039999999105930
20160225,5424241.439999999478459,5647407.800000000745058,11071649.240000000223517
20160226,5342555.199999999254942,5520416.270000000484288,10862971.469999998807907
20160229,5289195.639999999664724,5506306.099999999627471,10795501.739999998360872
20160301,5351119.080000000074506,5516266.219999998807907,10867385.299999998882413
20160302,5438075.399999999441206,5495515.969999998807907,10933591.369999997317791
