訓練日期,20170627 - 20170927
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10796878.029999999329448
真實報酬,796878.029999999329448

夏普值報酬,0.070987803000000
夏普值風險,0.023610306954466
夏普值,3.006644646209210

預期報酬,12928.857304436023696
風險,49945.406749016299727
趨勢值,0.258859786034091
找到最佳解世代,2252
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,6
AXP[1](5),CAT[3](1),HD[9](18),MCD[15](12),UNH[23](4),V[25](2),
Stock#,AXP[1](5),CAT[3](1),HD[9](18),MCD[15](12),UNH[23](4),V[25](2),
張數,20089,15987,11006,10825,9003,17503,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,82.560000000055879,21.250000000000000,137.480000000214204,49.000000000000000,30.639999999897555,30.340000000083819,
20170627,1669076.679999999934807,1661550.160000000149012,1675690.920000000391155,1664068.000000000000000,1661984.439999999944121,1661065.040000000270084,9993439.240000000223517
20170628,1686955.890000000130385,1701837.400000000139698,1686586.860000000102445,1670346.500000000232831,1671887.739999999757856,1684344.030000000260770,10101962.420000001788139
20170629,1680125.629999999888241,1688887.929999999934807,1674810.440000000176951,1657681.250000000000000,1668016.449999999953434,1652663.600000000093132,10022189.300000000745058
20170630,1692379.919999999925494,1717984.269999999785796,1688457.880000000353903,1658006.000000000000000,1669366.899999999674037,1641461.680000000167638,10067660.650000000372529
20170703,1709656.459999999962747,1710150.639999999897555,1695171.540000000037253,1650861.500000000000000,1680440.589999999850988,1633935.389999999897555,10080220.120000001043081
20170705,1705437.770000000018626,1718463.879999999888241,1680643.620000000111759,1657031.750000000000000,1694845.389999999897555,1645487.370000000111759,10101913.780000001192093
20170706,1682335.419999999925494,1702796.620000000111759,1673599.780000000260770,1657248.250000000000000,1683051.459999999962747,1632185.090000000083819,10031220.620000001043081
20170707,1694187.929999999934807,1709351.290000000037253,1675580.860000000102445,1691671.750000000000000,1692234.520000000018626,1643912.100000000093132,10106942.449999999254942
20170710,1693585.260000000009313,1724059.330000000074506,1664024.560000000288710,1683553.000000000000000,1683141.489999999757856,1664390.610000000102445,10112758.250000000000000
20170711,1690772.800000000046566,1730454.129999999888241,1657641.080000000074506,1676949.750000000000000,1674138.489999999757856,1669991.570000000065193,10099951.820000000298023
20170712,1704031.539999999804422,1741964.769999999785796,1679543.020000000251457,1695027.500000000232831,1680800.709999999962747,1683468.880000000121072,10184840.419999999925494
20170713,1715080.490000000223517,1734131.139999999897555,1687247.220000000204891,1678357.000000000000000,1669907.079999999841675,1679268.160000000149012,10163995.089999999850988
20170714,1713272.479999999981374,1738927.239999999990687,1682734.760000000242144,1680955.000000000000000,1682691.339999999850988,1696596.130000000121072,10195180.950000001117587
20170717,1712067.140000000130385,1740046.330000000074506,1693850.820000000065193,1680738.500000000000000,1677739.689999999944121,1694845.830000000074506,10199292.310000000521541
20170718,1718093.840000000083819,1711749.339999999850988,1674920.500000000000000,1666666.000000000000000,1682241.189999999944121,1707973.080000000074506,10161647.949999999254942
20170719,1726330.330000000307336,1724219.199999999953434,1687357.280000000260770,1665908.249999999767169,1703308.209999999962747,1719700.090000000083819,10226827.359999999403954
20170720,1714678.709999999962747,1715746.089999999850988,1618349.660000000149012,1669372.250000000000000,1724105.139999999897555,1717249.670000000158325,10159505.519999999552965
20170721,1719500.070000000065193,1704075.580000000074506,1614167.380000000353903,1666232.999999999767169,1726625.979999999981374,1743329.139999999897555,10173935.150000002235174
20170724,1707647.560000000055879,1729494.910000000149012,1591384.960000000428408,1643825.250000000000000,1718613.309999999823049,1756806.450000000186265,10147776.440000001341105
20170725,1715884.050000000046566,1831172.230000000214204,1617689.300000000279397,1721981.750000000000000,1714201.839999999850988,1750155.310000000055879,10351088.480000000447035
20170726,1713674.260000000009313,1814865.489999999990687,1614607.620000000111759,1694269.750000000000000,1717352.889999999897555,1765207.889999999897555,10319981.900000000372529
20170727,1684545.209999999962747,1828454.440000000176951,1626053.860000000102445,1699032.749999999767169,1700967.429999999934807,1742804.050000000046566,10281861.740000002086163
20170728,1703629.760000000009313,1824137.949999999953434,1629905.960000000428408,1687125.250000000000000,1720954.089999999850988,1735452.790000000270084,10301209.800000000745058
20170731,1712268.030000000027940,1821739.900000000139698,1646635.080000000074506,1679439.499999999767169,1726896.069999999832362,1742629.020000000018626,10329611.599999999627471
20170801,1712468.919999999925494,1808150.949999999953434,1649386.580000000074506,1667532.000000000000000,1730677.329999999841675,1765557.950000000186265,10333777.730000000447035
20170802,1713674.260000000009313,1807991.080000000074506,1656540.480000000214204,1695135.750000000000000,1737609.639999999897555,1772734.180000000167638,10383689.390000000596046
20170803,1718495.620000000111759,1815504.969999999972060,1659732.220000000204891,1674893.000000000000000,1753544.949999999953434,1760657.110000000102445,10382831.869999999180436
20170804,1727133.890000000130385,1828134.699999999953434,1681303.980000000214204,1665150.500000000000000,1754535.279999999795109,1765908.010000000009313,10422170.359999999403954
20170807,1724723.209999999962747,1833890.019999999785796,1687907.580000000074506,1677599.250000000000000,1753634.979999999981374,1776409.810000000055879,10454168.849999999627471
20170808,1726531.219999999972060,1829093.919999999925494,1687907.580000000074506,1677057.999999999767169,1754715.339999999850988,1772734.180000000167638,10448044.239999998360872
20170809,1721508.969999999972060,1827974.830000000074506,1708929.040000000037253,1677057.999999999767169,1754085.130000000121072,1767308.250000000000000,10456868.220000000670552
20170810,1698808.400000000139698,1808950.300000000046566,1693740.760000000242144,1695460.500000000000000,1733738.349999999860302,1741403.810000000055879,10372106.120000001043081
20170811,1693384.370000000111759,1804154.199999999953434,1704746.760000000242144,1702821.500000000232831,1737789.699999999953434,1751905.610000000102445,10394806.139999998733401
20170814,1717089.390000000130385,1817903.019999999785796,1697923.040000000037253,1702388.500000000000000,1744001.770000000018626,1783060.950000000186265,10462370.670000001788139
20170815,1743606.870000000111759,1816943.800000000046566,1652908.500000000000000,1706285.500000000000000,1751114.139999999897555,1796363.229999999981374,10467226.040000000968575
20170816,1755660.270000000018626,1824457.690000000176951,1675800.980000000214204,1720141.500000000000000,1744541.949999999953434,1808440.300000000046566,10529046.690000001341105
20170817,1729544.570000000065193,1808790.429999999934807,1647405.500000000000000,1709208.249999999767169,1734908.739999999757856,1788136.820000000065193,10417998.310000000521541
20170818,1715281.379999999888241,1821260.290000000037253,1623412.420000000391155,1707801.000000000000000,1717983.099999999860302,1794262.870000000111759,10380005.059999998658895
20170821,1713674.260000000009313,1816144.449999999953434,1642232.680000000167638,1714296.000000000232831,1728876.729999999981374,1806690.000000000000000,10421918.120000001043081
20170822,1713674.260000000009313,1851635.589999999850988,1650046.940000000176951,1728151.999999999767169,1753725.009999999776483,1821567.550000000046566,10518805.350000001490116
20170823,1713272.479999999981374,1834529.500000000000000,1641132.080000000074506,1719167.250000000000000,1748773.359999999869615,1805989.880000000121072,10462868.550000000745058
20170824,1714879.600000000093132,1835009.110000000102445,1631776.980000000214204,1714837.250000000000000,1753364.889999999897555,1806690.000000000000000,10456561.830000000074506
20170825,1717089.390000000130385,1844121.699999999953434,1647185.380000000353903,1719275.500000000000000,1749853.719999999972060,1808965.389999999897555,10486495.080000001937151
