訓練日期,20130425 - 20130726
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12138289.199999999254942
真實報酬,2138289.199999999254942

夏普值報酬,0.205128920000000
夏普值風險,0.054780092385195
夏普值,3.744588792541704

預期報酬,35492.320175946195377
風險,204025.663132509478601
趨勢值,0.173960077526594
找到最佳解世代,1681
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),CSCO[4](3),UNH[23](2),
Stock#,BA[2](1),CSCO[4](3),UNH[23](2),
張數,36698,163478,56698,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.660000000149012,16.580000000074506,57.580000000074506,
20130425,3364159.320000000298023,3374202.500000000000000,3364516.900000000372529,10102879.720000000670552
20130426,3407462.959999999962747,3379106.840000000316650,3372454.620000000111759,10159025.420000001788139
20130429,3372599.860000000335276,3429785.020000000018626,3402504.560000000055879,10204890.440000001341105
20130430,3354617.839999999850988,3419976.340000000316650,3397968.720000000204891,10172563.900000000372529
20130501,3346177.300000000279397,3331698.219999999739230,3386062.140000000130385,10063938.660000000149012
20130502,3383976.239999999757856,3388915.520000000018626,3372454.620000000111759,10145347.379999998956919
20130503,3440124.180000000167638,3405263.319999999832362,3340703.740000000223517,10186092.240000000223517
20130506,3456638.280000000260770,3401993.759999999776483,3413277.180000000167638,10271910.220000000670552
20130507,3478657.080000000540167,3331698.219999999739230,3430286.580000000074506,10240642.880000000819564
20130508,3451133.580000000540167,3387280.739999999757856,3544249.560000000055879,10382664.880000000819564
20130509,3472051.439999999944121,3405263.319999999832362,3515900.560000000055879,10393216.320000000298023
20130510,3458473.180000000167638,3449402.380000000353903,3566928.759999999776483,10474805.320000000298023
20130513,3477556.140000000130385,3477193.640000000130385,3537445.800000000279397,10492196.580000000074506
20130514,3527098.439999999944121,3477193.640000000130385,3500025.120000000111759,10504318.199999999254942
20130515,3560493.620000000111759,3467384.960000000428408,3493221.359999999869615,10521100.939999999478459
20130516,3544346.500000000000000,3905506.000000000000000,3523271.300000000279397,10973124.800000000745058
20130517,3630219.820000000298023,3962723.299999999813735,3562959.900000000372529,11155904.019999999552965
20130520,3622880.220000000204891,3915314.680000000167638,3547084.460000000428408,11085280.360000001266599
20130521,3623981.160000000149012,3925123.360000000335276,3564660.839999999850988,11113766.359999999403954
20130522,3593888.800000000279397,3815593.100000000093132,3531209.020000000018626,10940691.919999999925494
20130523,3660679.160000000149012,3843384.360000000335276,3535744.859999999869615,11039809.380000000819564
20130524,3669853.660000000149012,3846653.920000000391155,3518735.460000000428408,11035244.040000000968575
20130528,3673890.439999999944121,3905506.000000000000000,3591308.900000000372529,11170706.339999999850988
20130529,3636458.480000000447035,3943105.940000000409782,3591875.880000000353903,11171441.300000000745058
20130530,3689670.580000000540167,3983975.440000000409782,3666150.259999999776483,11339797.280000001192093
20130531,3633889.620000000111759,3943105.940000000409782,3551053.320000000298023,11128049.880000000819564
20130603,3697010.180000000167638,3985610.219999999739230,3560691.979999999981374,11243313.380000000819564
20130604,3655541.439999999944121,3982340.660000000149012,3535744.859999999869615,11173627.959999999031425
20130605,3614439.680000000167638,3975801.540000000037253,3501159.080000000074506,11091401.300000000745058
20130606,3661046.140000000130385,4013401.479999999981374,3510797.740000000223517,11185246.359999999403954
20130607,3761231.680000000167638,4003592.799999999813735,3547651.439999999944121,11312476.919999999925494
20130610,3752057.180000000167638,3982340.660000000149012,3610586.220000000204891,11344985.060000000521541
20130611,3734075.160000000149012,3934932.040000000037253,3624760.720000000204891,11293768.919999999925494
20130612,3702147.899999999906868,3921853.799999999813735,3619090.919999999925494,11243093.619999999180436
20130613,3749121.339999999850988,3980705.880000000353903,3637234.280000000260770,11367062.500000000000000
20130614,3737011.000000000000000,3938201.600000000093132,3617389.979999999981374,11292603.580000000074506
20130617,3781048.600000000093132,4037923.180000000167638,3649707.840000000316650,11468680.620000001043081
20130618,3819581.500000000000000,4057540.540000000037253,3723982.220000000670552,11601105.260000001639128
20130619,3752424.160000000149012,4034653.620000000111759,3700169.060000000521541,11487247.839999999850988
20130620,3656642.380000000353903,3995418.900000000372529,3617389.979999999981374,11269452.260000001639128
20130621,3669119.700000000186265,4001958.020000000018626,3623059.779999999795109,11294138.500000000000000
20130624,3590952.959999999962747,3933297.259999999776483,3665583.280000000260770,11189834.500000000000000
20130625,3621045.320000000298023,3925123.360000000335276,3613421.120000000111759,11159590.800000000745058
20130626,3697377.160000000149012,3987245.000000000000000,3672954.020000000018626,11357577.179999999701977
20130627,3785452.360000000335276,4026479.719999999739230,3747228.400000000372529,11559161.480000000447035
20130628,3759396.780000000260770,3979071.100000000093132,3712642.620000000111759,11451111.500000000000000
20130701,3788755.180000000167638,3979071.100000000093132,3721147.319999999832362,11488974.599999999627471
20130702,3723799.720000000204891,3975801.540000000037253,3700736.040000000037253,11400338.300000000745058
20130703,3775910.880000000353903,4019940.600000000093132,3716044.500000000465661,11511896.980000000447035
20130705,3823985.260000000242144,4016671.040000000037253,3751764.240000000223517,11592421.540000000968575
20130708,3830223.920000000391155,4026479.719999999739230,3830574.460000000428408,11687279.100000001490116
20130709,3841600.300000000279397,4113123.060000000055879,3853820.640000000130385,11808545.000000000000000
20130710,3871692.660000000149012,4153992.560000000055879,3837945.199999999720603,11863631.419999999925494
20130711,3922335.899999999906868,4229192.440000000409782,3875932.859999999869615,12027462.199999999254942
20130712,3738478.920000000391155,4240635.900000000372529,3855521.580000000074506,11834637.400000000372529
20130715,3877564.339999999850988,4239001.120000000111759,3833976.340000000316650,11950542.800000000745058
20130716,3825086.200000000186265,4203035.959999999962747,3793720.759999999776483,11821843.919999999925494
20130717,3845637.080000000540167,4204670.740000000223517,3755166.120000000111759,11805474.940000001341105
20130718,3949859.399999999906868,4227557.660000000149012,4000101.479999999981374,12177519.540000000968575
20130719,3925271.739999999757856,4221018.540000000037253,4051129.680000000167638,12197420.959999999031425
20130722,3921601.939999999944121,4204670.740000000223517,4092519.220000000670552,12218792.900000000372529
20130723,3955731.080000000540167,4178514.259999999776483,4121435.199999999720603,12255681.539999999105930
20130724,3924904.760000000242144,4183418.600000000093132,4112363.520000000018626,12220687.880000000819564
20130725,3915730.260000000242144,4168705.580000000074506,4117466.340000000316650,12201903.179999999701977
20130726,3875362.459999999962747,4168705.580000000074506,4094220.159999999683350,12138289.199999999254942
