訓練日期,20120104 - 20120405
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12457026.070000000298023
真實報酬,2457026.070000000298023

夏普值報酬,0.237002607000000
夏普值風險,0.067955341669944
夏普值,3.487622917873208

預期報酬,40157.372751401271671
風險,91135.568214233062463
趨勢值,0.440633372219758
找到最佳解世代,4938
找到最佳解實驗#,2
找到最佳解次數,35

stock[index](rank)
投資組合檔數,5
AAPL[0](2),GS[8](6),HD[9](1),IBM[10](10),UNH[23](16),
Stock#,AAPL[0](2),GS[8](6),HD[9](1),IBM[10](10),UNH[23](16),
張數,34042,20973,47460,10735,38842,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,32.500000000000000,14.719999999972060,35.599999999860302,69.499999999767169,25.419999999925494,
20120104,2010553.020000000018626,1986996.739999999757856,2028476.000000000000000,1991841.399999999674037,2029131.500000000000000,10046998.660000000149012
20120105,2033020.739999999990687,1983641.059999999823049,2045087.000000000000000,1982394.599999999627471,2042726.199999999953434,10086869.599999999627471
20120106,2054126.780000000027940,1959312.380000000121072,2050307.600000000093132,1959636.399999999674037,2050106.179999999934807,10073489.339999999850988
20120109,2051063.000000000000000,1985948.089999999850988,2051731.399999999674037,1949438.149999999906868,2047775.659999999916181,10085956.299999998882413
20120110,2058211.820000000065193,2062289.809999999823049,2065969.399999999906868,1946432.349999999860302,2043891.459999999729916,10176794.839999997988343
20120111,2054807.619999999878928,2092281.200000000186265,2062647.199999999953434,1957274.699999999720603,2059039.839999999850988,10226050.560000000521541
20120112,2049360.900000000139698,2122692.049999999813735,2059325.000000000000000,1938273.750000000000000,2053601.959999999729916,10223253.660000000149012
20120113,2041531.239999999990687,2075502.799999999813735,2065020.199999999720603,1923352.099999999627471,2046998.820000000065193,10152405.160000000149012
20120117,2065360.640000000130385,2048657.360000000102445,2075936.000000000000000,1932369.499999999767169,2080791.359999999869615,10203114.859999999403954
20120118,2086807.099999999860302,2187708.349999999627471,2130040.400000000372529,1943855.949999999720603,2095162.899999999906868,10443574.699999999254942
20120119,2080339.119999999878928,2258387.360000000335276,2155194.199999999254942,1937951.699999999953434,2032238.859999999869615,10464111.239999998360872
20120120,2043914.179999999934807,2280618.740000000223517,2112480.200000000186265,2023831.699999999953434,2030296.760000000009313,10491141.580000000074506
20120123,2078637.020000000018626,2269083.589999999850988,2130040.400000000372529,2039504.799999999580905,2036511.479999999981374,10553777.289999999105930
20120124,2044595.020000000018626,2283345.230000000447035,2133837.200000000186265,2060438.049999999813735,1993785.279999999795109,10516000.779999999329448
20120125,2172252.520000000018626,2270761.429999999701977,2148075.200000000186265,2058291.049999999580905,2003107.359999999869615,10652487.559999998658895
20120126,2162380.340000000316650,2276843.599999999627471,2133362.599999999627471,2050239.799999999580905,1955720.119999999878928,10578546.459999997168779
20120127,2175316.299999999813735,2344166.929999999701977,2129565.799999999813735,2044657.599999999860302,1981744.260000000009313,10675450.889999998733401
20120130,2203230.739999999757856,2301382.009999999776483,2124819.799999999813735,2066556.999999999767169,1983686.359999999869615,10679675.909999998286366
20120131,2219911.319999999832362,2337875.030000000260770,2106785.000000000000000,2067630.499999999767169,2011652.599999999860302,10743854.449999999254942
20120201,2218549.640000000130385,2379401.570000000298023,2110581.799999999813735,2067845.199999999720603,2068750.339999999850988,10845128.550000000745058
20120202,2213443.339999999850988,2378143.190000000409782,2110107.200000000186265,2056144.049999999813735,2040784.099999999860302,10798621.880000000819564
20120203,2235570.640000000130385,2464971.410000000149012,2143803.799999999813735,2078794.899999999674037,1993008.439999999944121,10916149.189999999478459
20120206,2256336.260000000242144,2462035.190000000409782,2145227.599999999627471,2069992.199999999720603,1992231.599999999860302,10925822.849999999627471
20120207,2280165.660000000149012,2432463.259999999776483,2157567.200000000186265,2075681.749999999767169,2020974.679999999934807,10966852.549999998882413
20120208,2318292.699999999720603,2436028.669999999925494,2143803.799999999813735,2071387.749999999534339,2025247.300000000046566,10994760.219999998807907
20120209,2398291.399999999906868,2430365.959999999962747,2148549.799999999813735,2073320.049999999813735,2060981.939999999944121,11111509.149999998509884
20120210,2399653.079999999608845,2393453.480000000447035,2151397.399999999441206,2065698.199999999720603,2071080.859999999869615,11081283.019999999552965
20120213,2444248.100000000093132,2402052.410000000149012,2179873.399999999441206,2067845.199999999720603,2091667.119999999878928,11185686.229999998584390
20120214,2477609.260000000242144,2367237.230000000447035,2186043.200000000186265,2063551.199999999720603,2115360.739999999757856,11209801.630000000819564
20120215,2420418.699999999720603,2373529.129999999888241,2169432.200000000186265,2063873.249999999767169,2121575.459999999962747,11148828.739999998360872
20120216,2442205.579999999608845,2406456.740000000223517,2179873.399999999441206,2072139.199999999953434,2128178.600000000093132,11228853.519999999552965
20120217,2441865.160000000149012,2430995.149999999441206,2216892.200000000186265,2076433.199999999720603,2123905.979999999981374,11290091.689999999478459
20120221,2503821.600000000093132,2446095.709999999962747,2226858.799999999813735,2076111.149999999674037,2148764.859999999869615,11401652.119999999180436
20120222,2494970.680000000167638,2398487.000000000000000,2210247.799999999813735,2081263.949999999720603,2143326.979999999981374,11328296.410000000149012
20120223,2511310.839999999850988,2428688.120000000111759,2228282.599999999627471,2121412.849999999627471,2134004.899999999906868,11423699.310000000521541
20120224,2540586.959999999962747,2430156.230000000447035,2229706.399999999441206,2123023.099999999627471,2161582.719999999739230,11485055.410000000149012
20120227,2556927.120000000111759,2437706.509999999776483,2227333.399999999441206,2120554.049999999813735,2164690.079999999608845,11507211.159999998286366
20120228,2603905.079999999608845,2456162.750000000000000,2241571.399999999441206,2125384.799999999813735,2168962.700000000186265,11595986.730000000447035
20120229,2637947.079999999608845,2414845.940000000409782,2257707.799999999813735,2111966.049999999813735,2165466.919999999925494,11587933.789999999105930
20120301,2647819.260000000242144,2540474.209999999962747,2252487.200000000186265,2120554.049999999813735,2174789.000000000000000,11736123.720000000670552
20120302,2651223.459999999962747,2515935.799999999813735,2250114.199999999254942,2134294.849999999627471,2168962.700000000186265,11720531.009999997913837
