訓練日期,20170907 - 20171207
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11355429.750000000000000
真實報酬,1355429.750000000000000

夏普值報酬,0.126842975000000
夏普值風險,0.037214852597909
夏普值,3.408396544532474

預期報酬,21330.791261944155849
風險,41793.314192893572908
趨勢值,0.510387646298967
找到最佳解世代,1931
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,10
BA[2](9),CAT[3](1),CSCO[4](5),CVX[5](21),DIS[6](27),HD[9](11),INTC[11](6),KO[14](26),V[25](10),WMT[28](12),
Stock#,BA[2](9),CAT[3](1),CSCO[4](5),CVX[5](21),DIS[6](27),HD[9](11),INTC[11](6),KO[14](26),V[25](10),WMT[28](12),
張數,4262,8548,31377,8945,9852,6387,27964,21758,9691,12487,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,49.559999999939464,54.959999999962747,15.010000000009313,38.449999999953434,22.000000000000000,51.280000000027940,7.360000000102445,2.319999999948777,82.619999999878928,41.040000000037253,
20170907,1007202.779999999911524,1006752.919999999925494,996548.530000000027940,1000089.449999999953434,956257.119999999995343,1008750.190000000060536,993847.920000000041910,1006962.559999999939464,1013373.579999999958090,1000499.480000000097789,9990284.529999999329448
20170908,1017729.919999999925494,1007180.319999999948777,987762.969999999972060,990965.549999999930151,956355.639999999897555,1019799.699999999953434,984060.520000000018626,1007397.719999999855645,1012113.750000000000000,985015.599999999976717,9968381.689999999478459
20170911,1025444.139999999897555,1016155.719999999972060,1010040.639999999897555,1006529.849999999860302,956552.680000000051223,1011560.470000000088476,1000279.640000000246800,1012184.479999999981374,1028782.269999999902211,987513.000000000000000,10055042.889999998733401
20170912,1025401.520000000018626,1033850.079999999958090,1016943.579999999958090,1006261.499999999883585,964434.280000000027940,1021396.449999999953434,1009228.120000000228174,1016536.079999999958090,1029363.729999999864958,994131.109999999986030,10117546.449999999254942
20170913,1031155.219999999972060,1022652.199999999953434,1009726.869999999995343,1021378.550000000046566,973596.639999999897555,1022099.020000000135042,1015939.480000000097789,1019799.779999999911524,1025681.149999999906868,997252.859999999986030,10139281.769999999552965
20170914,1045219.819999999948777,1029918.000000000000000,1010040.639999999897555,1023793.699999999953434,964532.800000000046566,1018011.339999999967404,1020134.079999999958090,1003263.699999999953434,1028103.899999999906868,995005.200000000069849,10138023.179999999701977
