訓練日期,20120608 - 20120910
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11326801.410000000149012
真實報酬,1326801.410000000149012

夏普值報酬,0.123980141000000
夏普值風險,0.036999643548218
夏普值,3.350846903117556

預期報酬,21579.778150536472822
風險,81136.001456876940210
趨勢值,0.265970441765064
找到最佳解世代,3696
找到最佳解實驗#,6
找到最佳解次數,4

stock[index](rank)
投資組合檔數,4
AAPL[0](6),HD[9](14),MRK[17](7),PFE[20](4),
Stock#,AAPL[0](6),HD[9](14),MRK[17](7),PFE[20](4),
張數,30610,48790,65223,113947,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,81.299999999813735,0.399999999906868,2.410000000149012,2.819999999832362,
20120608,2537650.299999999813735,2554156.899999999906868,2508478.990000000223517,2522789.399999999906868,10123075.589999999850988
20120611,2497857.299999999813735,2505366.899999999906868,2509131.220000000204891,2518231.520000000018626,10030586.939999999478459
20120612,2519590.399999999906868,2548790.000000000000000,2533915.960000000428408,2528486.750000000000000,10130783.110000001266599
20120613,2502142.699999999720603,2486826.699999999720603,2504565.609999999869615,2528486.750000000000000,10022021.759999999776483
20120614,2499387.799999999813735,2544886.799999999813735,2530002.580000000074506,2570647.139999999664724,10144924.320000000298023
20120615,2510713.499999999534339,2530737.699999999720603,2539786.029999999795109,2576344.489999999757856,10157581.719999998807907
20120618,2561526.100000000093132,2552693.199999999720603,2533915.960000000428408,2577483.959999999962747,10225619.219999998807907
20120619,2568872.500000000000000,2584406.699999999720603,2558700.699999999720603,2587739.189999999944121,10299719.089999997988343
20120620,2561526.100000000093132,2577576.099999999627471,2557396.240000000223517,2583181.310000000055879,10279679.750000000000000
20120621,2526018.499999999534339,2500975.799999999813735,2573049.760000000242144,2575205.020000000018626,10175249.079999998211861
20120622,2545608.899999999906868,2538056.200000000186265,2620662.550000000279397,2590018.129999999888241,10294345.780000001192093
20120625,2496020.700000000186265,2513661.200000000186265,2594573.350000000093132,2560391.909999999683350,10164647.160000000149012
20120626,2501530.500000000000000,2531225.600000000093132,2613488.020000000018626,2556973.500000000000000,10203217.619999999180436
20120627,2512243.999999999534339,2515124.899999999906868,2643490.600000000093132,2576344.489999999757856,10247203.990000000223517
20120628,2488368.200000000186265,2521955.500000000000000,2653274.050000000279397,2567228.729999999981374,10230826.480000000447035
20120629,2553873.600000000093132,2585382.500000000000000,2723062.660000000149012,2620783.819999999832362,10483102.580000000074506
20120702,2591217.799999999813735,2586358.299999999813735,2729584.960000000428408,2620783.819999999832362,10527944.880000000819564
20120703,2621215.599999999627471,2520003.899999999906868,2726976.040000000502914,2605970.709999999962747,10474166.250000000000000
20120705,2667130.599999999627471,2542447.299999999813735,2715235.900000000372529,2583181.310000000055879,10507995.109999999403954
20120706,2649376.799999999813735,2544398.899999999906868,2707409.140000000130385,2568368.199999999720603,10469553.039999999105930
20120709,2684578.299999999813735,2542935.199999999720603,2747847.400000000372529,2580902.369999999646097,10556263.269999999552965
20120710,2659784.199999999720603,2547814.199999999720603,2698277.919999999925494,2556973.500000000000000,10462849.820000000298023
20120711,2643254.799999999813735,2520979.700000000186265,2687842.240000000223517,2545578.799999999813735,10397655.539999999105930
20120712,2619072.899999999906868,2515124.899999999906868,2798721.339999999850988,2583181.310000000055879,10516100.449999999254942
20120713,2645397.500000000000000,2541471.500000000000000,2835246.220000000204891,2599133.889999999664724,10621249.109999999403954
20120716,2653968.299999999813735,2510245.899999999906868,2827419.460000000428408,2635596.929999999701977,10627230.589999999850988
20120717,2654274.399999999441206,2474629.199999999720603,2882206.779999999795109,2691430.959999999962747,10702541.339999999850988
20120718,2651213.399999999906868,2483899.299999999813735,2865901.029999999795109,2697128.310000000055879,10698142.039999999105930
20120719,2686414.899999999906868,2486338.799999999813735,2865901.029999999795109,2711941.419999999925494,10750596.149999998509884
20120720,2642642.599999999627471,2473653.399999999906868,2831332.839999999850988,2700546.719999999739230,10648175.559999998658895
20120723,2640499.899999999906868,2486338.799999999813735,2822201.620000000577420,2689152.020000000018626,10638192.339999999850988
20120724,2627949.799999999813735,2496584.700000000186265,2784372.279999999795109,2664083.679999999701977,10572990.459999999031425
20120725,2514386.699999999720603,2491705.699999999720603,2779806.669999999925494,2658386.329999999608845,10444285.399999998509884
20120726,2514080.599999999627471,2581479.299999999813735,2826115.000000000000000,2676617.849999999627471,10598292.750000000000000
20120727,2558771.199999999720603,2620511.299999999813735,2941559.710000000428408,2715359.829999999608845,10836202.040000000968575
20120730,2601931.299999999813735,2598067.899999999906868,2901121.449999999720603,2701686.189999999944121,10802806.839999997988343
20120731,2670803.799999999813735,2545862.600000000093132,2880902.320000000298023,2739288.699999999720603,10836857.419999999925494
20120801,2653662.199999999720603,2521467.600000000093132,2888076.850000000093132,2727894.000000000000000,10791100.650000000372529
20120802,2657947.599999999627471,2507318.500000000000000,2863944.339999999850988,2725615.060000000055879,10754825.500000000000000
20120803,2692536.899999999441206,2551229.500000000000000,2879597.859999999869615,2766635.979999999981374,10890000.240000000223517
20120806,2722534.699999999720603,2537080.399999999906868,2901773.680000000167638,2764357.040000000037253,10925745.820000000298023
20120807,2715188.299999999813735,2556596.399999999906868,2869814.410000000149012,2705104.599999999627471,10846703.709999999031425
20120808,2710596.799999999813735,2575624.500000000000000,2873727.790000000502914,2715359.829999999608845,10875308.919999999925494
20120809,2714576.100000000093132,2593188.899999999906868,2888076.850000000093132,2719917.709999999962747,10915759.559999998658895
20120810,2718555.399999999906868,2588797.799999999813735,2906991.520000000018626,2727894.000000000000000,10942238.719999998807907
20120813,2754981.299999999813735,2577088.199999999720603,2897208.070000000298023,2702825.659999999683350,10932103.230000000447035
20120814,2762327.699999999720603,2669301.299999999813735,2896555.839999999850988,2732451.879999999888241,11060636.719999998807907
20120815,2758654.500000000000000,2683450.399999999906868,2873727.790000000502914,2739288.699999999720603,11055121.390000000596046
20120816,2782836.399999999906868,2747365.299999999813735,2865901.029999999795109,2737009.759999999776483,11133112.489999998360872
20120817,2834261.199999999720603,2767857.099999999627471,2826767.230000000447035,2710801.949999999720603,11139687.479999998584390
20120820,2908643.499999999534339,2760050.699999999720603,2853508.660000000149012,2724475.589999999850988,11246678.449999999254942
20120821,2868850.500000000000000,2747853.199999999720603,2800678.029999999795109,2699407.250000000000000,11116788.979999998584390
20120822,2924866.799999999813735,2763466.000000000000000,2798721.339999999850988,2700546.719999999739230,11187600.859999999403954
20120823,2897623.899999999906868,2759074.899999999906868,2791546.810000000055879,2705104.599999999627471,11153350.209999999031425
20120824,2900378.799999999813735,2779078.799999999813735,2812418.169999999925494,2735870.290000000037253,11227746.059999998658895
20120827,2954864.599999999627471,2764929.700000000186265,2807852.560000000055879,2722196.649999999906868,11249843.509999999776483
20120828,2950885.299999999813735,2758099.100000000093132,2793503.500000000000000,2717638.770000000018626,11220126.669999999925494
20120829,2945069.399999999441206,2773224.000000000000000,2808504.790000000502914,2730172.939999999944121,11256971.129999998956919
20120830,2903133.699999999720603,2762490.199999999720603,2812418.169999999925494,2716499.299999999813735,11194541.370000001043081
20120831,2908949.599999999627471,2768832.899999999906868,2807852.560000000055879,2718778.239999999757856,11204413.300000000745058
20120904,2951497.500000000000000,2770784.500000000000000,2820897.160000000149012,2709662.479999999981374,11252841.640000000596046
20120905,2930988.799999999813735,2758587.000000000000000,2833289.529999999795109,2725615.060000000055879,11248480.390000000596046
20120906,2957313.399999999906868,2812743.899999999906868,2885467.930000000167638,2773472.799999999813735,11428998.030000001192093
20120907,2975679.399999999441206,2793715.799999999813735,2873075.560000000055879,2762078.099999999627471,11404548.859999999403954
20120910,2898236.100000000093132,2795667.399999999906868,2886772.390000000130385,2746125.520000000018626,11326801.410000000149012
