訓練日期,20170816 - 20171115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10870545.269999999552965
真實報酬,870545.269999999552965

夏普值報酬,0.078354527000000
夏普值風險,0.030175486565422
夏普值,2.596628453036677

預期報酬,15911.969885869859354
風險,56564.814179909291852
趨勢值,0.281305085441640
找到最佳解世代,3555
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),DIS[6](25),DD[7](5),HD[9](3),MCD[15](16),V[25](2),
Stock#,CAT[3](1),DIS[6](25),DD[7](5),HD[9](3),MCD[15](16),V[25](2),
張數,14664,16418,18381,11098,10573,16239,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,102.399999999906868,74.819999999832362,60.729999999981374,79.340000000083819,149.739999999990687,57.430000000167638,
20170816,1673558.080000000074506,1677994.419999999925494,1673834.590000000083819,1689749.840000000083819,1680199.439999999944121,1677870.910000000149012,10073211.279999999329448
20170817,1659187.359999999869615,1664531.659999999683350,1653799.300000000046566,1661117.000000000000000,1669520.709999999962747,1659033.670000000158325,9967193.699999999254942
20170818,1670625.280000000027940,1653367.419999999925494,1659681.220000000204891,1636923.360000000102445,1668146.219999999972060,1664717.320000000298023,9953464.820000000298023
20170821,1665932.799999999813735,1661083.879999999888241,1671628.869999999878928,1655900.939999999944121,1674490.020000000018626,1676247.010000000242144,10005287.519999999552965
20170822,1698486.879999999888241,1687352.679999999701977,1695707.979999999981374,1663780.520000000018626,1688023.459999999962747,1690050.160000000149012,10123405.679999999701977
20170823,1682796.399999999906868,1666501.819999999832362,1690561.300000000046566,1654791.140000000130385,1679247.870000000111759,1675597.450000000186265,10049499.980000000447035
20170824,1683236.319999999832362,1666830.179999999701977,1684495.570000000065193,1645357.840000000083819,1675018.669999999925494,1676247.010000000242144,10031189.589999999850988
20170825,1691594.799999999813735,1681442.199999999720603,1689458.439999999944121,1660895.040000000037253,1679353.599999999860302,1678358.080000000074506,10081106.160000000149012
20170828,1687488.879999999888241,1683904.899999999906868,1692950.829999999841675,1680205.559999999823049,1688340.649999999906868,1685340.850000000093132,10118235.669999998062849
20170829,1701273.040000000037253,1684069.079999999608845,1681186.989999999757856,1663003.660000000149012,1685274.479999999981374,1685178.460000000195578,10099989.710000000894070
20170830,1723855.599999999860302,1688994.479999999981374,1698832.750000000000000,1664779.340000000083819,1686860.429999999934807,1684528.900000000139698,10147855.500000000000000
20170831,1722975.759999999776483,1661576.419999999925494,1744785.250000000000000,1663336.600000000093132,1691512.550000000046566,1681118.710000000195578,10165309.290000000968575
20170901,1734560.319999999832362,1666501.819999999832362,1758571.000000000000000,1673435.780000000027940,1689820.870000000111759,1687289.530000000260770,10210183.320000000298023
20170905,1734853.599999999860302,1668143.619999999646097,1701038.470000000204891,1697296.480000000214204,1682314.040000000037253,1672836.820000000298023,10156487.030000001192093
20170906,1715497.119999999878928,1666501.819999999832362,1698097.510000000009313,1737582.220000000204891,1673009.800000000046566,1675597.450000000186265,10166289.920000001788139
20170907,1727081.679999999934807,1593605.899999999906868,1693134.639999999897555,1752786.480000000214204,1690772.439999999944121,1698007.270000000251457,10155392.410000000149012
20170908,1727814.879999999888241,1593770.079999999608845,1697546.079999999841675,1771986.020000000018626,1688763.570000000065193,1695896.200000000186265,10175780.829999998211861
20170911,1743212.080000000074506,1594098.439999999944121,1749931.929999999934807,1757669.600000000093132,1708006.429999999934807,1723827.280000000260770,10276749.760000001639128
20170912,1773566.559999999823049,1607232.839999999850988,1793678.709999999962747,1774760.520000000018626,1653026.830000000074506,1724801.620000000111759,10327071.079999998211861
20170913,1754356.719999999739230,1622501.579999999608845,1819228.300000000046566,1775981.300000000279397,1660110.739999999990687,1718630.800000000046566,10350813.440000001341105
20170914,1766821.119999999878928,1607397.020000000018626,1832830.239999999757856,1768878.580000000074506,1660110.739999999990687,1722690.550000000046566,10358732.250000000000000
20170915,1779872.080000000074506,1617576.179999999701977,1828786.419999999925494,1758002.540000000037253,1659264.899999999906868,1710024.130000000121072,10353530.250000000000000
20170918,1815945.519999999785796,1610680.619999999646097,1826396.889999999897555,1751454.720000000204891,1656727.380000000121072,1702391.800000000046566,10363600.930000001564622
20170919,1829289.759999999776483,1616098.560000000055879,1833749.290000000037253,1749790.020000000018626,1664657.130000000121072,1711810.420000000158325,10405399.179999999701977
20170920,1830902.799999999813735,1628904.599999999627471,1843123.599999999860302,1761109.980000000214204,1690560.979999999981374,1711810.420000000158325,10466416.379999998956919
20170921,1830022.959999999962747,1623650.839999999850988,1840734.070000000065193,1766769.959999999962747,1681573.929999999934807,1710186.520000000251457,10452942.279999999329448
20170922,1824743.919999999925494,1618889.619999999646097,1831359.760000000009313,1775426.400000000139698,1680305.169999999925494,1714246.270000000251457,10444975.140000000596046
20170925,1823130.879999999888241,1634815.079999999608845,1841285.500000000000000,1787967.140000000130385,1652286.719999999972060,1672999.210000000195578,10412488.530000001192093
20170926,1825917.040000000037253,1619382.159999999683350,1815368.290000000037253,1789742.820000000065193,1621519.290000000037253,1671700.090000000083819,10343633.690000001341105
20170927,1826063.679999999934807,1629397.139999999664724,1801031.110000000102445,1785969.500000000000000,1628920.390000000130385,1687127.140000000130385,10358512.960000000894070
20170928,1836475.119999999878928,1609859.719999999739230,1807832.079999999841675,1801950.620000000344589,1665291.510000000009313,1698332.050000000046566,10419745.100000001490116
20170929,1828849.839999999850988,1618397.079999999608845,1812243.520000000018626,1815268.220000000204891,1656727.380000000121072,1698332.050000000046566,10429822.090000001713634
20171002,1828996.479999999981374,1639576.299999999813735,1843307.409999999916181,1820373.300000000279397,1659687.820000000065193,1712297.590000000083819,10504242.900000000372529
20171003,1840581.040000000037253,1654845.040000000037253,1841836.929999999934807,1833136.000000000000000,1658630.520000000018626,1714733.440000000176951,10543766.969999998807907
20171004,1858617.759999999776483,1650904.719999999739230,1844226.459999999962747,1834467.760000000009313,1662331.070000000065193,1710186.520000000251457,10560738.289999999105930
20171005,1853632.000000000000000,1643680.799999999813735,1857828.399999999906868,1843679.100000000093132,1679142.140000000130385,1725288.790000000037253,10603255.230000000447035
20171006,1861403.919999999925494,1643024.079999999608845,1864261.750000000000000,1840682.640000000130385,1687600.540000000037253,1733245.900000000139698,10630222.830000000074506
20171009,1860670.719999999739230,1634815.079999999608845,1876393.209999999962747,1839128.920000000158325,1693098.500000000000000,1737792.820000000298023,10641903.250000000000000
20171010,1879880.559999999823049,1634979.259999999776483,1873452.250000000000000,1833025.020000000018626,1697962.080000000074506,1742664.520000000251457,10661967.689999999478459
20171011,1885892.799999999813735,1618068.719999999739230,1874738.919999999925494,1834023.840000000083819,1725134.689999999944121,1761014.590000000083819,10698877.559999998658895
20171012,1906275.760000000009313,1591471.560000000055879,1869040.810000000055879,1826699.160000000149012,1733170.169999999925494,1755655.720000000204891,10682317.180000001564622
20171013,1916833.840000000083819,1598859.659999999683350,1869776.050000000046566,1825367.400000000139698,1748606.750000000000000,1764587.170000000158325,10724034.869999999180436
20171016,1927978.479999999981374,1611173.159999999683350,1856725.540000000037253,1822592.900000000139698,1744800.469999999972060,1758741.130000000121072,10722015.680000001564622
20171017,1914340.959999999729916,1614949.299999999813735,1855438.869999999878928,1812937.640000000130385,1748923.939999999944121,1746399.490000000223517,10692994.199999999254942
20171018,1925338.959999999729916,1613143.319999999832362,1852865.530000000027940,1814047.439999999944121,1752835.950000000186265,1750621.630000000121072,10708856.830000000074506
20171019,1929151.600000000093132,1625621.000000000000000,1855622.679999999934807,1811716.860000000102445,1760554.239999999990687,1737955.210000000195578,10720625.590000001713634
20171020,1926365.440000000176951,1632024.020000000018626,1863342.699999999953434,1813825.480000000214204,1758439.640000000130385,1746561.880000000121072,10740563.160000002011657
20171023,1931057.919999999925494,1620531.419999999925494,1872900.820000000065193,1828363.860000000102445,1727143.560000000055879,1746237.100000000093132,10726238.679999999701977
20171024,2027253.760000000009313,1613800.040000000037253,1881172.270000000018626,1842680.280000000027940,1732852.979999999981374,1760527.420000000158325,10858290.750000000000000
20171025,2006724.159999999916181,1605755.219999999739230,1860953.169999999925494,1843124.199999999953434,1729681.080000000074506,1778065.540000000037253,10824307.370000001043081
20171026,2008190.559999999823049,1618232.899999999906868,1912236.159999999916181,1860659.040000000037253,1734227.469999999972060,1783099.630000000121072,10916649.760000001639128
20171027,2020948.239999999990687,1614128.399999999906868,1898818.030000000027940,1857218.660000000149012,1748818.209999999962747,1781638.120000000111759,10921573.660000000149012
20171030,2001591.760000000009313,1609695.540000000037253,1876393.209999999962747,1834689.720000000204891,1757699.529999999795109,1786996.990000000223517,10867070.750000000000000
20171031,1991473.600000000093132,1605919.399999999906868,1892936.110000000102445,1839905.780000000027940,1764889.169999999925494,1786022.650000000139698,10881150.710000000894070
20171101,1998658.959999999729916,1625949.359999999869615,1919220.939999999944121,1835466.580000000074506,1759179.750000000000000,1803723.160000000149012,10942202.750000000000000
20171102,2001298.479999999981374,1614785.119999999646097,1885767.520000000018626,1805834.920000000158325,1777471.040000000037253,1802261.650000000139698,10887422.729999998584390
20171103,2003644.719999999739230,1619546.339999999850988,1862791.270000000018626,1824479.559999999823049,1783286.189999999944121,1808432.470000000204891,10902184.550000000745058
20171106,2019481.840000000083819,1652382.339999999850988,1838712.159999999916181,1822592.900000000139698,1798299.849999999860302,1817526.310000000288710,10948999.400000000372529
20171107,2035612.239999999990687,1668307.799999999813735,1862239.840000000083819,1816378.020000000018626,1805700.950000000186265,1820286.940000000176951,11008529.790000000968575
20171108,2013322.959999999729916,1661248.060000000055879,1853600.770000000018626,1820706.240000000223517,1798617.040000000037253,1826457.760000000242144,10973956.830000000074506
20171109,1984728.159999999916181,1685875.060000000055879,1838344.540000000037253,1812049.800000000279397,1765840.739999999990687,1821098.890000000130385,10907941.190000001341105
20171110,2001445.119999999646097,1720352.859999999869615,1831543.570000000065193,1821372.120000000344589,1750932.810000000055879,1816876.750000000000000,10942527.230000000447035
20171113,2002178.319999999832362,1719696.139999999664724,1844410.270000000018626,1835133.640000000130385,1769752.750000000000000,1809082.030000000260770,10980257.149999998509884
20171114,2016988.959999999729916,1693919.879999999888241,1794965.380000000121072,1865209.220000000204891,1777576.770000000018626,1818500.650000000139698,10967164.859999999403954
