訓練日期,20130522 - 20130822
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11047252.380000000819564
真實報酬,1047252.380000000819564

夏普值報酬,0.096025238000000
夏普值風險,0.042401452944265
夏普值,2.264668574593901

預期報酬,19590.234409971719288
風險,191774.328664884145837
趨勢值,0.102152538070957
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),UNH[23](1),
Stock#,BA[2](2),UNH[23](1),
張數,50632,79529,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,90.000000000000000,11.770000000484288,
20130522,4958481.760000000707805,4953077.890000000596046,9911559.650000002235174
20130523,5050632.000000000000000,4959440.210000000894070,10010072.210000000894070
20130524,5063290.000000000000000,4935581.510000000707805,9998871.510000001639128
20130528,5068859.519999999552965,5037378.630000000819564,10106238.150000000372529
20130529,5017214.879999999888241,5038173.920000000856817,10055388.800000000745058
20130530,5090631.280000000260770,5142356.910000000149012,10232988.190000001341105
20130531,5013670.639999999664724,4980913.040000000968575,9994583.679999999701977
20130603,5100757.679999999701977,4994432.970000000670552,10095190.650000000372529
20130604,5043543.519999999552965,4959440.210000000894070,10002983.730000000447035
20130605,4986835.679999999701977,4910927.520000000484288,9897763.199999999254942
20130606,5051138.320000000298023,4924447.450000000186265,9975585.769999999552965
20130607,5189363.679999999701977,4976141.300000000745058,10165504.980000000447035
20130610,5176705.679999999701977,5064418.490000000223517,10241124.169999999925494
20130611,5151896.000000000000000,5084300.740000000223517,10236196.740000000223517
20130612,5107846.160000000149012,5076347.840000000782311,10184194.000000000000000
20130613,5172655.120000000111759,5101797.120000001043081,10274452.240000002086163
20130614,5155946.559999999590218,5073961.970000000670552,10229908.530000001192093
20130617,5216704.959999999962747,5119293.500000000931323,10335998.460000000894070
20130618,5269868.559999999590218,5223476.490000001154840,10493345.050000000745058
20130619,5177212.000000000000000,5190074.310000000521541,10367286.310000000521541
20130620,5045062.480000000447035,5073961.970000000670552,10119024.450000001117587
20130621,5062277.360000000335276,5081914.870000000111759,10144192.230000000447035
20130624,4954431.199999999254942,5141561.620000001043081,10095992.820000000298023
20130625,4995949.440000000409782,5068394.940000000409782,10064344.380000000819564
20130626,5101264.000000000000000,5151900.390000000596046,10253164.390000000596046
20130627,5222780.800000000745058,5256083.380000000819564,10478864.180000001564622
20130628,5186832.080000000074506,5207570.690000000409782,10394402.769999999552965
20130701,5227337.679999999701977,5219500.040000000037253,10446837.719999998807907
20130702,5137719.040000000037253,5190869.600000000558794,10328588.640000000596046
20130703,5209616.480000000447035,5212342.430000000633299,10421958.910000000149012
20130705,5275944.400000000372529,5262445.700000000186265,10538390.100000001490116
20130708,5284551.839999999850988,5372991.010000000707805,10657542.850000001490116
20130709,5300247.760000000707805,5405597.900000000372529,10705845.660000000149012
20130710,5341766.000000000000000,5383329.780000000260770,10725095.780000001192093
20130711,5411638.160000000149012,5436614.210000000894070,10848252.370000001043081
20130712,5157971.839999999850988,5407983.770000000484288,10565955.609999999403954
20130715,5349867.120000000111759,5377762.750000000931323,10727629.870000001043081
20130716,5277463.360000000335276,5321297.160000000149012,10598760.519999999552965
20130717,5305817.280000000260770,5267217.440000000409782,10573034.720000000670552
20130718,5449612.160000000149012,5610782.720000000670552,11060394.880000000819564
20130719,5415688.719999999739230,5682358.820000000298023,11098047.539999999105930
20130722,5410625.519999999552965,5740414.990000001154840,11151040.510000001639128
20130723,5457713.280000000260770,5780974.780000000260770,11238688.060000000521541
20130724,5415182.400000000372529,5768250.140000000596046,11183432.540000000968575
20130725,5402524.400000000372529,5775407.750000000931323,11177932.150000002235174
20130726,5346829.199999999254942,5742800.860000000335276,11089630.059999998658895
20130729,5306829.919999999925494,5788927.680000000633299,11095757.600000001490116
20130730,5353411.360000000335276,5747572.600000000558794,11100983.960000000894070
20130731,5321513.199999999254942,5793699.419999999925494,11115212.619999999180436
20130801,5402524.400000000372529,5818353.410000000149012,11220877.810000000521541
20130802,5463282.800000000745058,5746777.310000000521541,11210060.110000001266599
20130805,5443030.000000000000000,5832668.630000000819564,11275698.630000000819564
20130806,5419739.280000000260770,5824715.730000000447035,11244455.010000001639128
20130807,5388347.440000000409782,5799266.450000000186265,11187613.890000000596046
20130808,5358980.879999999888241,5819943.990000001154840,11178924.870000001043081
20130809,5333158.559999999590218,5800061.740000001154840,11133220.300000000745058
20130812,5277969.679999999701977,5757116.080000000074506,11035085.759999999776483
20130813,5378727.360000000335276,5833463.919999999925494,11212191.280000001192093
20130814,5273919.120000000111759,5765068.980000000447035,11038988.100000001490116
20130815,5201515.360000000335276,5678382.370000001043081,10879897.730000000447035
20130816,5238983.040000000037253,5680768.240000001154840,10919751.280000001192093
20130819,5302273.040000000037253,5703036.360000000335276,11005309.400000000372529
20130820,5297716.160000000149012,5762683.110000000335276,11060399.269999999552965
20130821,5261261.120000000111759,5714170.419999999925494,10975431.539999999105930
20130822,5323538.480000000447035,5723713.900000000372529,11047252.380000000819564
