訓練日期,20161018 - 20170120
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11209220.609999999403954
真實報酬,1209220.609999999403954

夏普值報酬,0.112222061000000
夏普值風險,0.035614606317310
夏普值,3.151012256043295

預期報酬,20742.581090375271742
風險,83719.550178555655293
趨勢值,0.247762691583219
找到最佳解世代,2651
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](28),AXP[1](8),CVX[5](4),DIS[6](1),PG[21](29),UTX[24](6),
Stock#,AAPL[0](28),AXP[1](8),CVX[5](4),DIS[6](1),PG[21](29),UTX[24](6),
張數,14178,27824,16443,18349,18976,16715,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,42.100000000093132,8.400000000139698,3.520000000018626,26.330000000074506,3.919999999925494,13.350000000093132,
20161018,1665531.760000000009313,1671674.320000000065193,1673736.490000000223517,1672904.660000000149012,1659455.119999999878928,1671346.199999999953434,10014652.550000000745058
20161019,1660569.460000000195578,1704228.400000000139698,1681629.129999999888241,1686849.900000000139698,1623210.959999999962747,1667501.750000000232831,10023993.600000001490116
20161020,1659718.780000000027940,1858095.120000000111759,1675051.930000000167638,1688684.800000000046566,1611635.600000000093132,1659645.700000000186265,10152835.929999999701977
20161021,1653196.899999999906868,1874233.040000000037253,1665679.419999999925494,1707033.800000000046566,1600250.000000000000000,1649282.400000000139698,10149679.560000000521541
20161024,1668083.800000000279397,1866720.560000000288710,1655155.899999999906868,1713272.460000000195578,1595885.519999999785796,1663490.150000000139698,10162612.390000000596046
20161025,1676590.600000000093132,1856982.159999999916181,1656964.629999999888241,1701896.080000000074506,1650346.639999999897555,1694245.750000000000000,10237029.859999999403954
20161026,1638877.120000000111759,1858651.600000000093132,1663870.689999999944121,1715474.340000000083819,1658506.320000000065193,1688395.500000000232831,10223779.570000000298023
20161027,1623139.540000000037253,1862268.720000000437722,1642988.080000000074506,1725199.310000000055879,1642946.000000000000000,1672683.399999999906868,10169229.050000000745058
20161028,1612364.260000000009313,1848913.200000000186265,1707115.779999999795109,1722079.979999999981374,1647879.760000000009313,1702268.950000000186265,10240625.929999999701977
20161031,1609812.220000000204891,1848078.480000000214204,1722407.770000000018626,1700795.140000000130385,1647120.719999999972060,1708286.350000000093132,10236504.680000001564622
20161101,1580747.320000000065193,1843348.400000000139698,1750854.160000000149012,1695290.440000000176951,1648069.519999999785796,1705110.500000000232831,10223424.340000001713634
20161102,1582165.120000000111759,1821089.200000000186265,1732931.290000000037253,1686482.919999999925494,1645982.159999999916181,1697254.450000000186265,10165909.140000000596046
20161103,1557211.840000000083819,1817750.320000000065193,1732931.290000000037253,1713272.460000000195578,1643325.519999999785796,1689064.100000000093132,10153559.529999999329448
20161104,1543175.620000000111759,1822758.640000000363216,1722901.060000000055879,1696391.380000000121072,1614482.000000000000000,1693744.300000000046566,10093457.000000000000000
20161107,1565435.080000000074506,1864216.400000000139698,1756938.069999999832362,1732722.400000000139698,1642566.479999999981374,1722494.100000000093132,10284376.530000001192093
20161108,1574650.780000000027940,1866164.079999999841675,1764172.990000000223517,1731804.949999999953434,1659644.879999999888241,1727842.900000000139698,10324284.580000000074506
20161109,1572098.739999999990687,1912630.159999999916181,1769928.040000000037253,1736575.690000000176951,1630611.600000000093132,1751912.500000000232831,10373760.730000000447035
20161110,1528288.720000000204891,1950749.040000000037253,1772394.490000000223517,1742447.369999999878928,1574252.879999999888241,1812086.500000000000000,10380223.000000000000000
20161111,1537362.640000000130385,1961600.400000000139698,1753485.040000000037253,1792356.650000000139698,1586018.000000000000000,1819608.250000000000000,10450434.980000000447035
20161114,1498798.479999999981374,2015022.480000000214204,1752662.890000000130385,1796760.410000000149012,1575011.919999999925494,1802893.250000000000000,10441153.429999999701977
20161115,1518647.680000000167638,2016413.680000000167638,1791632.799999999813735,1792723.630000000121072,1586777.040000000037253,1799884.550000000279397,10506083.380000000819564
20161116,1559480.320000000065193,1994432.720000000437722,1781602.569999999832362,1818779.210000000195578,1578617.359999999869615,1787849.750000000000000,10520765.929999999701977
20161117,1558913.200000000186265,1997215.120000000111759,1777820.680000000167638,1823366.460000000195578,1576340.239999999757856,1783503.850000000093132,10517163.549999998882413
20161118,1560472.780000000027940,1975512.400000000139698,1795579.120000000111759,1802632.090000000083819,1556035.919999999925494,1780160.850000000093132,10470397.160000000149012
20161121,1584150.040000000037253,1990537.360000000335276,1811693.260000000242144,1791439.199999999953434,1568180.559999999823049,1786011.100000000093132,10532015.519999999552965
20161122,1585142.500000000000000,1995545.680000000167638,1818928.180000000167638,1792907.119999999878928,1570457.679999999934807,1787515.449999999953434,10550500.609999999403954
20161123,1577061.040000000037253,2027821.520000000018626,1825176.520000000018626,1802999.070000000065193,1568939.600000000093132,1807072.000000000000000,10609073.750000000000000
20161125,1585000.720000000204891,2027265.040000000037253,1825176.520000000018626,1813274.510000000009313,1583740.879999999888241,1818271.050000000046566,10652732.720000000670552
20161128,1581881.560000000055879,2006953.520000000018626,1816955.020000000018626,1816026.860000000102445,1576340.239999999757856,1812755.100000000093132,10610916.299999998882413
