訓練日期,20171214 - 20180320
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11697873.179999999701977
真實報酬,1697873.179999999701977

夏普值報酬,0.161087318000000
夏普值風險,0.052021998789230
夏普值,3.096523043119794

預期報酬,30589.361284150967549
風險,254303.546569623984396
趨勢值,0.120286805657176
找到最佳解世代,2149
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](4),CSCO[4](1),INTC[11](6),
Stock#,BA[2](4),CSCO[4](1),INTC[11](6),
張數,11421,87374,76911,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,228.360000000335276,14.899999999906868,10.259999999776483,
20171214,3356631.840000000316650,3311489.500000000000000,3327180.119999999646097,9995302.459999999031425
20171215,3357317.100000000093132,3336827.959999999497086,3427164.419999999925494,10121310.480000000447035
20171218,3382443.300000000279397,3362166.419999999459833,3557913.119999999646097,10302523.839999999850988
20171219,3395120.610000000335276,3346439.099999999627471,3617903.699999999720603,10359464.410000000149012
20171220,3402544.260000000242144,3384883.660000000149012,3657897.419999999925494,10445326.339999999850988
20171221,3369765.990000000223517,3366535.120000000111759,3596368.619999999646097,10332670.730000000447035
20171222,3370565.460000000428408,3368282.599999999627471,3591753.959999999962747,10330603.019999999552965
20171226,3373534.920000000391155,3362166.419999999459833,3544069.139999999664724,10279771.480000000447035
20171227,3376504.380000000353903,3369156.340000000316650,3546376.469999999739230,10292038.190000001341105
20171228,3384841.710000000428408,3371777.560000000055879,3554836.679999999701977,10311456.949999999254942
20171229,3368395.470000000670552,3346439.099999999627471,3550222.019999999552965,10265057.589999999850988
20180102,3390438.000000000000000,3395368.540000000037253,3603290.609999999869615,10389098.150000000372529
20180103,3401402.160000000614673,3422454.479999999981374,3481002.119999999646097,10304859.759999999776483
20180104,3388496.430000000633299,3406727.160000000149012,3417165.989999999757856,10212390.580000000074506
20180105,3527490.000000000000000,3453909.120000000111759,3441008.399999999906868,10422408.519999999552965
20180108,3542451.510000000242144,3489732.459999999497086,3441008.399999999906868,10473193.369999999180436
20180109,3637017.390000000596046,3467888.959999999497086,3354868.079999999608845,10459775.429999999701977
20180110,3657917.820000000298023,3487111.239999999757856,3268727.759999999776483,10413757.820000000298023
20180111,3747686.880000000353903,3503712.299999999813735,3338716.769999999552965,10590116.949999999254942
20180112,3840082.770000000018626,3570990.279999999795109,3325641.899999999906868,10736715.949999999254942
20180116,3828090.720000000670552,3542156.859999999869615,3317950.799999999813735,10688199.379999998956919
20180117,4009113.570000000298023,3599823.700000000186265,3414089.549999999813735,11023027.820000000298023
20180118,3885195.720000000670552,3608561.099999999627471,3421011.539999999571592,10914769.359999999403954
20180119,3857442.690000000409782,3607687.359999999869615,3447161.279999999795109,10912292.330000000074506
20180122,3860526.360000000335276,3640015.739999999757856,3518688.509999999776483,11019231.609999999403954
20180123,3833001.750000000000000,3678460.299999999813735,3542530.919999999925494,11053993.969999998807907
20180124,3822722.850000000093132,3684576.479999999981374,3500229.869999999646097,11007530.199999999254942
20180125,3918887.670000000391155,3660985.500000000000000,3484078.559999999590218,11063952.730000000447035
20180126,3920143.980000000447035,3718652.340000000316650,3851713.139999999664724,11490510.460000000894070
20180129,3892733.580000000074506,3743990.799999999813735,3844022.039999999571592,11480747.419999999925494
20180130,3857214.270000000018626,3691566.399999999906868,3752497.949999999720603,11301279.619999999180436
20180131,4047488.130000000353903,3629530.859999999869615,3702505.799999999813735,11379525.789999999105930
20180201,4076840.100000000093132,3643510.700000000186265,3664819.409999999683350,11385171.210000000894070
20180202,3985129.470000000670552,3576232.719999999739230,3549452.909999999683350,11110816.099999999627471
20180205,3756366.840000000316650,3388378.620000000111759,3424087.979999999981374,10568834.440000001341105
20180206,3893761.470000000670552,3509828.479999999981374,3454083.269999999552965,10857674.220000000670552
20180207,3976106.880000000353903,3524682.060000000055879,3476387.459999999962747,10977177.400000000372529
20180208,3765275.220000000670552,3387504.880000000353903,3287955.509999999776483,10440736.610000001266599
20180209,3801479.790000000037253,3453909.120000000111759,3380248.709999999962747,10635638.620000001043081
20180212,3926768.160000000614673,3547399.299999999813735,3447930.389999999664724,10922098.850000001490116
20180213,3919458.720000000670552,3602444.919999999459833,3419473.319999999832362,10941377.960000000894070
20180214,3938760.210000000428408,3677586.560000000055879,3490231.439999999944121,11106579.210000000894070
20180215,4071358.020000000018626,3851460.819999999832362,3531763.379999999888241,11454583.219999998807907
20180216,4055140.200000000651926,3873304.319999999832362,3504075.419999999925494,11432520.940000001341105
20180220,4035838.710000000428408,3849713.340000000316650,3562527.779999999795109,11448080.830000000074506
20180221,4024646.130000000353903,3784182.840000000316650,3533301.599999999627471,11342131.570000000298023
20180222,4065190.680000000633299,3751854.459999999497086,3522534.059999999590218,11339580.199999999254942
20180223,4073642.220000000670552,3844470.899999999906868,3670972.289999999571592,11589086.410000000149012
20180226,4151533.440000000409782,3963299.540000000037253,3777109.469999999739230,11891943.449999999254942
20180227,4164781.800000000279397,3935339.859999999869615,3838638.269999999552965,11938760.929999999701977
20180228,4137028.770000000018626,3912622.620000000111759,3790953.449999999720603,11840605.839999999850988
20180301,3994037.850000000093132,3826996.099999999627471,3679432.500000000000000,11500467.449999999254942
20180302,3936704.430000000633299,3849713.340000000316650,3767111.039999999571592,11553529.810000000521541
20180305,4028986.110000000335276,3889905.380000000353903,3826332.509999999776483,11745225.000000000000000
20180306,3985243.680000000633299,3869809.359999999869615,3900167.069999999832362,11755221.110000001266599
20180307,3963772.200000000651926,3861945.700000000186265,3947082.779999999795109,11772801.679999999701977
20180308,3983073.690000000409782,3874178.060000000055879,3902474.399999999906868,11759727.150000000372529
20180309,4049201.280000000260770,3964173.279999999795109,4013995.349999999627471,12027370.910000000149012
20180312,3931222.350000000093132,3979900.599999999627471,3962464.979999999981374,11873588.929999999701977
20180313,3868178.430000000633299,3945824.739999999757856,3982461.839999999850988,11796466.009999999776483
20180314,3772127.820000000298023,3956309.620000000111759,3988614.719999999739230,11717053.160000000149012
20180315,3768929.940000000409782,3960678.319999999832362,3913241.939999999944121,11642851.199999999254942
20180316,3774526.230000000447035,3932718.639999999664724,3935546.129999999888241,11642792.000000000000000
20180319,3789259.320000000298023,3868061.880000000353903,3909396.389999999664724,11566718.589999999850988
20180320,3856300.590000000316650,3876799.279999999795109,3964772.309999999590218,11697873.179999999701977
