訓練日期,20130625 - 20130925
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12131025.270000001415610
真實報酬,2131025.270000001415610

夏普值報酬,0.204402527000000
夏普值風險,0.052597226474564
夏普值,3.886184513908752

預期報酬,34759.792942934931489
風險,159261.515997634356609
趨勢值,0.218256072254463
找到最佳解世代,2236
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),BA[2](7),DD[7](1),
Stock#,AAPL[0](2),BA[2](7),DD[7](1),
張數,57960,34065,72353,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.399999999906868,72.750000000000000,30.290000000037253,
20130625,3333912.600000000093132,3361266.300000000279397,3348527.129999999888241,10043707.030000001192093
20130626,3296238.599999999627471,3432121.500000000000000,3318138.870000000111759,10046499.969999998807907
20130627,3260303.399999999906868,3513877.500000000000000,3333333.000000000000000,10107514.900000000372529
20130628,3283487.399999999906868,3489691.350000000093132,3314521.220000000204891,10087700.970000000670552
20130701,3388395.000000000000000,3516943.349999999627471,3348527.129999999888241,10253866.480000000447035
20130702,3464902.200000000186265,3456648.299999999813735,3342738.890000000130385,10264290.390000000596046
20130703,3484029.000000000000000,3505020.600000000093132,3341291.830000000074506,10330342.429999999701977
20130705,3456208.200000000186265,3549645.750000000000000,3368062.439999999944121,10373917.390000000596046
20130708,3436501.799999999813735,3555436.800000000279397,3409303.649999999906868,10401243.250000000000000
20130709,3497359.800000000279397,3565996.950000000186265,3505533.140000000130385,10568890.890000000596046
20130710,3483449.399999999906868,3593930.250000000000000,3481656.649999999906868,10559037.300000000745058
20130711,3537931.799999999813735,3640939.949999999720603,3523621.390000000130385,10702494.140000000596046
20130712,3531556.199999999720603,3470274.300000000279397,3515662.560000000055879,10517494.060000000521541
20130715,3539091.000000000000000,3599380.649999999906868,3544603.760000000242144,10683076.410000000149012
20130716,3562275.000000000000000,3550667.700000000186265,3500468.430000000167638,10613412.130000000819564
20130717,3562854.599999999627471,3569744.100000000093132,3578609.669999999925494,10711209.369999999180436
20130718,3575026.199999999720603,3666488.699999999720603,3563415.540000000037253,10804931.439999999478459
20130719,3518805.000000000000000,3643665.149999999906868,3572097.899999999906868,10734569.050000000745058
20130722,3529817.399999999906868,3640258.649999999906868,3564139.069999999832362,10734216.119999999180436
20130723,3469539.000000000000000,3671939.100000000093132,3559797.890000000130385,10701276.990000000223517
20130724,3647476.199999999720603,3643324.500000000000000,3541709.640000000130385,10832511.339999999850988
20130725,3630667.799999999813735,3634808.250000000000000,3605380.279999999795109,10870857.330000000074506
20130726,3651533.399999999906868,3597336.750000000000000,3575715.550000000279397,10824586.700000001117587
20130729,3707754.599999999627471,3570425.399999999906868,3606103.810000000055879,10884284.810000000521541
20130730,3753543.000000000000000,3601765.200000000186265,3612615.580000000074506,10967924.780000001192093
20130731,3747167.400000000372529,3580304.250000000000000,3610444.989999999757856,10937917.640000000596046
20130801,3781363.799999999813735,3634808.250000000000000,3647345.020000000018626,11063518.070000000298023
20130802,3830050.199999999720603,3675686.250000000000000,3731998.029999999795109,11237735.479999998584390
20130805,3886851.000000000000000,3662060.250000000000000,3758768.640000000130385,11307680.890000000596046
20130806,3852074.999999999534339,3646390.350000000093132,3715356.840000000316650,11213823.189999999478459
20130807,3850336.200000000186265,3625270.050000000279397,3739233.330000000074506,11214840.580000000074506
20130808,3817299.000000000000000,3605512.350000000093132,3802903.970000000204891,11225716.320000000298023
20130809,3762816.600000000093132,3588139.199999999720603,3919392.300000000279397,11270349.099999999627471
20130812,3870042.599999999627471,3551008.349999999627471,3861509.899999999906868,11282561.849999999627471
20130813,4053775.799999999813735,3618797.700000000186265,3902751.109999999869615,11575325.609999999403954
20130814,4127384.999999999534339,3548283.149999999906868,3889727.569999999832362,11565396.719999998807907
20130815,4122748.199999999720603,3499570.200000000186265,3828227.520000000018626,11450546.919999999925494
20130816,4159263.000000000000000,3524778.299999999813735,3800733.379999999888241,11484775.679999999701977
20130819,4203892.199999999254942,3567359.549999999813735,3773962.770000000018626,11545215.519999999552965
20130820,4148830.199999999720603,3564293.699999999720603,3807245.149999999906868,11520370.049999998882413
20130821,4159842.599999999627471,3539766.899999999906868,3826780.459999999962747,11526390.960000000894070
20130822,4164479.399999999441206,3581666.850000000093132,3831845.169999999925494,11577992.419999999925494
20130823,4148250.599999999627471,3593248.950000000186265,3991745.300000000279397,11733245.849999999627471
20130826,4164479.399999999441206,3594952.200000000186265,3982339.410000000149012,11741772.009999999776483
20130827,4045661.399999999906868,3515921.399999999906868,3870192.260000000242144,11431776.060000000521541
20130828,4064788.199999999720603,3517965.299999999813735,3858615.779999999795109,11441370.279999999329448
20130829,4071163.799999999813735,3574513.200000000186265,3865851.080000000074506,11511529.080000000074506
20130830,4034069.399999999441206,3540107.550000000279397,3853551.069999999832362,11427729.019999999552965
20130903,4045661.399999999906868,3577238.400000000372529,3857892.250000000000000,11480793.050000000745058
20130904,4129123.799999999813735,3623566.800000000279397,3892621.689999999944121,11645313.289999999105930
20130905,4100723.399999999906868,3633105.000000000000000,3957739.390000000130385,11691568.790000000968575
20130906,4125066.600000000093132,3613347.299999999813735,3972933.520000000018626,11711348.419999999925494
20130909,4191141.000000000000000,3651500.100000000093132,3998980.600000000093132,11841622.699999999254942
20130910,4095506.999999999534339,3684883.800000000279397,4119810.109999999869615,11900201.910000000149012
20130911,3872940.599999999627471,3720992.700000000186265,4106063.040000000037253,11699997.339999999850988
20130912,3914092.200000000186265,3740409.750000000000000,4004045.310000000055879,11658548.259999999776483
20130913,3849176.999999999534339,3792529.199999999720603,4108233.629999999888241,11749940.829999998211861
20130916,3726881.399999999906868,3940371.300000000279397,4100998.330000000074506,11768252.030000001192093
20130917,3770351.399999999906868,3989424.899999999906868,4091592.439999999944121,11851369.740000000223517
20130918,3847438.199999999720603,4033368.750000000000000,4210251.360000000335276,12091059.309999998658895
20130919,3910614.599999999627471,4055170.350000000093132,4184204.279999999795109,12149990.229999998584390
20130920,3870042.599999999627471,3973073.699999999720603,4090868.910000000149012,11933986.209999999031425
20130923,4062469.800000000279397,4003050.900000000372529,4043115.930000000167638,12108637.630000000819564
20130924,4049718.600000000093132,4053807.750000000000000,4030092.390000000130385,12133619.740000000223517
20130925,3987121.800000000279397,4037115.900000000372529,4106786.569999999832362,12131025.270000001415610
