訓練日期,20170407 - 20170711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11009114.459999999031425
真實報酬,1009114.459999999031425

夏普值報酬,0.092211446000000
夏普值風險,0.029938416911548
夏普值,3.080037474006549

預期報酬,17024.842422996844107
風險,59426.735760221366945
趨勢值,0.286484562969935
找到最佳解世代,2593
找到最佳解實驗#,1
找到最佳解次數,22

stock[index](rank)
投資組合檔數,5
BA[2](4),JNJ[12](12),JPM[13](17),MCD[15](2),WMT[28](11),
Stock#,BA[2](4),JNJ[12](12),JPM[13](17),MCD[15](2),WMT[28](11),
張數,11275,15993,23126,15366,27999,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,153.250000000000000,75.350000000093132,63.520000000018626,115.099999999860302,31.429999999701977,
20170407,2016687.000000000000000,1997920.910000000149012,1993062.200000000186265,1997080.459999999962747,2041158.529999999795109,10045909.099999999627471
20170410,2002142.250000000000000,1988644.970000000204891,1986124.399999999906868,1997387.779999999795109,2045638.369999999878928,10019937.769999999552965
20170411,2013530.000000000000000,1986725.810000000055879,1982655.500000000000000,2016134.299999999580905,2055998.000000000000000,10055043.609999999403954
20170412,1985117.000000000232831,2005597.550000000279397,1975023.920000000158325,2017056.259999999776483,2056277.989999999525025,10039072.720000000670552
20170413,1980268.750000000000000,1999040.419999999925494,1951897.920000000158325,2009373.259999999776483,2048158.279999999795109,9988738.629999998956919
20170417,2018603.750000000000000,2010715.310000000055879,1985661.880000000121072,2018439.199999999720603,2057677.939999999478459,10091098.080000000074506
20170418,2005412.000000000000000,1948342.609999999869615,1969473.679999999934807,2033036.900000000139698,2068877.539999999804422,10025142.730000000447035
20170419,2011613.250000000000000,1941145.760000000242144,1953285.479999999981374,2038261.339999999618158,2073917.359999999403954,10018223.189999999478459
20170420,2021760.750000000232831,1949142.260000000242144,1978492.820000000065193,2047941.919999999925494,2094356.629999999655411,10091694.380000000819564
20170421,2033937.750000000000000,1947383.030000000260770,1954673.040000000037253,2050093.159999999916181,2098276.489999999757856,10084363.470000000670552
20170424,2052879.750000000000000,1965455.120000000111759,2023588.520000000018626,2062693.279999999795109,2093796.649999999674037,10198413.320000000298023
20170425,2069228.500000000000000,1974091.340000000316650,2041164.280000000027940,2177477.299999999813735,2101356.379999999422580,10363317.799999998882413
20170426,2048933.500000000000000,1975370.780000000260770,2045095.700000000186265,2164262.540000000037253,2111996.000000000000000,10345658.519999999552965
20170427,2065958.750000000000000,1979049.169999999925494,2026132.380000000121072,2164723.519999999552965,2112275.989999999757856,10348139.809999998658895
20170428,2084111.500000000232831,1974731.060000000055879,2012025.520000000018626,2150279.479999999515712,2104996.250000000000000,10326143.809999998658895
20170501,2056600.499999999767169,1972651.970000000204891,2013413.080000000074506,2169026.000000000000000,2106396.199999999720603,10318087.750000000000000
20170502,2068439.250000000000000,1978409.450000000186265,2000462.520000000018626,2170255.279999999329448,2114515.909999999683350,10332082.410000000149012
20170503,2067875.499999999767169,1972492.040000000037253,2012025.520000000018626,2191614.019999999552965,2121235.669999999925494,10365242.750000000000000
20170504,2064267.500000000000000,1982407.700000000186265,2014338.119999999878928,2204367.799999999813735,2137475.089999999850988,10402856.210000000894070
20170505,2086141.000000000000000,1975370.780000000260770,2012025.520000000018626,2212204.459999999962747,2141954.929999999701977,10427696.690000001341105
20170508,2097528.750000000000000,1971212.600000000093132,2014338.119999999878928,2216506.940000000409782,2131315.310000000055879,10430901.720000000670552
20170509,2107563.500000000000000,1970572.879999999888241,2006244.020000000018626,2218350.860000000335276,2148114.709999999497086,10450845.970000000670552
20170510,2065507.750000000000000,1964175.680000000167638,2021969.700000000186265,2220809.419999999925494,2147554.729999999981374,10420017.280000001192093
20170511,2074076.750000000000000,1970412.950000000186265,2015725.679999999934807,2216045.959999999962747,2131595.299999999348074,10407856.639999998733401
20170512,2066297.000000000000000,1977449.870000000111759,2010175.439999999944121,2233716.860000000335276,2119835.719999999739230,10407474.890000000596046
20170515,2056600.499999999767169,2031026.419999999925494,2019888.360000000102445,2247853.580000000074506,2136075.139999999664724,10491444.000000000000000
20170516,2060095.749999999767169,2043500.959999999962747,2026132.380000000121072,2263373.239999999292195,2103036.319999999832362,10496138.649999998509884
20170517,2015897.750000000000000,2025908.660000000149012,1948891.540000000037253,2249851.160000000149012,2103316.310000000055879,10343865.419999999925494
20170518,2000338.250000000000000,2030706.560000000055879,1941722.479999999981374,2259070.759999999776483,2171073.889999999664724,10402911.939999999478459
20170519,2038222.250000000000000,2031186.350000000093132,1960685.800000000046566,2276588.000000000000000,2205512.659999999683350,10512195.060000000521541
20170522,2071032.499999999767169,2035344.530000000260770,1958835.719999999972060,2277202.639999999664724,2199352.879999999422580,10541768.269999999552965
20170523,2069003.000000000000000,2039502.709999999962747,1983349.280000000027940,2271517.219999999739230,2197672.939999999478459,10561045.149999998509884
20170524,2088847.000000000000000,2039342.780000000260770,1982192.979999999981374,2297332.099999999627471,2188153.279999999795109,10595868.139999998733401
20170525,2109367.500000000000000,2039662.640000000130385,1973867.619999999878928,2301634.580000000074506,2192633.119999999646097,10617165.459999999031425
20170526,2103955.500000000000000,2029906.910000000149012,1974098.880000000121072,2302863.860000000335276,2187593.299999999348074,10598418.449999999254942
