訓練日期,20170310 - 20170612
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10537538.919999998062849
真實報酬,537538.919999998062849

夏普值報酬,0.045053892000000
夏普值風險,0.019594167806405
夏普值,2.299352156475438

預期報酬,10071.302880798590195
風險,44110.202355469897157
趨勢值,0.228321393759140
找到最佳解世代,4986
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](5),DIS[6](18),KO[14](4),MCD[15](2),PG[21](20),WMT[28](1),XOM[29](16),
Stock#,AAPL[0](5),DIS[6](18),KO[14](4),MCD[15](2),PG[21](20),WMT[28](1),XOM[29](16),
張數,10301,12866,33989,11148,15813,20449,17491,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,28.319999999832362,59.020000000018626,13.330000000074506,66.280000000260770,24.579999999841675,3.860000000102445,81.030000000027940,
20170310,1433309.459999999729916,1427155.739999999990687,1437408.140000000130385,1426787.320000000298023,1440114.489999999757856,1433478.760000000009313,1427521.540000000037253,10025778.449999999254942
20170313,1433927.519999999785796,1434875.340000000083819,1428571.000000000000000,1422662.560000000288710,1443909.609999999869615,1430411.410000000149012,1424198.250000000000000,10018558.689999999478459
20170314,1431764.309999999823049,1445039.479999999981374,1426531.660000000149012,1424780.680000000167638,1439007.579999999841675,1446157.140000000130385,1416677.119999999878928,10029960.970000000670552
20170315,1446906.780000000027940,1439378.440000000176951,1431630.010000000009313,1425672.520000000251457,1445332.780000000027940,1443294.280000000027940,1434343.030000000027940,10066560.839999999850988
20170316,1449276.009999999776483,1437319.879999999888241,1436048.580000000074506,1426787.320000000298023,1445965.299999999813735,1440431.420000000158325,1435567.399999999906868,10071398.910000000149012
20170317,1442065.309999999823049,1437963.180000000167638,1428571.000000000000000,1434145.000000000000000,1439007.579999999841675,1429184.470000000204891,1434343.030000000027940,10045282.570000000298023
20170320,1457207.780000000027940,1450185.879999999888241,1433669.350000000093132,1435705.720000000204891,1442486.439999999711290,1431024.880000000121072,1434343.030000000027940,10084626.080000000074506
20170321,1440520.159999999916181,1437834.520000000018626,1444545.830000000074506,1432807.240000000456348,1442012.049999999813735,1429388.960000000195578,1431369.560000000055879,10058481.320000000298023
20170322,1456795.739999999757856,1442080.300000000046566,1440467.150000000139698,1439273.080000000307336,1438849.449999999720603,1436546.110000000102445,1430145.190000000176951,10084160.019999999552965
20170323,1451645.239999999757856,1444138.859999999869615,1433329.460000000195578,1438158.280000000260770,1435370.589999999850988,1428571.000000000000000,1431894.290000000037253,10063110.719999998807907
20170324,1448760.959999999729916,1442852.260000000009313,1431630.010000000009313,1441948.600000000325963,1432207.989999999757856,1423458.750000000000000,1420874.960000000195578,10041736.530000001192093
20170327,1451233.199999999720603,1445940.099999999860302,1438427.810000000055879,1443620.800000000279397,1430942.949999999720603,1424481.199999999953434,1421224.780000000027940,10055873.839999997988343
20170328,1481312.119999999878928,1454560.320000000065193,1442166.600000000093132,1443174.880000000121072,1435212.459999999962747,1437977.540000000037253,1431544.469999999972060,10125951.390000000596046
20170329,1484608.439999999944121,1447870.000000000000000,1441826.710000000195578,1436374.600000000325963,1432682.379999999655411,1446566.120000000111759,1434692.849999999860302,10124624.099999999627471
20170330,1482651.250000000000000,1456232.900000000139698,1447944.730000000214204,1441725.640000000130385,1426357.179999999934807,1463947.770000000251457,1464077.729999999981374,10182940.200000001117587
20170331,1479869.979999999748543,1458934.760000000009313,1442506.489999999990687,1444958.560000000521541,1420822.629999999655411,1473967.780000000027940,1434517.940000000176951,10155581.139999998733401
20170403,1480282.019999999785796,1456490.219999999972060,1441486.820000000065193,1444958.560000000521541,1418134.419999999925494,1468855.530000000027940,1435567.399999999906868,10145777.970000000670552
20170404,1491304.089999999850988,1454431.660000000149012,1450663.850000000093132,1441391.200000000186265,1421771.409999999683350,1472536.350000000093132,1440814.700000000186265,10172916.259999997913837
20170405,1483578.339999999850988,1453917.020000000018626,1446925.060000000055879,1453876.960000000195578,1422720.189999999711290,1465174.710000000195578,1443613.260000000009313,10169808.539999999105930
20170406,1479869.979999999748543,1454560.320000000065193,1450323.960000000195578,1450978.480000000214204,1413706.780000000027940,1460675.930000000167638,1452008.940000000176951,10162127.390000000596046
20170407,1476573.659999999916181,1448513.300000000046566,1448284.620000000111759,1448860.360000000335276,1411018.569999999832362,1490735.960000000195578,1447636.190000000176951,10171625.660000000149012
20170410,1474822.489999999757856,1446583.400000000139698,1451003.739999999990687,1449083.320000000065193,1415129.949999999720603,1494007.800000000046566,1454107.859999999869615,10184741.560000000521541
20170411,1458958.949999999720603,1454817.639999999897555,1449984.070000000065193,1462683.880000000121072,1420031.979999999748543,1501573.930000000167638,1449035.469999999972060,10197088.919999999925494
20170412,1460710.119999999878928,1454431.660000000149012,1459500.989999999990687,1463352.760000000242144,1428096.609999999869615,1501778.420000000158325,1451309.300000000046566,10219182.860000001266599
20170413,1452984.369999999878928,1456490.219999999972060,1454402.640000000130385,1457778.760000000242144,1423668.969999999972060,1495848.210000000195578,1428920.820000000065193,10170096.990000000223517
20170417,1461019.149999999906868,1463952.500000000000000,1463919.560000000055879,1464356.080000000307336,1429361.649999999906868,1502800.870000000111759,1426996.810000000055879,10212409.619999999180436
20170418,1454529.519999999785796,1469227.560000000055879,1477855.050000000046566,1474946.680000000400469,1435844.979999999748543,1510980.470000000204891,1417726.580000000074506,10241113.839999999850988
20170419,1449173.000000000000000,1463309.199999999953434,1469357.800000000046566,1478737.000000000000000,1416869.379999999655411,1514661.290000000037253,1407931.619999999878928,10200042.289999999105930
20170420,1467302.759999999776483,1476947.160000000149012,1464599.340000000083819,1485760.240000000456348,1412599.869999999878928,1529589.060000000055879,1417026.940000000176951,10253828.369999999180436
20170421,1465551.589999999850988,1472444.060000000055879,1463919.560000000055879,1487320.960000000195578,1401372.639999999897555,1532451.920000000158325,1411429.820000000065193,10234493.550000000745058
20170424,1479663.959999999729916,1462923.219999999972060,1471057.250000000000000,1496462.320000000065193,1416078.729999999748543,1529180.080000000074506,1418776.040000000037253,10274144.599999997764826
20170425,1488831.849999999860302,1481964.900000000139698,1465279.120000000111759,1579737.880000000121072,1423194.579999999841675,1534701.310000000055879,1429620.460000000195578,10403333.100000001490116
20170426,1480076.000000000000000,1487111.300000000046566,1469697.690000000176951,1570150.600000000325963,1387457.199999999720603,1542471.930000000167638,1423848.430000000167638,10360816.150000000372529
20170427,1481209.109999999636784,1490456.459999999962747,1461880.219999999972060,1570485.040000000270084,1386666.549999999813735,1542676.420000000158325,1421399.690000000176951,10354776.489999998360872
20170428,1479766.969999999972060,1487368.619999999878928,1466638.679999999934807,1560005.920000000391155,1380973.869999999878928,1537359.680000000167638,1428221.180000000167638,10340337.919999999925494
20170501,1509948.899999999906868,1476175.199999999953434,1469017.910000000149012,1573606.480000000214204,1377178.750000000000000,1538382.130000000121072,1435392.489999999990687,10379704.860000001266599
