訓練日期,20111018 - 20120120
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12160444.599999999627471
真實報酬,2160444.599999999627471

夏普值報酬,0.207344460000000
夏普值風險,0.053299446956373
夏普值,3.890180327193944

預期報酬,32977.238889659958659
風險,167204.583113545173546
趨勢值,0.197226883830486
找到最佳解世代,1549
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,144300,56395,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.000000000000000,19.299999999813735,
20111018,5187590.000000000000000,5055267.099999999627471,10242857.099999999627471
20111019,5108225.000000000000000,5054139.200000000186265,10162364.199999999254942
20111020,5155844.000000000000000,5019738.250000000000000,10175582.250000000000000
20111021,5318903.000000000000000,5206405.699999999254942,10525308.699999999254942
20111024,5295815.000000000000000,5188923.250000000000000,10484738.250000000000000
20111025,5200577.000000000000000,5175388.449999999254942,10375965.449999999254942
20111026,5274170.000000000000000,5175952.399999999441206,10450122.399999998509884
20111027,5392496.000000000000000,5273515.750000000000000,10666011.750000000000000
20111028,5212121.000000000000000,5261108.850000000558794,10473229.850000001490116
20111031,5165945.000000000000000,5236295.049999999813735,10402240.050000000745058
20111101,5128427.000000000000000,5183283.750000000000000,10311710.750000000000000
20111102,5193362.000000000000000,5218248.649999999441206,10411610.649999998509884
20111103,5259740.000000000000000,5244754.299999999813735,10504494.300000000745058
20111104,5251082.000000000000000,5290434.250000000000000,10541516.250000000000000
20111107,5388167.000000000931323,5336114.200000000186265,10724281.200000001117587
20111108,5474747.000000000000000,5334986.299999999813735,10809733.300000000745058
20111109,5362192.999999999068677,5225016.049999999813735,10587209.049999998882413
20111110,5367965.000000000000000,5259417.000000000000000,10627382.000000000000000
20111111,5492063.000000000000000,5344009.500000000000000,10836072.500000000000000
20111114,5519480.000000000000000,5304533.000000000000000,10824013.000000000000000
20111115,5493506.000000000000000,5327654.950000000186265,10821160.949999999254942
20111116,5460317.000000000931323,5253213.549999999813735,10713530.550000000745058
20111117,5428571.000000000000000,5204713.850000000558794,10633284.850000001490116
20111118,5466089.000000000000000,5230091.599999999627471,10696180.599999999627471
20111121,5347763.000000000000000,5204149.899999999441206,10551912.899999998509884
20111122,5353535.000000000000000,5225016.049999999813735,10578551.050000000745058
20111123,5269841.000000000000000,5181027.950000000186265,10450868.949999999254942
20111125,5262626.000000000000000,5193998.799999999813735,10456624.800000000745058
20111128,5382395.000000000000000,5287614.500000000000000,10670009.500000000000000
20111129,5621933.000000000000000,5270695.999999999068677,10892629.000000000000000
20111130,5659451.000000000000000,5386869.699999999254942,11046320.699999999254942
20111201,5676767.000000000931323,5385741.799999999813735,11062508.800000000745058
20111202,5763347.000000000000000,5397020.799999999813735,11160367.800000000745058
20111205,5805194.000000000000000,5377282.549999999813735,11182476.550000000745058
20111206,5818181.000000000000000,5414503.250000000000000,11232684.250000000000000
20111207,5877344.000000000000000,5439317.049999999813735,11316661.050000000745058
20111208,5759017.999999999068677,5465822.700000000186265,11224840.699999999254942
20111209,5805194.000000000000000,5528421.149999999441206,11333615.149999998509884
20111212,5779220.000000000000000,5553798.900000000372529,11333018.900000000372529
20111213,5701298.000000000000000,5526729.299999999813735,11228027.300000000745058
20111214,5647907.000000000000000,5504735.250000000000000,11152642.250000000000000
20111215,5688311.000000000000000,5534624.599999999627471,11222935.599999999627471
20111216,5832611.000000000000000,5497967.849999999627471,11330578.849999999627471
20111219,5800865.000000000000000,5483869.099999999627471,11284734.099999999627471
20111220,6053390.000000000000000,5572973.199999999254942,11626363.199999999254942
20111221,6060605.000000000000000,5594403.299999999813735,11655008.300000000745058
20111222,6049061.000000000000000,5560566.299999999813735,11609627.300000000745058
20111223,6073592.000000000931323,5647978.549999999813735,11721570.550000000745058
20111227,6092351.000000000000000,5670536.549999999813735,11762887.550000000745058
20111228,5992784.000000000000000,5615833.399999999441206,11608617.399999998509884
20111229,6062048.000000000000000,5685199.250000000000000,11747247.250000000000000
20111230,6066377.000000000000000,5658129.649999999441206,11724506.649999998509884
20120103,6080807.000000000000000,5574101.099999999627471,11654908.099999999627471
20120104,6167387.000000000000000,5605118.349999999627471,11772505.349999999627471
20120105,6217892.000000000931323,5629932.149999999441206,11847824.150000000372529
20120106,6233765.000000000000000,5673356.299999999813735,11907121.300000000745058
20120109,6238094.000000000000000,5619217.099999999627471,11857311.099999999627471
20120110,6281384.000000000000000,5622600.799999999813735,11903984.800000000745058
20120111,6271283.000000000000000,5635571.650000000372529,11906854.650000000372529
20120112,6261182.000000000000000,5671664.449999999254942,11932846.449999999254942
20120113,6278498.000000000000000,5659257.549999999813735,11937755.550000000745058
20120117,6311687.000000000000000,5670536.549999999813735,11982223.550000000745058
20120118,6476189.000000000000000,5727495.500000000000000,12203684.500000000000000
20120119,6552667.999999999068677,5710577.000000000000000,12263245.000000000000000
20120120,6422798.000000000000000,5737646.599999999627471,12160444.599999999627471
