訓練日期,20170608 - 20170908
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10794644.160000000149012
真實報酬,794644.160000000149012

夏普值報酬,0.070764416000000
夏普值風險,0.022838613829371
夏普值,3.098454946902052

預期報酬,12956.486365344577280
風險,45934.878182989166817
趨勢值,0.282062059982619
找到最佳解世代,2128
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](5),CAT[3](1),MCD[15](4),PFE[20](8),UNH[23](3),V[25](7),
Stock#,AXP[1](5),CAT[3](1),MCD[15](4),PFE[20](8),UNH[23](3),V[25](7),
張數,20882,16101,10969,52083,9097,17344,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,73.579999999841675,51.489999999990687,36.140000000130385,10.000000000000000,4.629999999888241,81.040000000037253,
20170608,1669589.479999999981374,1690817.500000000000000,1661071.810000000288710,1653645.250000000000000,1652838.559999999823049,1666666.000000000000000,9994632.599999999627471
20170609,1677107.000000000000000,1705469.409999999916181,1661620.260000000009313,1706769.910000000149012,1650746.250000000000000,1640129.680000000167638,10041846.509999999776483
20170612,1674183.519999999785796,1707884.559999999823049,1628603.570000000065193,1703124.100000000093132,1630641.879999999888241,1621745.040000000037253,9966186.669999999925494
20170613,1682953.959999999962747,1702732.239999999990687,1643411.719999999972060,1696874.139999999897555,1647016.479999999981374,1649148.560000000055879,10022141.099999999627471
20170614,1688174.459999999962747,1685987.199999999953434,1652845.060000000288710,1702603.269999999785796,1658933.550000000046566,1653311.119999999878928,10041858.660000000149012
20170615,1685250.979999999981374,1713197.890000000130385,1658219.869999999878928,1708853.230000000214204,1640921.489999999757856,1633365.520000000018626,10039812.980000000447035
20170616,1700912.479999999981374,1732519.089999999850988,1667214.450000000186265,1717186.510000000009313,1652292.739999999757856,1633365.520000000018626,10103494.789999999105930
20170619,1709891.739999999757856,1730747.979999999981374,1679828.800000000046566,1730207.260000000009313,1664937.570000000065193,1644118.800000000046566,10159736.150000000372529
20170620,1723047.399999999906868,1723502.530000000027940,1690029.969999999972060,1747915.480000000214204,1667211.820000000065193,1637007.760000000009313,10188718.959999999031425
20170621,1716782.799999999813735,1666021.959999999962747,1686300.510000000009313,1764582.040000000037253,1682221.869999999878928,1639782.800000000046566,10155695.980000000447035
20170622,1717618.079999999841675,1671979.330000000074506,1698037.340000000316650,1773956.980000000214204,1696595.129999999888241,1629549.840000000083819,10187740.699999999254942
20170623,1716991.619999999878928,1676326.600000000093132,1696282.300000000046566,1779686.110000000102445,1685223.879999999888241,1657820.560000000055879,10212335.070000000298023
20170626,1732444.299999999813735,1678580.739999999990687,1688823.380000000121072,1772915.320000000065193,1684041.270000000018626,1651576.719999999972060,10208385.730000000447035
20170627,1734950.139999999897555,1673428.420000000158325,1686190.820000000065193,1758852.910000000149012,1679310.829999999841675,1646026.640000000130385,10178763.759999999776483
20170628,1753535.119999999878928,1714002.939999999944121,1692552.840000000316650,1757811.250000000000000,1689317.529999999795109,1669094.160000000149012,10276317.839999999850988
20170629,1746435.239999999757856,1700961.129999999888241,1679719.110000000102445,1751561.290000000037253,1685405.820000000065193,1637701.520000000018626,10201788.109999999403954
20170630,1759173.259999999776483,1730264.949999999953434,1680048.180000000167638,1749477.970000000204891,1686770.369999999878928,1626601.360000000102445,10232340.089999999850988
20170703,1777131.779999999795109,1722375.459999999962747,1672808.640000000130385,1761457.060000000055879,1697959.679999999934807,1619143.439999999944121,10250880.059999998658895
20170705,1772746.559999999823049,1730747.979999999981374,1679060.969999999972060,1752082.120000000111759,1712514.879999999888241,1630590.480000000214204,10277746.990000000223517
20170706,1748732.259999999776483,1714969.000000000000000,1679280.350000000093132,1730207.260000000009313,1700597.809999999823049,1617409.040000000037253,10191199.719999998807907
20170707,1761052.639999999897555,1721570.409999999916181,1714161.770000000251457,1736978.050000000046566,1709876.750000000000000,1629029.520000000018626,10272673.140000000596046
20170710,1760426.179999999701977,1736383.330000000074506,1705935.020000000251457,1740103.029999999795109,1700688.779999999795109,1649322.000000000000000,10292862.339999999850988
20170711,1757502.699999999720603,1742823.729999999981374,1699243.930000000167638,1727603.110000000102445,1691591.779999999795109,1654872.080000000074506,10273641.330000000074506
20170712,1771284.819999999599531,1754416.449999999953434,1717562.160000000381842,1730207.260000000009313,1698323.559999999823049,1668226.960000000195578,10340025.210000000894070
20170713,1782769.919999999925494,1746526.959999999962747,1700669.900000000139698,1733332.239999999990687,1687316.189999999711290,1664064.399999999906868,10314683.610000001266599
20170714,1780890.539999999804422,1751357.260000000009313,1703302.460000000195578,1741144.689999999944121,1700233.929999999934807,1681234.960000000195578,10358167.839999999850988
20170717,1779637.619999999878928,1752484.330000000074506,1703083.080000000074506,1731769.750000000000000,1695230.579999999841675,1679500.560000000055879,10341709.919999999925494
20170718,1785902.219999999739230,1723985.559999999823049,1688823.380000000121072,1737498.879999999888241,1699779.079999999841675,1692508.560000000055879,10328501.679999999701977
20170719,1794463.840000000083819,1736544.339999999850988,1688055.550000000046566,1751040.459999999962747,1721066.059999999823049,1704129.040000000037253,10395303.289999999105930
20170720,1782352.279999999795109,1728010.809999999823049,1691565.630000000121072,1746873.820000000065193,1742080.129999999888241,1701700.880000000121072,10392587.550000000745058
20170721,1787363.959999999962747,1716257.080000000074506,1688384.619999999878928,1743748.839999999850988,1744627.289999999804422,1727543.439999999944121,10407929.229999998584390
20170724,1775043.579999999841675,1741857.670000000158325,1665678.790000000037253,1735415.560000000055879,1736530.959999999729916,1740898.320000000065193,10395428.879999998956919
