訓練日期,20110808 - 20111107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11332232.460000000894070
真實報酬,1332232.460000000894070

夏普值報酬,0.124523246000000
夏普值風險,0.041313793572647
夏普值,3.014084043892888

預期報酬,20088.679400523142249
風險,207090.639321004593512
趨勢值,0.097004285014468
找到最佳解世代,2469
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](2),HD[9](1),PG[21](3),VZ[26](5),
Stock#,CSCO[4](2),HD[9](1),PG[21](3),VZ[26](5),
張數,167336,81327,41260,71326,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.160000000149012,8.020000000018626,56.599999999627471,23.700000000186265,
20110808,2332664.000000000000000,2352798.129999999888241,2446361.999999999534339,2362340.819999999832362,9494164.949999999254942
20110809,2352744.320000000298023,2452017.069999999832362,2484733.799999999348074,2445792.240000000223517,9735287.429999999701977
20110810,2297523.440000000409782,2318640.790000000037253,2414179.199999999720603,2400856.859999999869615,9431200.289999999105930
20110811,2663989.280000000260770,2443884.370000000111759,2494223.599999999627471,2469329.819999999832362,10071427.070000000298023
20110812,2675702.800000000279397,2486987.679999999701977,2522692.999999999534339,2446505.500000000000000,10131888.980000000447035
20110815,2682396.240000000223517,2558555.439999999944121,2553225.399999999906868,2500000.000000000000000,10294177.080000000074506
20110816,2677376.160000000149012,2693558.259999999776483,2542497.799999999348074,2487874.580000000540167,10401306.799999998882413
20110817,2652275.760000000242144,2717143.089999999850988,2544560.799999999813735,2539942.560000000055879,10453922.209999999031425
20110818,2511713.520000000018626,2615484.339999999850988,2511140.199999999720603,2501426.520000000018626,10139764.579999998211861
20110819,2523427.040000000037253,2592712.779999999795109,2515266.199999999720603,2475749.160000000149012,10107155.179999999701977
20110822,2511713.520000000018626,2625243.580000000074506,2546211.199999999720603,2483595.020000000018626,10166763.319999998435378
20110823,2583668.000000000000000,2692744.989999999757856,2600261.799999999813735,2564906.660000000149012,10441581.449999999254942
20110824,2587014.720000000204891,2795217.009999999776483,2612227.199999999720603,2601282.919999999925494,10595741.849999999627471
20110825,2523427.040000000037253,2752113.700000000186265,2580044.399999999906868,2551354.720000000204891,10406939.860000001266599
20110826,2563587.680000000167638,2765126.020000000018626,2581694.799999999813735,2550641.459999999962747,10461049.960000000894070
20110829,2633868.800000000279397,2764312.750000000000000,2603150.000000000000000,2577745.340000000316650,10579076.890000000596046
20110830,2615461.840000000316650,2730155.410000000149012,2620066.599999999627471,2589870.760000000242144,10555554.609999999403954
20110831,2622155.280000000260770,2714703.280000000260770,2627493.399999999441206,2579885.120000000111759,10544237.080000000074506
20110901,2647255.680000000167638,2678106.129999999888241,2610164.199999999720603,2559200.580000000540167,10494726.589999999850988
20110902,2578647.920000000391155,2617110.879999999888241,2580869.599999999627471,2536376.260000000242144,10313004.660000000149012
20110906,2556894.240000000223517,2606538.369999999646097,2573855.399999999906868,2512125.419999999925494,10249413.429999999701977
20110907,2657295.840000000316650,2673226.509999999776483,2587883.799999999348074,2540655.819999999832362,10459061.969999998807907
20110908,2725903.600000000093132,2639882.439999999944121,2595723.199999999254942,2523537.580000000540167,10485046.820000000298023
20110909,2647255.680000000167638,2591899.510000000242144,2551575.000000000000000,2513551.940000000409782,10304282.130000000819564
20110912,2692436.399999999906868,2630936.470000000204891,2551162.399999999441206,2514265.200000000186265,10388800.469999998807907
20110913,2735943.760000000242144,2656147.839999999850988,2555700.999999999534339,2532096.700000000186265,10479889.300000000745058
20110914,2732597.040000000037253,2727715.600000000093132,2572205.000000000000000,2539229.300000000279397,10571746.940000001341105
20110915,2789491.280000000260770,2787897.580000000074506,2590359.399999999906868,2581311.640000000130385,10749059.900000000372529
20110916,2781124.480000000447035,2814735.489999999757856,2654312.399999999441206,2619114.419999999925494,10869286.789999999105930
20110919,2762717.520000000484288,2793590.470000000204891,2632857.199999999720603,2587730.980000000447035,10776896.169999999925494
20110920,2766064.240000000223517,2831000.890000000130385,2643997.399999999441206,2597003.359999999869615,10838065.890000000596046
20110921,2650602.399999999906868,2752113.700000000186265,2600261.799999999813735,2556347.540000000502914,10559325.439999999478459
20110922,2565261.040000000037253,2687865.369999999646097,2523930.799999999813735,2538516.040000000502914,10315573.250000000000000
20110923,2612115.120000000111759,2742354.459999999962747,2527231.599999999627471,2559200.580000000540167,10440901.759999999776483
20110926,2675702.800000000279397,2765126.020000000018626,2580456.999999999534339,2593437.060000000055879,10614722.880000000819564
20110927,2689089.680000000167638,2755366.780000000260770,2610164.199999999720603,2631239.840000000316650,10685860.500000000000000
20110928,2650602.399999999906868,2732595.220000000204891,2588296.399999999441206,2627673.540000000502914,10599167.560000000521541
20110929,2652275.760000000242144,2748047.350000000093132,2628318.599999999627471,2649784.600000000093132,10678426.310000000521541
20110930,2593708.160000000149012,2673226.509999999776483,2606863.399999999441206,2624820.500000000000000,10498618.570000000298023
20111003,2541834.000000000000000,2569127.950000000186265,2592835.000000000000000,2592010.540000000502914,10295807.490000000223517
20111004,2607095.040000000037253,2640695.709999999962747,2614702.799999999348074,2596290.100000000093132,10458783.649999998509884
20111005,2704149.920000000391155,2669973.429999999701977,2613465.000000000000000,2551354.720000000204891,10538943.070000000298023
20111006,2802878.160000000149012,2714703.280000000260770,2624605.199999999720603,2561340.359999999869615,10703527.000000000000000
20111007,2787817.920000000391155,2758619.860000000335276,2636983.199999999254942,2579171.859999999869615,10762592.839999999850988
20111010,2859772.399999999906868,2818801.839999999850988,2673704.599999999627471,2631953.100000000093132,10984231.939999999478459
20111011,2843038.799999999813735,2822868.189999999944121,2664214.799999999348074,2603422.700000000186265,10933544.489999998360872
20111012,2886546.160000000149012,2823681.459999999962747,2677417.999999999534339,2615548.120000000111759,11003193.739999998360872
20111013,2914993.280000000260770,2798470.089999999850988,2667515.600000000093132,2640512.220000000204891,11021491.190000001341105
20111014,2936746.960000000428408,2850519.369999999646097,2677417.999999999534339,2662623.280000000260770,11127307.609999999403954
20111017,2873159.280000000260770,2817988.569999999832362,2651424.199999999720603,2634806.140000000130385,10977378.189999999478459
20111018,2930053.520000000484288,2923713.670000000391155,2678655.799999999813735,2656203.940000000409782,11188626.930000003427267
20111019,2871485.920000000391155,2878983.819999999832362,2671641.599999999627471,2642652.000000000000000,11064763.339999999850988
20111020,2876506.000000000465661,2905821.729999999981374,2685670.000000000000000,2646218.300000000279397,11114216.030000001192093
20111021,2908299.839999999850988,2997721.239999999757856,2733944.199999999720603,2669042.620000000111759,11309007.899999998509884
20111024,2935073.600000000093132,2984708.920000000391155,2697222.799999999813735,2634092.880000000353903,11251098.200000001117587
20111025,2948460.480000000447035,2931033.100000000093132,2661739.199999999720603,2581311.640000000130385,11122544.419999999925494
20111026,2946787.120000000111759,2972509.869999999646097,2679893.599999999627471,2625533.760000000242144,11224724.349999999627471
20111027,3085676.000000000465661,3039198.009999999776483,2686907.799999999813735,2686160.859999999869615,11497942.669999998062849
20111028,3105756.319999999832362,2937539.259999999776483,2670816.399999999906868,2684021.080000000540167,11398133.060000000521541
20111031,3100736.240000000223517,2911514.619999999646097,2640283.999999999534339,2637659.180000000167638,11290194.039999999105930
20111101,2943440.399999999906868,2890369.600000000093132,2587471.199999999720603,2601282.919999999925494,11022564.119999999180436
20111102,2986947.760000000242144,2926966.750000000000000,2593660.199999999720603,2624820.500000000000000,11132395.209999999031425
20111103,3042168.640000000130385,2964377.170000000391155,2608101.199999999720603,2671182.400000000372529,11285829.410000000149012
20111104,3017068.240000000223517,2959497.550000000279397,2600674.399999999906868,2651211.120000000111759,11228451.310000002384186
20111107,3013721.520000000484288,3036758.200000000186265,2618416.199999999720603,2663336.540000000502914,11332232.460000000894070
