訓練日期,20131008 - 20140109
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11108211.190000001341105
真實報酬,1108211.190000001341105

夏普值報酬,0.102121119000000
夏普值風險,0.035330651240772
夏普值,2.890439757367140

預期報酬,20317.669500026695459
風險,71771.230036163120531
趨勢值,0.283089331056320
找到最佳解世代,3735
找到最佳解實驗#,4
找到最佳解次數,28

stock[index](rank)
投資組合檔數,5
AAPL[0](11),GS[8](2),INTC[11](12),MRK[17](27),XOM[29](1),
Stock#,AAPL[0](11),GS[8](2),INTC[11](12),MRK[17](27),XOM[29](1),
張數,28702,12965,87604,41762,23282,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,44.639999999897555,148.750000000000000,0.680000000167638,17.820000000065193,76.199999999953434,
20131008,1972159.059999999823049,1984442.000000000232831,1969338.600000000093132,1994153.320000000065193,1990920.020000000018626,9911013.000000000000000
20131009,1995120.660000000149012,2002463.349999999860302,1978975.040000000270084,1974107.560000000288710,1982771.319999999832362,9933437.929999999701977
20131010,2007749.540000000037253,2048748.399999999906868,2023653.080000000307336,1983295.200000000186265,2003259.480000000214204,10066705.700000001117587
20131011,2020665.440000000176951,2074548.750000000000000,2037669.720000000204891,1974942.800000000046566,2024446.100000000093132,10132272.810000000521541
20131014,2033868.359999999869615,2067547.650000000139698,2054314.480000000214204,1952391.320000000065193,2039579.399999999906868,10147701.210000000894070
20131015,2044775.119999999646097,2043821.699999999953434,2049058.240000000223517,1944874.160000000149012,2020720.980000000214204,10103250.199999999254942
20131016,2054820.820000000065193,2103720.000000000000000,2076215.480000000214204,1969931.360000000102445,2032827.620000000111759,10237515.280000001192093
20131017,2068597.779999999795109,2052767.549999999813735,2095488.360000000335276,1967425.640000000130385,2036785.560000000055879,10221064.890000000596046
20131018,2086680.040000000037253,2057564.599999999860302,2091984.200000000186265,1946544.640000000130385,2038415.299999999813735,10221188.780000001192093
20131021,2137769.599999999627471,2071566.800000000046566,2114761.240000000223517,1942368.439999999944121,2030965.060000000055879,10297431.140000000596046
20131022,2131742.179999999701977,2064825.000000000000000,2108628.959999999962747,1940697.959999999962747,2048426.560000000055879,10294320.660000000149012
20131023,2152407.620000000111759,2045247.850000000093132,2079719.640000000130385,1944456.540000000270084,2039812.219999999972060,10261643.870000001043081
20131024,2181109.620000000111759,2074030.150000000139698,2083223.800000000279397,1930257.459999999962747,2058670.639999999897555,10327291.669999999925494
20131025,2156712.919999999925494,2101645.600000000093132,2123521.640000000130385,1943621.300000000046566,2048193.739999999990687,10373695.199999999254942
20131028,2172786.040000000037253,2093347.999999999767169,2134034.120000000111759,1893924.520000000018626,2054247.060000000055879,10348339.740000000223517
20131029,2118539.259999999776483,2101904.900000000372529,2148050.760000000242144,1903529.780000000027940,2070544.460000000195578,10342569.160000000149012
20131030,2152407.620000000111759,2101127.000000000000000,2146298.680000000167638,1889330.700000000186265,2067750.620000000111759,10356914.620000001043081
20131031,2143222.979999999515712,2085698.650000000139698,2143670.560000000055879,1883066.400000000139698,2086609.040000000037253,10342267.629999998956919
20131101,2132316.219999999739230,2101127.000000000000000,2131406.000000000000000,1888913.079999999841675,2091265.439999999711290,10345027.740000000223517
20131104,2159870.139999999664724,2115518.149999999906868,2125273.720000000204891,1909376.459999999962747,2144348.399999999441206,10454386.869999999180436
20131105,2154416.759999999776483,2099830.500000000000000,2105124.800000000279397,1894342.140000000130385,2141787.379999999888241,10395501.580000001937151
20131106,2136047.479999999515712,2120185.550000000279397,2124397.680000000167638,1919399.340000000083819,2170424.240000000223517,10470454.289999999105930
20131107,2101318.059999999590218,2069881.349999999860302,2107752.919999999925494,1913552.660000000149012,2141088.919999999925494,10333593.910000000149012
20131108,2134612.379999999888241,2115647.799999999813735,2110381.040000000037253,1954479.419999999925494,2159016.059999999590218,10474136.699999999254942
20131111,2128297.940000000409782,2124334.350000000093132,2117389.360000000335276,1962831.820000000065193,2164370.919999999925494,10497224.390000000596046
20131112,2132316.219999999739230,2112017.599999999627471,2140166.400000000372529,1987471.400000000139698,2157619.139999999664724,10529590.759999999776483
20131113,2134899.399999999441206,2112665.850000000093132,2155059.080000000074506,1977030.900000000139698,2155756.580000000074506,10535411.810000000521541
20131114,2165610.540000000037253,2116036.750000000000000,2136662.240000000223517,1997076.660000000149012,2170424.240000000223517,10585810.430000001564622
20131115,2152694.639999999664724,2131594.750000000000000,2148050.760000000242144,2007517.160000000149012,2218152.339999999850988,10658009.650000000372529
20131118,2126575.820000000298023,2148189.950000000186265,2155059.080000000074506,2005011.439999999944121,2222343.099999999627471,10657179.390000000596046
20131119,2130307.080000000074506,2160117.750000000000000,2163819.479999999981374,2007517.160000000149012,2221644.639999999664724,10683406.109999999403954
20131120,2111650.779999999329448,2139373.750000000000000,2151554.919999999925494,2010022.880000000121072,2204415.959999999962747,10617018.289999999105930
20131121,2136908.540000000037253,2166211.299999999813735,2210249.600000000093132,2030486.260000000009313,2204648.780000000260770,10748504.480000000447035
20131122,2131455.160000000149012,2179565.250000000000000,2091108.160000000149012,2043850.099999999860302,2212099.020000000484288,10658077.690000001341105
20131125,2147528.279999999329448,2197456.949999999720603,2080595.680000000167638,2073918.739999999990687,2213961.580000000074506,10713461.229999998584390
20131126,2187137.040000000037253,2178787.350000000093132,2071835.280000000027940,2070577.780000000027940,2194870.339999999850988,10703207.790000000968575
20131127,2238513.620000000111759,2181121.049999999813735,2093736.280000000027940,2081018.280000000027940,2183927.799999999813735,10778317.030000001192093
20131129,2280131.519999999552965,2190455.850000000093132,2088480.040000000270084,2081018.280000000027940,2176477.559999999590218,10816563.250000000000000
20131202,2260327.139999999664724,2200568.549999999813735,2076215.480000000214204,2095634.979999999981374,2177408.839999999850988,10810154.990000000223517
20131203,2322036.440000000409782,2178917.000000000000000,2063074.880000000121072,2078094.939999999944121,2197664.179999999701977,10839787.439999999478459
20131204,2316583.059999999590218,2187344.250000000000000,2079719.640000000130385,2059302.040000000270084,2204183.139999999664724,10847132.129999998956919
20131205,2328637.899999999441206,2146634.149999999906868,2125273.720000000204891,2038421.040000000270084,2191610.859999999403954,10830577.669999999925494
20131206,2296204.639999999664724,2168026.399999999906868,2174331.959999999962747,2062643.000000000000000,2226999.500000000000000,10928205.500000000000000
20131209,2322610.479999999515712,2173990.299999999813735,2183968.400000000372529,2069742.540000000270084,2231423.080000000074506,10981734.800000000745058
20131210,2318879.219999999739230,2200698.199999999720603,2174331.959999999962747,2064313.479999999981374,2228396.419999999925494,10986619.279999999329448
20131211,2301658.019999999552965,2173082.750000000000000,2139290.360000000335276,2044267.720000000204891,2194637.520000000484288,10852936.370000001043081
20131212,2298500.799999999813735,2182547.200000000186265,2143670.560000000055879,2017957.660000000149012,2220247.719999999739230,10862923.940000001341105
20131213,2273243.040000000037253,2183325.099999999627471,2127901.840000000316650,2020463.380000000121072,2219083.620000000111759,10824016.980000000447035
20131216,2285871.919999999925494,2216515.500000000000000,2141918.479999999981374,2008352.400000000139698,2263552.240000000223517,10916210.540000000968575
20131217,2275539.200000000186265,2210551.600000000093132,2160315.320000000298023,2000417.620000000111759,2252609.700000000186265,10899433.440000001341105
20131218,2258318.000000000000000,2266949.350000000093132,2203241.280000000260770,2042179.620000000111759,2317566.480000000447035,11088254.730000000447035
20131219,2232486.200000000186265,2266041.800000000279397,2202365.240000000223517,2037585.800000000046566,2315005.459999999962747,11053484.500000000000000
20131220,2251142.500000000000000,2271098.149999999906868,2195356.919999999925494,2059719.660000000149012,2297543.959999999962747,11074861.190000001341105
20131223,2337535.519999999552965,2288082.299999999813735,2218133.959999999962747,2061390.140000000130385,2293586.020000000484288,11198727.940000001341105
20131224,2327776.839999999850988,2284063.149999999906868,2227770.400000000372529,2063478.239999999990687,2310116.240000000223517,11213204.870000001043081
20131226,2312277.759999999776483,2287823.000000000000000,2251423.479999999981374,2076424.459999999962747,2349230.000000000000000,11277178.699999999254942
20131227,2296491.660000000149012,2286526.500000000000000,2242663.080000000074506,2079347.800000000046566,2363432.020000000484288,11268461.060000002384186
20131230,2273817.080000000074506,2278488.199999999720603,2264564.080000000074506,2085612.099999999860302,2335493.620000000111759,11237975.079999998211861
20131231,2300509.940000000409782,2298324.649999999906868,2274200.520000000018626,2090205.919999999925494,2356214.599999999627471,11319455.629999998956919
20140102,2268076.679999999701977,2293527.599999999627471,2259307.840000000316650,2066819.200000000186265,2322455.700000000186265,11210187.019999999552965
20140103,2218135.200000000186265,2309863.500000000000000,2258431.800000000279397,2076842.079999999841675,2316868.020000000484288,11180140.600000001490116
20140106,2230190.040000000037253,2325680.800000000279397,2230398.520000000018626,2077259.700000000186265,2320360.320000000298023,11183889.379999998956919
20140107,2214403.940000000409782,2311678.600000000093132,2241787.040000000037253,2092711.640000000130385,2353187.939999999478459,11213769.160000000149012
20140108,2228467.919999999925494,2313623.350000000093132,2227770.400000000372529,2079347.800000000046566,2345504.879999999888241,11194714.350000001490116
20140109,2200052.940000000409782,2300139.750000000000000,2217257.919999999925494,2068072.060000000288710,2322688.520000000484288,11108211.190000001341105
