訓練日期,20120118 - 20120419
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11720011.490000000223517
真實報酬,1720011.490000000223517

夏普值報酬,0.163301149000000
夏普值風險,0.053986729055087
夏普值,3.024838730892017

預期報酬,31243.726414562541322
風險,113446.504249002231518
趨勢值,0.275404928705305
找到最佳解世代,2068
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),HD[9](1),INTC[11](9),KO[14](6),UNH[23](16),
Stock#,AAPL[0](2),HD[9](1),INTC[11](9),KO[14](6),UNH[23](16),
張數,32965,45724,79872,59400,37334,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.449999999953434,32.239999999990687,5.120000000111759,2.000000000000000,17.619999999878928,
20120118,2020767.949999999953434,2052125.360000000102445,2027955.200000000186265,2007721.999999999767169,2013813.579999999841675,10122384.089999999850988
20120119,2014504.599999999860302,2076359.079999999841675,2047124.479999999981374,2003563.999999999767169,1953332.500000000000000,10094884.660000000149012
20120120,1979232.049999999813735,2035207.479999999981374,2107028.479999999981374,2022571.999999999767169,1951465.800000000046566,10095505.810000000521541
20120123,2012856.350000000093132,2052125.360000000102445,2133386.240000000223517,2035640.000000000232831,1957439.239999999757856,10191447.189999999478459
20120124,1979891.350000000093132,2055783.280000000027940,2148561.919999999925494,2016632.000000000232831,1916371.839999999850988,10117240.390000000596046
20120125,2103510.099999999627471,2069500.479999999981374,2148561.919999999925494,2032670.000000000000000,1925332.000000000000000,10279574.500000000000000
20120126,2093950.250000000000000,2055326.040000000037253,2136581.120000000111759,2020195.999999999767169,1879784.520000000018626,10185837.929999999701977
20120127,2106476.950000000186265,2051668.119999999878928,2134983.680000000167638,2002970.000000000000000,1904798.300000000046566,10200897.050000000745058
20120130,2133508.250000000000000,2047095.720000000204891,2135782.399999999906868,2003563.999999999767169,1906665.000000000000000,10226615.370000001043081
20120131,2149661.099999999627471,2029720.600000000093132,2110223.360000000335276,2005940.000000000232831,1933545.479999999748543,10229090.540000000968575
20120201,2148342.500000000000000,2033378.520000000018626,2120606.720000000204891,2014850.000000000000000,1988426.459999999729916,10305604.199999999254942
20120202,2143397.750000000000000,2032921.280000000027940,2115814.399999999906868,2014850.000000000000000,1961545.979999999748543,10268529.410000000149012
20120203,2164825.000000000000000,2065385.320000000065193,2135782.399999999906868,2021978.000000000000000,1915625.159999999916181,10303595.880000000819564
20120206,2184933.650000000372529,2066757.040000000037253,2134184.959999999962747,2020790.000000000232831,1914878.479999999748543,10321544.130000000819564
20120207,2208009.150000000372529,2078645.280000000027940,2127795.200000000186265,2036234.000000000000000,1942505.639999999897555,10393189.270000001415610
20120208,2244929.950000000186265,2065385.320000000065193,2144568.320000000298023,2029700.000000000000000,1946612.379999999888241,10431195.969999998807907
20120209,2322397.700000000186265,2069957.720000000204891,2145367.040000000037253,2019008.000000000232831,1980959.659999999916181,10537690.120000001043081
20120210,2323716.299999999813735,2072701.159999999916181,2132587.520000000018626,2017820.000000000000000,1990666.500000000000000,10537491.480000000447035
20120213,2366900.450000000186265,2100135.559999999590218,2132587.520000000018626,2032670.000000000000000,2010453.520000000018626,10642747.049999998882413
20120214,2399206.150000000372529,2106079.679999999701977,2138977.280000000260770,2046332.000000000232831,2033227.260000000009313,10723822.370000001043081
20120215,2343824.950000000186265,2090076.280000000027940,2123002.879999999888241,2031482.000000000232831,2039200.699999999720603,10627586.810000000521541
20120216,2364922.549999999813735,2100135.559999999590218,2142970.879999999888241,2045144.000000000000000,2045547.479999999748543,10698720.469999998807907
20120217,2364592.900000000372529,2135800.280000000260770,2186101.760000000242144,2051084.000000000000000,2041440.739999999757856,10779019.680000001564622
20120221,2424589.200000000186265,2145402.320000000298023,2169328.640000000130385,2043955.999999999767169,2065334.500000000000000,10848610.660000000149012
20120222,2416018.299999999813735,2129398.919999999925494,2134983.680000000167638,2057024.000000000232831,2060107.739999999757856,10797532.640000000596046
20120223,2431841.500000000000000,2146774.040000000037253,2129392.640000000130385,2054648.000000000232831,2051147.579999999841675,10813803.759999999776483
20120224,2460191.399999999441206,2148145.759999999776483,2132587.520000000018626,2049302.000000000000000,2077654.719999999739230,10867881.399999998509884
20120227,2476014.599999999627471,2145859.559999999590218,2147763.200000000186265,2044550.000000000000000,2080641.439999999711290,10894828.799999998882413
20120228,2521506.299999999813735,2159576.759999999776483,2175718.399999999906868,2044550.000000000000000,2084748.179999999934807,10986099.639999998733401
20120229,2554471.299999999813735,2175122.919999999925494,2146964.479999999981374,2074844.000000000000000,2081388.119999999878928,11032790.819999998435378
20120301,2564031.150000000372529,2170093.280000000260770,2145367.040000000037253,2067121.999999999767169,2090348.280000000027940,11036961.750000000000000
20120302,2567327.649999999441206,2167807.080000000074506,2150159.360000000335276,2054648.000000000232831,2084748.179999999934807,11024690.269999999552965
20120305,2510957.500000000000000,2166892.599999999627471,2119808.000000000000000,2056429.999999999767169,2054880.979999999748543,10908969.080000000074506
20120306,2497112.200000000186265,2121168.599999999627471,2125399.040000000037253,2042174.000000000232831,2033227.260000000009313,10819081.099999999627471
20120307,2499090.099999999627471,2166892.599999999627471,2149360.640000000130385,2043362.000000000000000,2030613.879999999888241,10889319.219999998807907
20120308,2552493.400000000372529,2186553.919999999925494,2143769.600000000093132,2057618.000000000000000,2076161.359999999869615,11016596.279999999329448
20120309,2567327.649999999441206,2199356.639999999664724,2162140.160000000149012,2064745.999999999767169,2082508.139999999897555,11076078.589999999850988
20120312,2599633.349999999627471,2221761.400000000372529,2155750.399999999906868,2083754.000000000000000,2054134.300000000046566,11115033.450000001117587
20120313,2675452.849999999627471,2246909.599999999627471,2195686.399999999906868,2086724.000000000232831,2065707.839999999850988,11270480.689999999478459
20120314,2776655.400000000372529,2261998.519999999552965,2193290.240000000223517,2085536.000000000000000,2082508.139999999897555,11399988.300000000745058
20120315,2757535.700000000186265,2249653.040000000037253,2216453.120000000111759,2089100.000000000000000,2079894.760000000009313,11392636.619999999180436
20120316,2757535.700000000186265,2242794.439999999478459,2214855.680000000167638,2083754.000000000000000,2075414.679999999934807,11374354.500000000000000
20120319,2830718.000000000000000,2232735.160000000149012,2215654.399999999906868,2090882.000000000232831,2095575.040000000037253,11465564.600000001490116
20120320,2853793.500000000000000,2257883.360000000335276,2216453.120000000111759,2096821.999999999767169,2045174.139999999897555,11470126.120000001043081
20120321,2837311.000000000000000,2276630.200000000186265,2218849.280000000260770,2112266.000000000000000,2014933.599999999860302,11459990.080000000074506
20120322,2822476.750000000000000,2271600.559999999590218,2228433.919999999925494,2121176.000000000000000,2011573.540000000037253,11455260.769999999552965
20120323,2806983.200000000186265,2265199.200000000186265,2226836.479999999981374,2122958.000000000000000,2003360.059999999823049,11425336.940000001341105
20120326,2858408.599999999627471,2292176.360000000335276,2251596.800000000279397,2135432.000000000000000,2057121.020000000018626,11594734.779999999329448
20120327,2893681.150000000372529,2288061.200000000186265,2251596.800000000279397,2134838.000000000000000,2069441.239999999757856,11637618.390000000596046
20120328,2908515.400000000372529,2282117.080000000074506,2220446.720000000204891,2158004.000000000000000,2069814.579999999841675,11638897.780000001192093
20120329,2871924.250000000000000,2282117.080000000074506,2249200.640000000130385,2192456.000000000000000,2169496.359999999403954,11765194.330000000074506
20120330,2823465.700000000186265,2300406.679999999701977,2246005.760000000242144,2198396.000000000000000,2200483.580000000074506,11768757.720000000670552
20120402,2913460.149999999441206,2285775.000000000000000,2266772.479999999981374,2201960.000000000000000,2207203.700000000186265,11875171.329999998211861
20120403,2963566.950000000186265,2286232.240000000223517,2245207.040000000037253,2190674.000000000000000,2217657.219999999739230,11903337.449999999254942
20120404,2940161.799999999813735,2279373.639999999664724,2230830.080000000074506,2181764.000000000000000,2204963.660000000149012,11837093.179999999701977
20120405,2984334.900000000372529,2314581.120000000111759,2242012.160000000149012,2182358.000000000000000,2203096.959999999962747,11926383.140000000596046
20120409,2996202.299999999813735,2312752.160000000149012,2217251.840000000316650,2164538.000000000000000,2170616.379999999888241,11861360.679999999701977
20120410,2959611.150000000372529,2256968.879999999888241,2192491.520000000018626,2138996.000000000000000,2148962.660000000149012,11697030.210000000894070
20120411,2949062.349999999627471,2274801.240000000223517,2224440.320000000298023,2141966.000000000000000,2166136.299999999813735,11756406.210000000894070
20120412,2932909.500000000000000,2315038.360000000335276,2274759.680000000167638,2144936.000000000000000,2182563.259999999776483,11850206.800000000745058
20120413,2850167.349999999627471,2330127.280000000260770,2243609.600000000093132,2136620.000000000000000,2167256.319999999366701,11727780.550000000745058
20120416,2732152.649999999441206,2363505.799999999813735,2269168.640000000130385,2151470.000000000000000,2141495.859999999403954,11657792.949999999254942
20120417,2871264.950000000186265,2379051.959999999962747,2273960.959999999962747,2196614.000000000000000,2169123.019999999552965,11890014.890000000596046
20120418,2865001.599999999627471,2368992.679999999701977,2232427.520000000018626,2203148.000000000000000,2140002.500000000000000,11809572.299999998882413
20120419,2766436.250000000000000,2357561.679999999701977,2211660.800000000279397,2192456.000000000000000,2191896.759999999776483,11720011.490000000223517
