訓練日期,20121109 - 20130213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12272595.209999999031425
真實報酬,2272595.209999999031425

夏普值報酬,0.218559521000000
夏普值風險,0.061471207652031
夏普值,3.555477911499549

預期報酬,35810.457076282487833
風險,78617.046901521331165
趨勢值,0.455504988900690
找到最佳解世代,2632
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](11),GS[8](9),JNJ[12](14),NKE[19](3),WBA[27](2),
Stock#,CSCO[4](11),GS[8](9),JNJ[12](14),NKE[19](3),WBA[27](2),
張數,118835,17350,28715,87070,61031,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,6.950000000186265,65.500000000000000,0.249999999767169,2.100000000093132,14.129999999888241,
20121109,1998811.650000000139698,2015268.000000000000000,2006317.299999999813735,2009577.699999999953434,1993286.589999999618158,10023261.240000000223517
20121112,2003565.050000000046566,2034179.500000000000000,2000861.449999999953434,2008707.000000000232831,1999389.689999999711290,10046702.689999999478459
20121113,2002376.700000000419095,2020820.000000000000000,1995979.899999999906868,1991293.000000000232831,1985962.869999999878928,9996432.469999998807907
20121114,2098633.050000000279397,1982129.500000000000000,1989088.299999999580905,1972137.599999999860302,1968874.189999999711290,10010862.639999998733401
20121115,2131906.850000000558794,2002949.500000000000000,1983345.299999999580905,1977361.800000000279397,1967043.259999999776483,10062606.710000000894070
20121116,2137848.600000000093132,2009889.500000000000000,1986791.099999999627471,2015672.599999999860302,1962771.089999999618158,10112972.889999998733401
20121119,2174687.450000000186265,2052570.500000000000000,1988513.999999999767169,2096647.699999999953434,1992676.279999999795109,10305095.929999999701977
20121120,2179440.850000000093132,2048927.000000000000000,2000574.299999999813735,2080975.099999999860302,1996948.449999999720603,10306865.699999999254942
20121121,2196077.750000000465661,2042160.500000000000000,1998277.099999999860302,2080975.099999999860302,1991455.660000000149012,10308946.109999999403954
20121123,2238858.350000000093132,2087444.000000000000000,1997415.649999999906868,2106225.400000000372529,2019529.920000000158325,10449473.320000000298023
20121126,2265002.049999999813735,2098374.500000000000000,1983919.599999999860302,2126251.500000000465661,2018309.299999999813735,10491856.949999999254942
20121127,2253118.550000000279397,2054479.000000000000000,1975879.399999999906868,2111449.600000000093132,2015868.060000000055879,10410794.610000001266599
20121128,2237670.000000000000000,2070441.000000000000000,1989662.599999999860302,2157596.700000000186265,2033567.049999999813735,10488937.350000001490116
20121129,2259060.300000000279397,2060031.000000000000000,1987652.549999999813735,2154113.899999999906868,2059810.379999999888241,10520668.129999998956919
20121130,2247176.800000000279397,2043722.000000000000000,2002297.199999999953434,2121898.000000000000000,2069575.339999999618158,10484669.339999999850988
20121203,2261437.000000000465661,2054305.500000000000000,2000000.000000000000000,2123639.400000000372529,2092156.810000000055879,10531538.710000000894070
20121204,2278073.900000000372529,2022728.500000000000000,2006030.149999999674037,2126251.500000000465661,2091546.500000000000000,10524630.550000000745058
20121205,2282827.300000000279397,2032271.000000000000000,2009188.799999999813735,2126251.500000000465661,2170886.799999999813735,10621425.400000002235174
20121206,2314912.750000000465661,2033485.500000000000000,2011485.999999999767169,2142794.799999999813735,2187975.479999999981374,10690654.530000001192093
20121207,2298275.850000000093132,2022554.999999999767169,2022971.999999999767169,2146277.600000000093132,2203233.229999999981374,10693313.679999999701977
20121210,2351751.600000000093132,2030189.000000000000000,2027279.249999999534339,2134958.500000000000000,2218490.979999999981374,10762669.330000000074506
20121211,2350563.250000000465661,2062286.500000000000000,2041636.749999999534339,2163691.600000000093132,2236800.279999999795109,10854978.379999998956919
20121212,2344621.500000000465661,2048927.000000000000000,2037616.649999999674037,2159338.100000000093132,2238020.899999999906868,10828524.150000000372529
20121213,2345809.850000000093132,2056040.500000000000000,2031586.499999999767169,2118415.199999999720603,2228255.939999999944121,10780107.989999998360872
20121214,2360070.050000000279397,2070961.500000000000000,2029863.599999999627471,2109708.200000000186265,2243513.689999999944121,10814117.040000000968575
20121217,2389778.800000000279397,2142617.000000000000000,2037042.349999999627471,2133217.100000000093132,2266705.469999999739230,10969360.719999998807907
20121218,2421864.250000000000000,2216875.000000000000000,2037329.499999999767169,2153243.200000000186265,2291728.179999999701977,11121040.129999998956919
20121219,2408792.399999999906868,2207853.000000000000000,2028140.699999999720603,2128863.600000000093132,2272808.569999999832362,11046458.269999999552965
20121220,2405227.350000000093132,2250707.500000000000000,2031586.499999999767169,2154984.600000000093132,2291728.179999999701977,11134234.129999998956919
20121221,2371953.550000000279397,2228499.500000000000000,2017803.299999999580905,2288201.700000000186265,2216049.740000000223517,11122507.790000000968575
20121224,2356505.000000000000000,2212884.500000000000000,2010624.549999999580905,2298650.100000000093132,2225814.699999999720603,11104478.849999999627471
20121226,2367200.150000000372529,2206291.500000000000000,2014931.799999999813735,2235089.000000000465661,2237410.589999999850988,11060923.040000000968575
20121227,2335114.700000000186265,2197790.000000000000000,2012634.599999999860302,2253373.700000000186265,2229476.560000000055879,11028389.560000000521541
20121228,2311347.700000000186265,2177837.500000000000000,1995118.449999999953434,2220287.100000000093132,2230086.869999999646097,10934677.619999999180436
20121231,2335114.700000000186265,2213231.500000000000000,2012921.749999999534339,2246408.100000000093132,2258771.439999999944121,11066447.489999998360872
20130102,2417110.850000000093132,2284366.500000000000000,2034170.849999999860302,2256856.500000000465661,2322853.990000000223517,11315358.689999999478459
20130103,2430182.700000000186265,2271874.500000000000000,2031299.349999999627471,2280365.400000000372529,2306375.619999999646097,11320097.569999998435378
20130104,2433747.750000000465661,2333814.000000000000000,2054558.499999999767169,2302132.900000000372529,2269146.709999999962747,11393399.859999999403954
20130107,2411169.100000000093132,2329476.500000000000000,2050251.250000000000000,2305615.700000000186265,2321023.060000000055879,11417535.610000001266599
20130108,2413545.799999999813735,2308483.000000000000000,2050538.399999999674037,2281236.100000000093132,2329567.399999999906868,11383370.699999999254942
20130109,2412357.450000000186265,2330517.500000000000000,2059727.199999999953434,2283848.200000000186265,2346656.080000000074506,11433106.430000001564622
20130110,2428994.350000000558794,2383435.000000000000000,2072936.099999999627471,2288201.700000000186265,2353979.799999999813735,11527546.949999999254942
20130111,2433747.750000000465661,2379271.000000000000000,2077530.499999999534339,2311710.600000000093132,2386326.229999999981374,11588586.080000000074506
20130114,2491976.899999999906868,2361921.000000000000000,2083560.649999999906868,2316064.100000000093132,2382664.369999999646097,11636187.019999999552965
20130115,2493165.250000000465661,2352552.000000000000000,2078104.799999999813735,2335219.500000000000000,2398532.429999999701977,11657573.980000000447035
20130116,2499107.000000000465661,2447977.000000000000000,2084134.949999999720603,2339573.000000000000000,2404025.219999999739230,11774817.169999998062849
20130117,2489600.200000000186265,2446589.000000000000000,2093323.750000000000000,2328253.899999999906868,2402194.290000000037253,11759961.140000000596046
20130118,2497918.649999999906868,2506273.000000000000000,2102799.700000000186265,2320417.600000000093132,2393039.640000000130385,11820448.590000001713634
20130122,2480093.400000000372529,2532298.000000000000000,2087293.599999999627471,2328253.899999999906868,2410128.319999999832362,11838067.220000000670552
20130123,2450384.650000000372529,2525531.500000000000000,2091887.999999999534339,2311710.600000000093132,2411959.250000000000000,11791474.000000000000000
20130124,2497918.649999999906868,2515121.500000000000000,2099066.750000000000000,2344797.200000000186265,2407076.769999999552965,11863980.870000001043081
20130125,2513367.200000000186265,2506446.500000000000000,2122613.049999999813735,2418806.700000000186265,2421113.899999999906868,11982347.349999999627471
20130128,2502672.049999999813735,2501068.000000000000000,2113998.549999999813735,2372659.600000000093132,2447357.229999999981374,11937755.429999999701977
20130129,2469398.250000000465661,2552250.500000000000000,2136683.399999999441206,2347409.300000000279397,2444915.990000000223517,11950657.439999999478459
20130130,2445631.250000000000000,2553118.000000000000000,2127494.599999999627471,2334348.799999999813735,2433320.099999999627471,11893912.749999998137355
20130131,2444442.900000000372529,2565436.500000000465661,2122613.049999999813735,2353504.200000000186265,2438812.890000000130385,11924809.540000000968575
20130201,2475340.000000000000000,2600830.500000000000000,2130078.950000000186265,2337831.600000000093132,2460173.740000000223517,12004254.790000000968575
20130204,2474151.650000000372529,2559537.500000000000000,2128068.899999999441206,2336090.199999999720603,2441864.439999999944121,11939712.689999999478459
20130205,2505048.750000000000000,2610373.000000000000000,2143862.149999999441206,2346538.600000000093132,2522425.359999999869615,12128247.859999999403954
20130206,2518120.600000000558794,2621997.500000000000000,2164824.099999999627471,2357857.699999999720603,2529138.769999999552965,12191938.669999999925494
20130207,2507425.450000000186265,2607076.500000000000000,2155348.149999999441206,2380495.899999999906868,2521204.740000000223517,12171550.740000000223517
20130208,2514555.550000000279397,2630325.500000000000000,2167408.450000000186265,2377013.100000000093132,2526697.529999999795109,12216000.130000000819564
20130211,2527627.399999999906868,2641429.500000000000000,2165398.399999999441206,2404004.799999999813735,2531580.009999999776483,12270040.109999999403954
20130212,2491976.899999999906868,2673874.000000000465661,2176597.250000000000000,2398780.600000000093132,2560264.580000000074506,12301493.330000000074506
20130213,2512178.850000000093132,2680987.500000000000000,2172577.149999999441206,2375271.700000000186265,2531580.009999999776483,12272595.209999999031425
