訓練日期,20131126 - 20140303
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11539166.960000000894070
真實報酬,1539166.960000000894070

夏普值報酬,0.145216696000000
夏普值風險,0.045060236143513
夏普值,3.222723812132228

預期報酬,24547.194284524644900
風險,131874.468326293601422
趨勢值,0.186140612326778
找到最佳解世代,1883
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](2),MRK[17](5),V[25](3),
Stock#,CAT[3](1),DD[7](2),MRK[17](5),V[25](3),
張數,29620,45004,50342,49524,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,72.000000000000000,27.800000000279397,16.280000000260770,28.479999999981374,
20131126,2498815.200000000186265,2486048.760000000242144,2495972.640000000130385,2519809.600000000093132,10000646.200000001117587
20131127,2507997.399999999906868,2505850.520000000484288,2508558.140000000130385,2525752.479999999981374,10048158.540000000968575
20131129,2505924.000000000000000,2503600.320000000298023,2508558.140000000130385,2519314.359999999869615,10037396.820000000298023
20131202,2495557.000000000000000,2562555.560000000055879,2526177.840000000316650,2539619.200000000186265,10123909.600000001490116
20131203,2484301.399999999906868,2481548.360000000335276,2505034.200000000186265,2498019.040000000037253,9968903.000000000000000
20131204,2487263.399999999906868,2492349.320000000298023,2482380.300000000279397,2510400.040000000037253,9972393.060000002384186
20131205,2500296.199999999720603,2474347.720000000204891,2457209.300000000279397,2497523.799999999813735,9929377.019999999552965
20131206,2532582.000000000000000,2516651.480000000447035,2486407.660000000149012,2499504.759999999776483,10035145.900000000372529
20131209,2550057.800000000279397,2614760.200000000186265,2494965.800000000279397,2496038.080000000074506,10155821.880000000819564
20131210,2559832.399999999906868,2677765.800000000279397,2488421.340000000316650,2469295.120000000111759,10195314.660000000149012
20131211,2526065.600000000093132,2630961.640000000130385,2464257.180000000633299,2546552.560000000055879,10167836.980000000447035
20131212,2534655.399999999906868,2612510.000000000000000,2432541.720000000204891,2518819.120000000111759,10098526.240000002086163
20131213,2548873.000000000000000,2661114.320000000298023,2435562.240000000223517,2567352.640000000130385,10212902.200000001117587
