訓練日期,20131206 - 20140312
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12169083.279999999329448
真實報酬,2169083.279999999329448

夏普值報酬,0.208208328000000
夏普值風險,0.054726450493073
夏普值,3.804528269677431

預期報酬,35664.779888538942032
風險,175273.957137347577373
趨勢值,0.203480200202198
找到最佳解世代,2290
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DD[7](3),MRK[17](2),
Stock#,DD[7](3),MRK[17](2),
張數,90942,102438,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.839999999850988,1.219999999739230,
20131206,5085485.480000000447035,5059414.040000000037253,10144899.519999999552965
20131209,5283739.040000000037253,5076828.500000000000000,10360567.539999999105930
20131210,5411057.839999999850988,5063511.559999999590218,10474569.399999998509884
20131211,5316478.160000000149012,5014341.320000000298023,10330819.480000000447035
20131212,5279191.939999999478459,4949805.379999999888241,10228997.320000000298023
20131213,5377409.299999999813735,4955951.660000000149012,10333360.960000000894070
20131216,5387412.919999999925494,4926244.639999999664724,10313657.559999998658895
20131217,5465623.040000000037253,4906781.419999999925494,10372404.460000000894070
20131218,5634775.160000000149012,5009219.419999999925494,10643994.580000000074506
20131219,5685702.679999999701977,4997951.239999999292195,10683653.919999998062849
20131220,5670242.540000000037253,5052243.379999999888241,10722485.919999999925494
20131223,5682974.419999999925494,5056340.899999999441206,10739315.320000000298023
20131224,5752999.759999999776483,5061462.799999999813735,10814462.559999998658895
20131226,5809383.799999999813735,5093218.580000000074506,10902602.379999998956919
20131227,5775735.259999999776483,5100389.239999999292195,10876124.500000000000000
20131230,5775735.259999999776483,5115754.939999999478459,10891490.199999999254942
20131231,5750271.500000000000000,5127023.119999999180436,10877294.619999999180436
20140102,5681155.580000000074506,5069657.839999999850988,10750813.419999999925494
20140103,5655691.819999999366701,5094242.959999999031425,10749934.779999997466803
20140106,5645688.199999999254942,5095267.339999999850988,10740955.539999999105930
20140107,5582938.219999999739230,5133169.399999999441206,10716107.619999999180436
20140108,5589304.160000000149012,5100389.239999999292195,10689693.399999998509884
20140109,5517459.980000000447035,5072730.980000000447035,10590190.960000000894070
20140110,5531101.280000000260770,5109608.660000000149012,10640709.940000001341105
20140113,5425608.559999999590218,5441507.779999999329448,10867116.339999999850988
20140114,5523825.919999999925494,5429215.219999999739230,10953041.140000000596046
20140115,5575662.860000000335276,5380044.980000000447035,10955707.839999999850988
20140116,5580209.959999999962747,5377996.219999999739230,10958206.179999999701977
20140117,5578391.120000000111759,5321655.320000000298023,10900046.440000001341105
20140121,5948525.059999999590218,5309362.759999999776483,11257887.820000000298023
20140122,5915785.939999999478459,5260192.519999999552965,11175978.459999999031425
20140123,5792104.819999999366701,5285802.019999999552965,11077906.839999999850988
20140124,5622043.280000000260770,5324728.459999999031425,10946771.739999998360872
20140127,5582028.799999999813735,5381069.359999999403954,10963098.160000000149012
20140128,5576572.280000000260770,5415898.279999999329448,10992470.559999998658895
20140129,5793014.240000000223517,5348289.200000000186265,11141303.440000001341105
20140130,5868496.099999999627471,5481458.599999999627471,11349954.699999999254942
20140131,5893959.860000000335276,5426142.080000000074506,11320101.940000001341105
20140203,5787557.719999999739230,5334972.259999999776483,11122529.980000000447035
20140204,5823025.099999999627471,5481458.599999999627471,11304483.699999999254942
20140205,5808474.379999999888241,5483507.359999999403954,11291981.739999998360872
20140206,5903963.480000000447035,5508092.480000000447035,11412055.960000000894070
20140207,5905782.319999999366701,5610530.480000000447035,11516312.800000000745058
20140210,5936702.599999999627471,5622823.040000000037253,11559525.640000000596046
20140211,6065840.240000000223517,5705797.820000000298023,11771638.060000000521541
20140212,6005818.520000000484288,5634091.219999999739230,11639909.740000000223517
20140213,5996724.319999999366701,5644335.019999999552965,11641059.339999999850988
20140214,6049470.679999999701977,5679163.939999999478459,11728634.619999999180436
20140218,6058564.879999999888241,5704773.439999999478459,11763338.320000000298023
20140219,6014003.299999999813735,5638188.739999999292195,11652192.039999999105930
20140220,6104945.299999999813735,5717066.000000000000000,11822011.300000000745058
20140221,6082209.799999999813735,5739602.359999999403954,11821812.160000000149012
20140224,6080390.959999999962747,5754968.059999999590218,11835359.019999999552965
20140225,6115858.339999999850988,5727309.799999999813735,11843168.140000000596046
20140226,6194068.459999999962747,5764187.480000000447035,11958255.940000001341105
20140227,6282282.199999999254942,5804138.299999999813735,12086420.500000000000000
20140228,6308655.379999999888241,5837942.839999999850988,12146598.219999998807907
20140303,6273188.000000000000000,5779553.179999999701977,12052741.179999999701977
20140304,6405963.319999999366701,5845113.500000000000000,12251076.820000000298023
20140305,6464166.199999999254942,5826674.660000000149012,12290840.859999999403954
20140306,6446887.219999999739230,5865601.099999999627471,12312488.320000000298023
20140307,6412329.260000000707805,5887113.080000000074506,12299442.339999999850988
20140310,6453253.159999999217689,5871747.379999999888241,12325000.539999999105930
20140311,6379590.140000000596046,5807211.439999999478459,12186801.580000000074506
20140312,6349579.279999999329448,5819504.000000000000000,12169083.279999999329448
