訓練日期,20151002 - 20160105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10951765.210000000894070
真實報酬,951765.210000000894070

夏普值報酬,0.086476521000000
夏普值風險,0.025970075119762
夏普值,3.329852555343442

預期報酬,17374.622680937387486
風險,130110.855685452450416
趨勢值,0.133537071825437
找到最佳解世代,1532
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),JNJ[12](5),MCD[15](1),PG[21](3),WMT[28](30),
Stock#,HD[9](2),JNJ[12](5),MCD[15](1),PG[21](3),WMT[28](30),
張數,17089,21466,20247,27797,31118,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,74.330000000074506,12.780000000027940,1.340000000083819,5.849999999860302,46.140000000130385,
20151002,2013329.420000000158325,2016314.160000000149012,2020449.470000000204891,2013064.589999999850988,2022093.780000000260770,10085251.420000001788139
20151005,2037083.130000000121072,2034130.940000000176951,2048390.330000000074506,2035302.189999999944121,2049788.800000000279397,10204695.390000000596046
20151006,2028196.850000000093132,2005366.500000000000000,2063170.640000000130385,2040305.649999999906868,2043876.380000000353903,10180916.020000001415610
20151007,2044773.180000000167638,2038853.460000000195578,2060538.530000000027940,2049200.689999999944121,2065036.620000000111759,10258402.480000000447035
20151008,2068868.670000000158325,2041000.060000000055879,2084429.990000000223517,2068102.649999999906868,2081217.979999999981374,10343619.350000001490116
20151009,2073482.699999999953434,2047225.200000000186265,2080583.060000000288710,2070326.409999999916181,2075305.560000000055879,10346922.930000001564622
20151012,2083223.430000000167638,2060534.119999999878928,2090301.619999999878928,2066156.859999999869615,2082773.880000000353903,10382989.910000000149012
20151013,2078267.620000000111759,2048942.479999999981374,2093136.199999999953434,2060041.519999999785796,2076550.280000000260770,10356938.099999999627471
20151014,2055368.360000000102445,2029193.760000000009313,2081797.879999999888241,2062821.219999999739230,1868059.680000000167638,10097240.900000000372529
20151015,2081685.420000000158325,2085434.680000000167638,2098805.360000000335276,2064489.039999999804422,1846277.080000000074506,10176691.580000001937151
20151016,2097578.189999999944121,2108832.620000000111759,2122291.879999999888241,2082001.149999999906868,1832585.160000000149012,10243289.000000000000000
20151019,2103730.229999999981374,2102392.820000000298023,2115610.370000000111759,2089228.369999999878928,1831340.440000000176951,10242302.230000000447035
20151020,2099457.979999999981374,2094879.720000000204891,2102449.820000000298023,2068936.560000000055879,1828228.640000000130385,10193952.720000000670552
20151021,2107148.029999999795109,2095738.359999999869615,2076128.720000000204891,2045587.079999999841675,1824805.660000000149012,10149407.849999999627471
20151022,2125262.370000000111759,2136523.759999999776483,2244786.230000000447035,2080611.299999999813735,1832896.340000000083819,10420080.000000000000000
20151023,2129534.620000000111759,2153267.240000000223517,2279611.070000000298023,2141208.759999999776483,1814225.540000000037253,10517847.230000000447035
20151026,2136370.220000000204891,2145324.820000000298023,2271309.799999999813735,2153995.379999999888241,1805512.500000000232831,10512512.720000000670552
20151027,2127142.160000000149012,2150691.320000000298023,2260376.419999999925494,2148435.980000000447035,1788708.780000000027940,10475354.660000000149012
20151028,2116034.310000000055879,2156916.459999999962747,2286697.520000000484288,2126754.320000000298023,1793687.660000000149012,10480090.269999999552965
20151029,2112787.399999999906868,2176021.200000000186265,2280218.480000000447035,2140930.790000000037253,1803645.420000000158325,10513603.290000000968575
20151030,2112958.290000000037253,2168722.759999999776483,2272727.089999999850988,2123140.709999999962747,1781240.460000000195578,10458789.310000000521541
20151102,2126116.819999999832362,2193194.000000000000000,2269892.509999999776483,2129256.049999999813735,1792754.120000000111759,10511213.500000000000000
20151103,2147478.069999999832362,2188686.139999999664724,2269285.099999999627471,2141764.700000000186265,1808313.120000000111759,10555527.129999998956919
20151104,2142693.149999999906868,2188256.820000000298023,2275764.140000000596046,2142042.669999999925494,1816403.800000000046566,10565160.580000001937151
20151105,2148503.410000000149012,2196628.559999999590218,2284875.290000000037253,2123418.679999999701977,1823872.120000000111759,10577298.059999998658895
20151106,2152946.550000000279397,2187827.500000000000000,2294188.910000000149012,2100625.139999999664724,1829162.180000000167638,10564750.280000001192093
20151109,2127654.830000000074506,2164644.219999999739230,2286495.049999999813735,2095899.649999999906868,1820137.960000000195578,10494831.710000000894070
20151110,2140642.470000000204891,2177738.480000000447035,2292366.679999999701977,2106184.540000000037253,1826050.380000000121072,10542982.550000002607703
20151111,2131243.520000000018626,2186539.540000000037253,2305122.290000000037253,2111465.969999999739230,1791820.580000000074506,10526191.900000000372529
20151112,2115863.419999999925494,2152408.599999999627471,2269892.509999999776483,2075329.869999999878928,1772216.240000000223517,10385710.639999998733401
20151113,2050754.330000000074506,2144036.860000000335276,2226563.929999999701977,2055871.969999999739230,1755723.700000000186265,10232950.789999999105930
20151116,2065109.090000000083819,2172801.299999999813735,2248633.160000000149012,2093119.949999999720603,1800844.800000000046566,10380508.300000000745058
20151117,2156364.350000000093132,2178811.780000000260770,2246203.520000000484288,2086726.639999999664724,1864636.700000000186265,10532742.990000002086163
20151118,2162516.390000000130385,2203927.000000000000000,2278396.250000000000000,2109798.150000000372529,1896065.880000000121072,10650703.670000001788139
20151119,2167984.870000000111759,2200063.120000000111759,2293986.440000000409782,2118693.189999999478459,1888908.740000000223517,10669636.360000001266599
20151120,2225233.020000000018626,2199848.459999999962747,2306337.110000000335276,2107574.389999999664724,1869304.400000000139698,10708297.380000000819564
20151123,2264366.830000000074506,2206073.599999999627471,2317675.429999999701977,2111743.939999999478459,1875216.820000000065193,10775076.619999999180436
20151124,2283164.729999999981374,2190403.419999999925494,2313828.500000000000000,2125086.500000000000000,1864636.700000000186265,10777119.850000001490116
20151125,2301108.180000000167638,2188686.139999999664724,2316258.140000000596046,2109798.150000000372529,1874594.460000000195578,10790445.070000002160668
20151127,2302646.190000000409782,2197487.200000000186265,2312816.150000000372529,2104238.750000000000000,1863703.160000000149012,10780891.450000001117587
20151130,2287949.649999999906868,2173230.620000000111759,2311398.860000000335276,2080333.329999999841675,1831029.260000000242144,10683941.719999998807907
20151201,2297348.600000000093132,2197272.540000000037253,2317270.490000000223517,2110910.030000000260770,1835696.960000000195578,10758498.620000001043081
20151202,2286753.419999999925494,2190618.080000000074506,2302490.179999999701977,2106740.480000000447035,1815781.440000000176951,10702383.599999999627471
20151203,2237537.100000000093132,2163570.919999999925494,2295808.669999999925494,2105350.629999999888241,1837252.860000000102445,10639520.179999999701977
20151204,2299057.500000000000000,2209937.480000000447035,2352702.740000000223517,2163446.359999999403954,1856546.020000000018626,10881690.099999999627471
20151207,2288804.100000000093132,2217879.899999999441206,2357157.080000000074506,2178456.740000000223517,1882685.140000000130385,10924982.960000000894070
20151208,2287266.090000000316650,2198560.500000000000000,2359384.250000000000000,2161222.599999999627471,1854990.120000000111759,10861423.559999998658895
20151209,2254113.430000000167638,2192764.679999999701977,2360396.599999999627471,2159832.750000000000000,1840053.480000000214204,10807160.939999999478459
20151210,2265050.390000000130385,2203283.020000000484288,2372949.740000000223517,2162334.480000000447035,1853434.220000000204891,10857051.850000001490116
20151211,2229163.490000000223517,2182675.660000000149012,2350273.099999999627471,2162056.509999999776483,1847210.620000000111759,10771379.379999998956919
20151214,2255993.219999999739230,2192764.679999999701977,2353917.560000000521541,2176232.980000000447035,1879262.160000000149012,10858170.600000001490116
20151215,2243689.140000000130385,2235267.360000000335276,2367483.049999999813735,2214870.809999999590218,1855923.660000000149012,10917234.019999999552965
20151216,2271202.430000000167638,2259309.280000000260770,2385907.820000000298023,2251284.879999999888241,1876461.540000000037253,11044165.949999999254942
20151217,2244714.479999999981374,2224749.020000000484288,2379023.839999999850988,2231826.980000000447035,1835385.780000000027940,10915700.099999999627471
20151218,2226600.140000000130385,2188471.480000000447035,2362016.360000000335276,2171785.459999999962747,1831340.440000000176951,10780213.880000000819564
