訓練日期,20091110 - 20100212
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10861616.089999999850988
真實報酬,861616.089999999850988

夏普值報酬,0.077461609000000
夏普值風險,0.026800064421761
夏普值,2.890351596957472

預期報酬,15437.481918753002901
風險,127057.468188786064275
趨勢值,0.121499996330916
找到最佳解世代,1636
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),HD[9](4),MCD[15](18),
Stock#,BA[2](1),HD[9](4),MCD[15](18),
張數,64913,124331,53214,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,50.449999999720603,18.890000000130385,8.040000000037253,
20091110,3266472.609999999869615,3334576.310000000055879,3314175.959999999962747,9915225.879999998956919
20091111,3289841.289999999571592,3395498.500000000000000,3343443.660000000149012,10028784.449999999254942
20091112,3263876.089999999850988,3386795.330000000074506,3308322.419999999925494,9958994.839999999850988
20091113,3289841.289999999571592,3399228.430000000167638,3383354.160000000149012,10072424.879999998956919
20091116,3406684.689999999478459,3437771.040000000037253,3433907.459999999962747,10278364.189999999478459
20091117,3409930.339999999850988,3355712.580000000074506,3382822.020000000018626,10148465.939999999478459
20091118,3376824.709999999962747,3393011.879999999888241,3404639.759999999776483,10174477.349999999627471
20091119,3338526.039999999571592,3370632.300000000279397,3374307.779999999795109,10083467.119999999180436
20091120,3356052.549999999813735,3379335.470000000204891,3404107.620000000111759,10139496.640000000596046
20091123,3416421.639999999664724,3420364.700000000186265,3405171.900000000372529,10241959.240000000223517
20091124,3373579.059999999590218,3426581.250000000000000,3417411.120000000111759,10217572.429999999701977
20091125,3435895.539999999571592,3462637.240000000223517,3429650.340000000316650,10328184.119999999180436
20091127,3404737.299999999813735,3432797.800000000279397,3384418.439999999944121,10221954.539999999105930
20091130,3402140.779999999329448,3401715.050000000279397,3365793.540000000037253,10169650.370000001043081
20091201,3487176.809999999590218,3481286.890000000130385,3381225.600000000093132,10349690.299999998882413
20091202,3491071.589999999850988,3522316.120000000111759,3325883.040000000037253,10339271.750000000000000
20091203,3490422.459999999962747,3472583.720000000204891,3297679.620000000111759,10260686.800000000745058
20091204,3549493.289999999571592,3491233.370000000111759,3277458.300000000279397,10318185.960000000894070
20091207,3623494.109999999869615,3508639.709999999962747,3295551.060000000055879,10427685.880000000819564
20091208,3613108.029999999329448,3440257.660000000149012,3225308.580000000074506,10278675.269999999552965
20091209,3600774.559999999590218,3425337.940000000409782,3224776.439999999944121,10250889.939999999478459
20091210,3570914.579999999608845,3480043.580000000074506,3248722.739999999757856,10299681.900000000372529
20091211,3609213.250000000000000,3542209.080000000074506,3281183.279999999795109,10432606.609999999403954
20091214,3638424.099999999627471,3589454.860000000335276,3306726.000000000000000,10534605.960000000894070
20091215,3613757.159999999683350,3608104.510000000242144,3299276.040000000037253,10521138.710000000894070
20091216,3578704.139999999664724,3600644.650000000372529,3321625.919999999925494,10500975.710000000894070
20091217,3535861.559999999590218,3580751.690000000409782,3295018.919999999925494,10411633.169999999925494
