訓練日期,20160107 - 20160411
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11155697.329999998211861
真實報酬,1155697.329999998211861

夏普值報酬,0.106869733000000
夏普值風險,0.046857142116912
夏普值,2.280756532981731

預期報酬,23201.127515187086829
風險,152348.630353060987545
趨勢值,0.152289701990885
找到最佳解世代,2255
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](3),VZ[26](1),
Stock#,KO[14](3),VZ[26](1),
張數,118147,109841,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.959999999962747,37.679999999701977,
20160107,4917297.099999999627471,4972539.750000000000000,9889836.849999999627471
20160108,4904300.929999999701977,4924209.709999999962747,9828510.640000000596046
20160111,4912571.219999999739230,4952768.370000000111759,9865339.589999999850988
20160112,4976370.599999999627471,4935193.809999999590218,9911564.410000000149012
20160113,4944470.910000000149012,4849517.829999999143183,9793988.739999998360872
20160114,4948015.320000000298023,4928603.349999999627471,9876618.669999999925494
20160115,4903119.459999999962747,4880273.309999999590218,9783392.769999999552965
20160119,4952741.200000000186265,4928603.349999999627471,9881344.550000000745058
20160120,4888941.820000000298023,4879174.899999999441206,9768116.719999998807907
20160121,4890123.290000000037253,5038444.349999999627471,9928567.640000000596046
20160122,4969281.780000000260770,5166958.319999999366701,10136240.099999999627471
20160125,4981096.479999999515712,5165859.910000000149012,10146956.390000000596046
20160126,4971644.719999999739230,5299865.929999999701977,10271510.649999998509884
20160127,4972826.190000000409782,5385541.910000000149012,10358368.100000001490116
20160128,5029536.750000000000000,5383345.089999999850988,10412881.839999999850988
20160129,5070888.200000000186265,5488792.449999999254942,10559680.649999998509884
20160201,5080339.959999999962747,5575566.839999999850988,10655906.800000000745058
20160202,5014177.639999999664724,5482201.989999999292195,10496379.629999998956919
20160203,5047258.799999999813735,5560189.099999999627471,10607447.899999998509884
20160204,5024810.870000000111759,5539319.309999999590218,10564130.179999999701977
20160205,5014177.639999999664724,5598633.449999999254942,10612811.089999999850988
20160208,5038988.509999999776483,5573370.019999999552965,10612358.529999999329448
20160209,5115784.059999999590218,5508563.829999999143183,10624347.889999998733401
20160210,5027173.809999999590218,5489890.859999999403954,10517064.669999998062849
20160211,5010633.229999999515712,5425084.669999999925494,10435717.899999998509884
20160212,5093336.129999999888241,5504170.189999999478459,10597506.320000000298023
20160216,5122872.879999999888241,5518449.519999999552965,10641322.399999998509884
20160217,5138231.990000000223517,5527236.799999999813735,10665468.789999999105930
20160218,5152409.629999999888241,5595338.219999999739230,10747747.849999999627471
20160219,5171313.150000000372529,5586550.939999999478459,10757864.089999999850988
20160222,5191398.139999999664724,5609617.549999999813735,10801015.689999999478459
20160223,5161861.389999999664724,5561287.509999999776483,10723148.899999998509884
20160224,5187853.729999999515712,5582157.299999999813735,10770011.029999999329448
20160225,5217390.479999999515712,5614011.189999999478459,10831401.669999998062849
20160226,5096880.540000000037253,5604125.500000000000000,10701006.039999999105930
20160229,5095699.070000000298023,5572271.609999999403954,10667970.679999999701977
20160301,5161861.389999999664724,5652455.540000000037253,10814316.929999999701977
20160302,5171313.150000000372529,5724950.599999999627471,10896263.750000000000000
20160303,5193761.080000000074506,5699687.169999999925494,10893448.250000000000000
20160304,5211483.129999999888241,5690899.889999999664724,10902383.019999999552965
20160307,5199668.429999999701977,5734836.290000000037253,10934504.719999998807907
20160308,5236294.000000000000000,5762296.540000000037253,10998590.539999999105930
20160309,5294186.030000000260770,5749115.620000000111759,11043301.650000000372529
20160310,5343807.769999999552965,5746918.799999999813735,11090726.570000000298023
20160311,5340263.360000000335276,5769985.410000000149012,11110248.769999999552965
20160314,5350896.589999999850988,5771083.819999999366701,11121980.410000000149012
20160315,5344989.240000000223517,5785363.149999999441206,11130352.390000000596046
20160316,5322541.309999999590218,5844677.290000000037253,11167218.599999999627471
20160317,5407607.150000000372529,5890810.509999999776483,11298417.660000000149012
20160318,5387522.160000000149012,5847972.519999999552965,11235494.679999999701977
20160321,5395792.450000000186265,5869940.719999999739230,11265733.169999999925494
20160322,5375707.459999999962747,5844677.290000000037253,11220384.750000000000000
20160323,5370981.580000000074506,5811724.989999999292195,11182706.570000000298023
20160324,5385159.219999999739230,5883121.639999999664724,11268280.859999999403954
20160328,5411151.559999999590218,5865547.079999999143183,11276698.639999998733401
20160329,5491491.519999999552965,5936943.729999999515712,11428435.250000000000000
20160330,5503306.219999999739230,5935845.319999999366701,11439151.539999999105930
20160331,5480858.290000000037253,5940238.959999999962747,11421097.250000000000000
20160401,5532842.969999999739230,5932550.089999999850988,11465393.059999998658895
20160404,5539931.790000000037253,5977584.899999999441206,11517516.689999999478459
20160405,5497398.870000000111759,5941337.370000000111759,11438736.240000000223517
20160406,5518665.330000000074506,5878728.000000000000000,11397393.330000000074506
20160407,5477313.879999999888241,5711769.679999999701977,11189083.559999998658895
20160408,5537568.849999999627471,5731541.059999999590218,11269109.910000000149012
20160411,5486765.639999999664724,5668931.689999999478459,11155697.329999998211861
