訓練日期,20141208 - 20150312
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11241864.589999999850988
真實報酬,1241864.589999999850988

夏普值報酬,0.115486459000000
夏普值風險,0.040449178963909
夏普值,2.855100201243753

預期報酬,20176.607842096833338
風險,119627.517449356819270
趨勢值,0.168661928896405
找到最佳解世代,2338
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](5),UNH[23](3),WBA[27](2),WMT[28](12),
Stock#,BA[2](5),UNH[23](3),WBA[27](2),WMT[28](12),
張數,18909,24917,36443,29719,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,41.109999999869615,77.390000000130385,10.200000000186265,37.719999999739230,
20141208,2463505.629999999888241,2489784.030000000260770,2468294.590000000316650,2503269.089999999850988,9924853.339999999850988
20141209,2451782.049999999813735,2517192.729999999981374,2499635.570000000298023,2483357.359999999869615,9951967.709999999031425
20141210,2356858.870000000111759,2469102.920000000391155,2483600.650000000372529,2466120.339999999850988,9775682.780000001192093
20141211,2332844.439999999944121,2485049.800000000279397,2660713.630000000353903,2491381.489999999757856,9969989.360000001266599
20141212,2283681.039999999571592,2460880.310000000055879,2715013.700000000186265,2490787.109999999869615,9950362.160000000149012
20141215,2308451.829999999608845,2448670.979999999981374,2676384.120000000111759,2494650.579999999608845,9928157.509999999776483
20141216,2349484.359999999869615,2388371.839999999850988,2638118.970000000204891,2465525.959999999497086,9841501.129999998956919
20141217,2364800.649999999906868,2470348.770000000018626,2623541.770000000018626,2503269.089999999850988,9961960.279999999329448
20141218,2376335.140000000130385,2547591.470000000204891,2710640.540000000037253,2554088.579999999608845,10188655.730000000447035
20141219,2386924.180000000167638,2553820.720000000204891,2668731.090000000316650,2530907.759999999776483,10140383.750000000000000
20141222,2424553.089999999850988,2567525.070000000298023,2706631.810000000055879,2567164.939999999478459,10265874.910000000149012
