訓練日期,20100908 - 20101208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11718643.640000000596046
真實報酬,1718643.640000000596046

夏普值報酬,0.163164364000000
夏普值風險,0.046408208776227
夏普值,3.515851361269994

預期報酬,27122.869081086835649
風險,83380.842675280888216
趨勢值,0.325288977789711
找到最佳解世代,2663
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,4
INTC[11](1),KO[14](2),NKE[19](6),XOM[29](3),
Stock#,INTC[11](1),KO[14](2),NKE[19](6),XOM[29](3),
張數,137969,86745,135062,41288,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.719999999739230,9.100000000093132,2.379999999888241,11.600000000093132,
20100908,2469646.819999999366701,2508674.500000000465661,2504051.859999999869615,2508257.600000000093132,9990630.779999999329448
20100909,2483443.719999999739230,2528625.850000000093132,2495948.140000000130385,2520644.000000000000000,10028661.710000000894070
20100910,2479304.649999999441206,2538167.800000000279397,2490545.660000000149012,2526837.200000000186265,10034855.309999998658895
20100913,2560706.359999999403954,2517349.000000000000000,2521609.919999999925494,2518579.600000000093132,10118244.879999998956919
20100914,2585540.779999999329448,2498265.100000000093132,2541869.219999999739230,2518992.479999999981374,10144667.579999998211861
20100915,2582781.399999999441206,2490458.050000000279397,2585089.060000000055879,2518579.600000000093132,10176908.109999999403954
20100916,2617273.649999999441206,2494795.300000000279397,2587790.299999999813735,2517340.959999999962747,10217200.209999999031425
20100917,2595198.609999999403954,2496530.200000000186265,2609400.219999999739230,2509496.240000000223517,10210625.269999999552965
20100920,2611754.889999999664724,2514746.649999999906868,2645866.959999999962747,2541288.000000000000000,10313656.500000000000000
20100921,2640728.379999999888241,2520818.799999999813735,2622906.419999999925494,2540875.120000000111759,10325328.719999998807907
20100922,2622792.410000000149012,2526023.500000000000000,2610750.839999999850988,2537159.200000000186265,10296725.949999999254942
20100923,2618653.339999999850988,2510409.400000000372529,2622906.419999999925494,2524772.799999999813735,10276741.960000000894070
20100924,2679359.700000000186265,2542505.049999999813735,2686385.560000000055879,2549545.600000000093132,10457795.910000000149012
20100927,2654525.279999999329448,2541637.600000000093132,2671528.740000000223517,2547894.080000000074506,10415585.699999999254942
20100928,2691776.910000000149012,2563323.850000000093132,2722852.299999999813735,2562344.880000000353903,10540297.939999999478459
20100929,2654525.279999999329448,2548577.200000000186265,2698541.140000000130385,2542939.520000000018626,10444583.139999998733401
20100930,2649006.519999999552965,2538167.800000000279397,2706644.859999999869615,2551197.120000000111759,10445016.300000000745058
20101001,2665562.799999999813735,2564191.299999999813735,2709346.099999999627471,2582163.120000000111759,10521263.320000000298023
20101004,2603476.750000000000000,2553781.900000000372529,2697190.519999999552965,2567712.319999999832362,10422161.490000000223517
20101005,2642108.069999999366701,2587612.449999999720603,2745812.839999999850988,2611890.479999999981374,10587423.839999999850988
20101006,2654525.279999999329448,2591949.700000000186265,2739059.740000000223517,2630882.959999999962747,10616417.679999999701977
20101007,2676600.319999999366701,2578070.500000000000000,2735007.879999999888241,2636250.400000000372529,10625929.099999999627471
20101008,2693156.599999999627471,2577203.050000000279397,2770124.000000000000000,2658133.040000000037253,10698616.690000001341105
20101011,2698675.359999999403954,2583275.200000000186265,2768773.379999999888241,2665152.000000000000000,10715875.939999999478459
20101012,2727648.849999999627471,2585010.100000000093132,2764721.519999999552965,2671345.200000000186265,10748725.669999998062849
20101013,2654525.279999999329448,2599756.750000000000000,2770124.000000000000000,2685383.120000000577420,10709789.150000000372529
20101014,2665562.799999999813735,2598889.300000000279397,2760669.660000000149012,2696118.000000000000000,10721239.759999999776483
20101015,2665562.799999999813735,2599756.750000000000000,2768773.379999999888241,2691576.319999999832362,10725669.250000000000000
20101018,2647626.830000000074506,2602359.100000000093132,2757968.419999999925494,2736580.240000000223517,10744534.589999999850988
20101019,2650386.209999999962747,2617105.750000000465661,2725553.540000000037253,2688686.160000000149012,10681731.660000000149012
20101020,2709712.879999999888241,2652671.199999999720603,2743111.599999999627471,2725432.480000000447035,10830928.160000000149012
20101021,2726269.160000000149012,2666550.399999999906868,2772825.240000000223517,2738231.759999999776483,10903876.560000000521541
20101022,2737306.679999999701977,2672622.549999999813735,2766072.140000000130385,2739057.520000000018626,10915058.889999998733401
20101025,2741445.750000000000000,2646599.050000000279397,2770124.000000000000000,2733277.200000000186265,10891446.000000000000000
20101026,2764900.479999999515712,2656141.000000000000000,2762020.279999999795109,2746902.240000000223517,10929964.000000000000000
20101027,2785595.830000000074506,2654406.100000000093132,2736358.500000000000000,2711394.560000000055879,10887754.990000000223517
20101028,2824227.149999999441206,2655273.549999999813735,2739059.740000000223517,2734102.959999999962747,10952663.399999998509884
20101029,2766280.169999999925494,2659610.800000000279397,2749864.699999999720603,2745250.719999999739230,10921006.390000000596046
20101101,2838024.049999999813735,2676959.799999999813735,2737709.119999999646097,2764243.200000000186265,11016936.169999998062849
