訓練日期,20131003 - 20140106
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11284083.120000001043081
真實報酬,1284083.120000001043081

夏普值報酬,0.119708312000000
夏普值風險,0.039802082178999
夏普值,3.007589187461196

預期報酬,21651.204444776609307
風險,85424.568763978793868
趨勢值,0.253454067817388
找到最佳解世代,2540
找到最佳解實驗#,4
找到最佳解次數,15

stock[index](rank)
投資組合檔數,4
AAPL[0](5),INTC[11](10),JPM[13](9),XOM[29](1),
20131120,2629750.719999999739230,2682392.390000000130385,2692451.930000000167638,2749761.200000000186265,10754356.239999998360872
20131121,2661205.440000000409782,2755567.780000000260770,2746204.089999999850988,2750051.620000000111759,10913028.929999999701977
20131122,2654414.080000000540167,2607032.660000000149012,2757722.410000000149012,2759345.060000000055879,10778514.210000000894070
20131125,2674430.719999999739230,2593926.620000000111759,2766841.079999999608845,2761668.420000000391155,10796866.839999999850988
20131126,2723757.440000000409782,2583004.919999999925494,2743804.439999999944121,2737853.979999999981374,10788420.780000001192093
20131127,2787739.199999999720603,2610309.169999999925494,2758682.269999999552965,2724204.240000000223517,10880934.879999998956919
20131129,2839568.000000000000000,2603756.149999999906868,2746204.089999999850988,2714910.800000000279397,10904439.040000000968575
20131202,2814904.640000000130385,2588465.770000000018626,2734685.769999999552965,2716072.479999999981374,10854128.660000000149012
20131203,2891754.240000000223517,2572083.220000000204891,2728926.609999999869615,2741339.020000000018626,10934103.089999999850988
20131204,2884962.879999999888241,2592834.449999999720603,2744764.299999999813735,2749470.780000000260770,10972032.410000000149012
20131205,2899975.359999999869615,2649627.290000000502914,2679013.890000000130385,2733788.100000000093132,10962404.640000000596046
20131206,2859584.640000000130385,2710788.810000000055879,2690532.209999999962747,2777931.940000000409782,11038837.600000001490116
20131209,2892469.120000000111759,2722802.680000000167638,2712129.059999999590218,2783449.920000000391155,11110850.780000001192093
20131210,2887822.400000000372529,2710788.810000000055879,2721247.729999999981374,2779674.459999999962747,11099533.400000002235174
20131211,2866376.000000000000000,2667102.010000000242144,2691012.140000000130385,2737563.560000000055879,10962053.710000000894070
20131212,2862444.160000000149012,2672562.859999999869615,2702530.459999999962747,2769509.760000000242144,11007047.240000000223517
20131213,2830989.440000000409782,2652903.799999999813735,2695811.439999999944121,2768057.660000000149012,10947762.339999999850988
20131216,2846716.800000000279397,2670378.520000000018626,2707809.689999999944121,2823527.879999999888241,11048432.890000000596046
20131217,2833848.959999999962747,2693314.090000000316650,2674214.589999999850988,2809878.140000000130385,11011255.780000001192093
20131218,2812402.560000000521541,2746830.419999999925494,2747163.950000000186265,2890905.320000000298023,11197302.250000000000000
20131219,2780232.959999999962747,2745738.250000000000000,2746684.019999999552965,2887710.700000000186265,11160365.929999999701977
20131220,2803466.560000000521541,2737000.890000000130385,2769240.729999999981374,2865929.200000000186265,11175637.380000002682209
20131223,2911056.000000000000000,2765397.310000000055879,2795156.950000000186265,2860992.060000000055879,11332602.320000002160668
20131224,2898903.040000000037253,2777411.180000000167638,2795636.879999999888241,2881611.879999999888241,11353562.980000000447035
20131226,2879601.280000000260770,2806899.770000000018626,2793237.229999999981374,2930402.440000000409782,11410140.720000002533197
20131227,2859942.080000000540167,2795978.070000000298023,2790357.649999999906868,2948118.060000000055879,11394395.860000001266599
20131230,2831704.320000000298023,2823282.320000000298023,2781238.979999999981374,2913267.660000000149012,11349493.280000001192093
20131231,2864946.240000000223517,2835296.190000000409782,2806675.269999999552965,2939115.040000000037253,11446032.739999998360872
20140102,2824555.520000000018626,2816729.299999999813735,2793717.160000000149012,2897004.140000000130385,11332006.120000001043081
20140103,2762360.959999999962747,2815637.130000000353903,2815314.009999999776483,2890034.060000000055879,11283346.160000000149012
20140106,2777373.440000000409782,2780687.690000000409782,2831631.629999999888241,2894390.359999999869615,11284083.120000001043081
