訓練日期,20131003 - 20140106
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11284083.120000001043081
真實報酬,1284083.120000001043081

夏普值報酬,0.119708312000000
夏普值風險,0.039802082178999
夏普值,3.007589187461196

預期報酬,21651.204444776609307
風險,85424.568763978793868
趨勢值,0.253454067817388
找到最佳解世代,2540
找到最佳解實驗#,4
找到最佳解次數,15

stock[index](rank)
投資組合檔數,4
AAPL[0](5),INTC[11](10),JPM[13](9),XOM[29](1),
Stock#,AAPL[0](5),INTC[11](10),JPM[13](9),XOM[29](1),
張數,35744,109217,47993,29042,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,64.640000000130385,22.870000000111759,44.629999999888241,64.640000000130385,
20131003,2468545.280000000260770,2468327.070000000298023,2492801.049999999813735,2483155.640000000130385,9912829.040000000968575
20131004,2466400.640000000130385,2491262.640000000130385,2527835.939999999944121,2506970.080000000074506,9992469.300000000745058
20131007,2490706.560000000521541,2493446.979999999981374,2487521.819999999832362,2494772.440000000409782,9966447.800000000745058
20131008,2456034.879999999888241,2455221.030000000260770,2441448.539999999571592,2483446.060000000055879,9836150.509999999776483
20131009,2484630.080000000540167,2467234.899999999906868,2435689.379999999888241,2473281.359999999869615,9860835.720000000670552
20131010,2500357.440000000409782,2522935.570000000298023,2520636.990000000223517,2498838.320000000298023,10042768.320000000298023
20131011,2516442.240000000223517,2540410.290000000502914,2520157.059999999590218,2525266.540000000037253,10102276.130000000819564
20131014,2532884.479999999981374,2561161.520000000018626,2529755.660000000149012,2544143.839999999850988,10167945.500000000000000
20131015,2546467.199999999720603,2554608.500000000000000,2510558.459999999962747,2520619.820000000298023,10132253.980000000447035
20131016,2558977.600000000093132,2588465.770000000018626,2591666.629999999888241,2535721.660000000149012,10274831.660000000149012
20131017,2576134.719999999739230,2612493.510000000242144,2601745.160000000149012,2540658.800000000279397,10331032.190000001341105
20131018,2598653.440000000409782,2608124.830000000074506,2606064.529999999795109,2542691.740000000223517,10355534.540000000968575
20131021,2662277.760000000242144,2636521.250000000000000,2604624.740000000223517,2533398.300000000279397,10436822.050000000745058
20131022,2654771.520000000018626,2628876.060000000055879,2573429.289999999571592,2555179.800000000279397,10412256.669999999925494
20131023,2680507.199999999720603,2592834.449999999720603,2531675.379999999888241,2544434.260000000242144,10349451.289999999105930
20131024,2716251.199999999720603,2597203.130000000353903,2518717.269999999552965,2567958.280000000260770,10400129.879999998956919
20131025,2685868.800000000279397,2647442.949999999720603,2532635.240000000223517,2554889.379999999888241,10420836.370000001043081
20131028,2705885.440000000409782,2660548.990000000223517,2528315.869999999646097,2562440.300000000279397,10457190.600000001490116
20131029,2638329.280000000260770,2678023.709999999962747,2530715.519999999552965,2582769.700000000186265,10429838.210000000894070
20131030,2680507.199999999720603,2675839.370000000111759,2524476.430000000167638,2579284.660000000149012,10460107.660000000149012
20131031,2669069.120000000111759,2672562.859999999869615,2473603.849999999627471,2602808.680000000167638,10418044.509999999776483
20131101,2655486.400000000372529,2657272.479999999981374,2520157.059999999590218,2608617.080000000074506,10441533.019999999552965
20131104,2689800.640000000130385,2649627.290000000502914,2497600.349999999627471,2674832.839999999850988,10511861.120000001043081
20131105,2683009.280000000260770,2624507.380000000353903,2493280.979999999981374,2671638.220000000204891,10472435.860000001266599
20131106,2660133.120000000111759,2648535.120000000111759,2500479.930000000167638,2707359.879999999888241,10516508.050000000745058
20131107,2616882.879999999888241,2627783.890000000130385,2478883.079999999608845,2670766.959999999962747,10394316.809999998658895
20131108,2658345.920000000391155,2631060.399999999906868,2589746.910000000149012,2693129.300000000279397,10572282.530000001192093
20131111,2650482.240000000223517,2639797.760000000242144,2596465.930000000167638,2699808.959999999962747,10586554.890000000596046
20131112,2655486.400000000372529,2668194.180000000167638,2590226.839999999850988,2691386.780000000260770,10605294.199999999254942
20131113,2658703.359999999869615,2686761.070000000298023,2598385.649999999906868,2689063.420000000391155,10632913.500000000000000
20131114,2696949.440000000409782,2663825.500000000000000,2610863.829999999608845,2707359.879999999888241,10678998.649999998509884
20131115,2680864.640000000130385,2678023.709999999962747,2633420.539999999571592,2766895.979999999981374,10759204.869999999180436
20131118,2648337.600000000093132,2686761.070000000298023,2675174.450000000186265,2772123.540000000037253,10782396.660000000149012
20131119,2652984.320000000298023,2697682.770000000018626,2694851.579999999608845,2771252.280000000260770,10816770.949999999254942
