訓練日期,20171204 - 20180308
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12321368.120000001043081
真實報酬,2321368.120000001043081

夏普值報酬,0.223436812000000
夏普值風險,0.069331775453936
夏普值,3.222718739525868

預期報酬,42078.724552821244288
風險,283959.851737359655090
趨勢值,0.148185471626956
找到最佳解世代,1922
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),CSCO[4](2),
Stock#,BA[2](1),CSCO[4](2),
張數,18424,132978,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,94.879999999888241,27.200000000186265,
20171204,5121414.160000000149012,5015957.360000000335276,10137371.519999999552965
20171205,5076643.839999999850988,4961436.380000000819564,10038080.220000000670552
20171206,5126941.359999999403954,4974734.179999999701977,10101675.539999999105930
20171207,5195110.160000000149012,4973404.400000000372529,10168514.560000000521541
20171208,5267516.479999999515712,5001329.780000000260770,10268846.259999999776483
20171211,5217034.720000000670552,5047872.080000000074506,10264906.800000000745058
20171212,5341949.439999999478459,5041223.179999999701977,10383172.619999999180436
20171213,5376955.039999999105930,5073137.900000000372529,10450092.939999999478459
20171214,5414540.000000000000000,5039893.400000000372529,10454433.400000000372529
20171215,5415645.439999999478459,5078457.019999999552965,10494102.459999999031425
20171218,5456178.239999999292195,5117020.639999999664724,10573198.879999998956919
20171219,5476628.879999999888241,5093084.599999999627471,10569713.480000000447035
20171220,5488604.479999999515712,5151594.920000000856817,10640199.400000000372529
20171221,5435727.599999999627471,5123669.540000000037253,10559397.140000000596046
20171222,5437017.280000000260770,5126329.099999999627471,10563346.379999998956919
20171226,5441807.520000000484288,5117020.639999999664724,10558828.160000000149012
20171227,5446597.759999999776483,5127658.880000000819564,10574256.640000000596046
20171228,5460047.280000000260770,5131648.220000000670552,10591695.500000000000000
20171229,5433516.720000000670552,5093084.599999999627471,10526601.320000000298023
20180102,5469075.039999999105930,5167552.280000000260770,10636627.320000000298023
20180103,5486762.080000000074506,5208775.459999999962747,10695537.539999999105930
20180104,5465942.959999999962747,5184839.420000000856817,10650782.380000000819564
20180105,5690163.039999999105930,5256647.540000000037253,10946810.579999998211861
20180108,5714298.479999999515712,5311168.519999999552965,11025467.000000000000000
20180109,5866849.200000000186265,5277924.019999999552965,11144773.219999998807907
20180110,5900565.120000000111759,5307179.179999999701977,11207744.300000000745058
20180111,6045377.759999999776483,5332445.000000000000000,11377822.759999999776483
20180112,6194427.919999999925494,5434838.059999999590218,11629265.980000000447035
20180116,6175082.720000000670552,5390955.320000000298023,11566038.040000000968575
20180117,6467103.120000000111759,5478720.800000000745058,11945823.920000001788139
20180118,6267202.720000000670552,5492018.599999999627471,11759221.320000000298023
20180119,6222432.400000000372529,5490688.820000000298023,11713121.220000000670552
20180122,6227406.879999999888241,5539890.679999999701977,11767297.559999998658895
20180123,6183005.039999999105930,5598401.000000000000000,11781406.039999999105930
20180124,6166423.439999999478459,5607709.459999999962747,11774132.899999998509884
20180125,6321553.520000000484288,5571805.400000000372529,11893358.920000001788139
20180126,6323580.160000000149012,5659570.880000000819564,11983151.040000000968575
20180129,6279362.559999999590218,5698134.500000000000000,11977497.059999998658895
20180130,6222063.919999999925494,5618347.700000000186265,11840411.620000001043081
20180131,6529007.759999999776483,5523933.320000000298023,12052941.080000000074506
20180201,6576357.439999999478459,5545209.800000000745058,12121567.240000000223517
20180202,6428412.720000000670552,5442816.740000000223517,11871229.460000000894070
20180205,6059380.000000000000000,5156914.040000000037253,11216294.039999999105930
20180206,6281020.720000000670552,5341753.459999999962747,11622774.179999999701977
20180207,6413857.759999999776483,5364359.720000000670552,11778217.480000000447035
20180208,6073750.720000000670552,5155584.260000000707805,11229334.980000000447035
20180209,6132154.799999999813735,5256647.540000000037253,11388802.339999999850988
20180212,6334266.080000000074506,5398934.000000000000000,11733200.080000000074506
20180213,6322474.720000000670552,5482710.139999999664724,11805184.859999999403954
20180214,6353611.280000000260770,5597071.220000000670552,11950682.500000000000000
20180215,6567513.919999999925494,5861697.440000000409782,12429211.359999999403954
20180216,6541351.839999999850988,5894941.940000000409782,12436293.780000001192093
20180220,6510215.280000000260770,5859037.880000000819564,12369253.160000000149012
20180221,6492159.759999999776483,5759304.380000000819564,12251464.140000000596046
20180222,6557564.959999999962747,5710102.519999999552965,12267667.480000000447035
20180223,6571198.720000000670552,5851059.200000000186265,12422257.920000001788139
20180226,6696850.400000000372529,6031909.280000000260770,12728759.679999999701977
20180227,6718222.239999999292195,5989356.320000000298023,12707578.559999998658895
20180228,6673451.919999999925494,5954782.040000000037253,12628233.960000000894070
20180301,6442783.439999999478459,5824463.599999999627471,12267247.039999999105930
20180302,6350294.959999999962747,5859037.880000000819564,12209332.839999999850988
20180305,6499160.879999999888241,5920207.760000000707805,12419368.640000000596046
20180306,6428596.959999999962747,5889622.820000000298023,12318219.780000001192093
20180307,6393959.839999999850988,5877654.800000000745058,12271614.640000000596046
20180308,6425096.400000000372529,5896271.720000000670552,12321368.120000001043081
