訓練日期,20110204 - 20110509
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10814353.939999999478459
真實報酬,814353.939999999478459

夏普值報酬,0.072735394000000
夏普值風險,0.023961629841249
夏普值,3.035494433470785

預期報酬,13367.383794693856544
風險,89655.712270940086455
趨勢值,0.149096844541233
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](4),MCD[15](7),PFE[20](2),TRV[22](6),
Stock#,CVX[5](4),MCD[15](7),PFE[20](2),TRV[22](6),
張數,25691,33861,130412,43668,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,8.790000000037253,42.370000000111759,1.959999999962747,7.000000000000000,
20110204,2494861.799999999813735,2507449.419999999925494,2516953.560000000055879,2506986.879999999888241,10026251.660000000149012
20110207,2508991.850000000093132,2487132.820000000298023,2483046.439999999944121,2496943.239999999757856,9976114.349999999627471
20110208,2511047.129999999888241,2551807.330000000074506,2498695.879999999888241,2527510.840000000316650,10089061.179999999701977
20110209,2472510.629999999888241,2571108.100000000558794,2484350.560000000055879,2568122.080000000074506,10096091.370000001043081
20110210,2484328.490000000223517,2565351.730000000447035,2481742.320000000298023,2552838.280000000260770,10084260.820000000298023
20110211,2477905.740000000223517,2578218.910000000149012,2455659.919999999925494,2575982.320000000298023,10087766.890000000596046
20110214,2490751.240000000223517,2581605.009999999776483,2484350.560000000055879,2569432.120000000111759,10126138.929999999701977
20110215,2475079.729999999981374,2578557.520000000484288,2484350.560000000055879,2591702.800000000279397,10129690.610000001266599
20110216,2483300.850000000093132,2574155.589999999850988,2514345.320000000298023,2596506.280000000260770,10168308.039999999105930
20110217,2496403.260000000242144,2572801.150000000372529,2526082.399999999906868,2610480.040000000037253,10205766.850000001490116
20110218,2536224.310000000055879,2577880.299999999813735,2502608.240000000223517,2660261.560000000055879,10276974.410000000149012
20110222,2577329.909999999683350,2563320.070000000298023,2463484.640000000130385,2643231.040000000037253,10247365.660000000149012
20110223,2627427.359999999869615,2546050.959999999962747,2446531.080000000074506,2638427.560000000055879,10258436.960000000894070
20110224,2621261.520000000018626,2546728.179999999701977,2464788.759999999776483,2590829.439999999944121,10223607.899999998509884
20110225,2623059.889999999664724,2520655.209999999962747,2459572.279999999795109,2602619.800000000279397,10205907.179999999701977
20110228,2665450.040000000037253,2562642.850000000558794,2509128.839999999850988,2617030.239999999757856,10354251.970000000670552
20110301,2643612.690000000409782,2535892.660000000149012,2496087.640000000130385,2586025.959999999962747,10261618.949999999254942
