訓練日期,20120405 - 20120709
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11404185.250000000000000
真實報酬,1404185.250000000000000

夏普值報酬,0.131718525000000
夏普值風險,0.041571640259833
夏普值,3.168470721307275

預期報酬,19978.909411306252878
風險,115279.237755813490367
趨勢值,0.173308826465577
找到最佳解世代,2168
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](4),VZ[26](1),WMT[28](3),
Stock#,TRV[22](4),VZ[26](1),WMT[28](3),
張數,56287,86828,55315,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.859999999869615,6.080000000074506,51.100000000093132,
20120405,3314195.419999999925494,3269948.559999999590218,3356012.150000000372529,9940157.129999998956919
20120409,3267477.209999999497086,3252582.959999999962747,3326142.050000000279397,9846203.220000000670552
20120410,3250591.109999999869615,3195276.479999999981374,3315079.050000000279397,9760947.640000000596046
20120411,3274231.649999999906868,3245636.720000000204891,3307888.100000000093132,9827757.470000000670552
20120412,3326578.560000000055879,3260397.479999999981374,3326695.200000000186265,9913672.240000000223517
20120413,3271417.299999999813735,3235217.359999999869615,3306228.650000000372529,9812864.310000000521541
20120416,3329955.779999999795109,3249978.120000000111759,3351033.799999999813735,9930968.699999999254942
20120417,3376673.989999999757856,3276894.800000000279397,3422390.149999999906868,10075959.939999999478459
20120418,3347404.750000000000000,3269948.559999999590218,3432900.000000000000000,10050254.309999998658895
20120419,3472924.760000000242144,3312494.279999999795109,3415752.350000000093132,10201172.390000000596046
20120420,3532026.109999999869615,3362854.520000000018626,3454472.850000000093132,10349354.480000000447035
20120423,3541032.029999999795109,3348962.040000000037253,3293506.200000000186265,10183501.269999999552965
20120424,3566924.049999999813735,3429712.080000000074506,3195598.650000000372529,10192235.780000001192093
20120425,3590001.719999999739230,3427975.520000000018626,3172919.500000000000000,10190897.740000000223517
20120426,3645725.849999999627471,3485282.000000000000000,3260870.350000000093132,10391879.199999999254942
20120427,3602947.729999999981374,3493096.520000000018626,3265295.550000000279397,10361340.800000000745058
20120430,3620396.699999999254942,3506120.720000000204891,3258657.750000000000000,10385176.169999999925494
