訓練日期,20151124 - 20160229
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10605063.199999999254942
真實報酬,605063.199999999254942

夏普值報酬,0.051806320000000
夏普值風險,0.026524363785907
夏普值,1.953159759764937

預期報酬,11433.020768910488187
風險,142589.542486057354836
趨勢值,0.080181341279136
找到最佳解世代,4238
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
MCD[15](4),PG[21](3),WMT[28](1),
Stock#,MCD[15](4),PG[21](3),WMT[28](1),
張數,29119,43876,55315,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,81.069999999832362,73.280000000260770,51.100000000093132,
20151124,3327800.389999999664724,3354393.480000000447035,3314525.900000000372529,9996720.769999999552965
20151125,3331294.669999999925494,3330261.680000000633299,3332226.700000000186265,9993784.050000000745058
20151127,3326344.439999999944121,3321486.480000000447035,3312866.450000000186265,9960698.370000001043081
20151130,3324306.109999999869615,3283753.120000000577420,3254785.700000000186265,9862845.929999999701977
20151201,3332750.620000000111759,3332016.720000000204891,3263082.950000000186265,9927851.289999999105930
20151202,3311493.750000000000000,3325435.320000000763685,3227681.350000000093132,9864611.419999999925494
20151203,3301884.479999999981374,3323241.520000000018626,3265848.700000000186265,9890975.699999999254942
20151204,3383708.870000000111759,3414942.360000000335276,3300144.000000000000000,10098796.230000000447035
20151207,3390115.049999999813735,3438635.400000000372529,3346608.600000000093132,10175360.050000000745058
20151208,3393318.139999999664724,3411432.280000000260770,3297378.250000000000000,10102129.669999999925494
20151209,3394774.089999999850988,3409238.480000000447035,3270827.050000000279397,10074840.620000001043081
20151210,3412827.870000000111759,3413187.320000000763685,3294612.500000000000000,10120628.690000001341105
20151211,3380214.589999999850988,3412748.560000000521541,3283549.500000000000000,10076513.650000000372529
20151214,3385456.009999999776483,3435125.320000000763685,3340523.950000000186265,10161106.280000001192093
20151215,3404965.740000000223517,3496112.960000000428408,3299037.700000000186265,10200117.400000002235174
20151216,3431464.029999999795109,3553590.520000000018626,3335545.600000000093132,10320601.150000000372529
20151217,3421563.569999999832362,3522877.320000000763685,3262529.799999999813735,10206971.690000001341105
20151218,3397103.609999999869615,3428105.160000000149012,3255338.850000000093132,10080548.619999999180436
20151221,3427096.179999999701977,3464083.480000000447035,3294059.350000000093132,10185240.009999999776483
20151222,3427969.750000000000000,3492602.879999999888241,3348821.200000000186265,10269394.830000000074506
20151223,3459418.269999999552965,3506643.200000000186265,3379244.450000000186265,10345306.919999999925494
20151224,3452720.899999999441206,3500939.320000000763685,3364862.549999999813735,10318523.769999999552965
20151228,3457962.319999999832362,3506643.200000000186265,3360437.350000000093132,10325043.869999999180436
20151229,3496399.399999999441206,3525948.640000000130385,3408008.250000000000000,10430357.289999999105930
20151230,3477763.240000000223517,3513224.600000000093132,3411880.300000000279397,10402869.140000000596046
20151231,3440199.729999999981374,3484266.439999999944121,3390860.600000000093132,10315327.769999999552965
20160104,3423893.089999999850988,3438635.400000000372529,3399711.000000000000000,10262240.490000000223517
20160105,3471065.870000000111759,3449604.400000000372529,3480470.900000000372529,10401142.170000001788139
20160106,3447770.669999999925494,3416258.640000000130385,3515319.350000000093132,10379349.660000000149012
20160107,3367984.609999999869615,3386422.960000000428408,3597185.550000000279397,10351594.120000001043081
20160108,3362743.189999999944121,3333333.000000000000000,3514766.200000000186265,10210843.390000000596046
20160111,3397977.179999999701977,3364046.200000000186265,3552380.399999999906868,10314404.779999999329448
20160112,3419816.429999999701977,3357026.040000000502914,3519191.399999999906868,10296034.870000001043081
20160113,3352260.350000000093132,3328067.879999999888241,3425155.900000000372529,10105485.130000000819564
20160114,3395938.850000000093132,3341230.680000000633299,3488215.000000000000000,10225385.530000001192093
20160115,3354007.490000000223517,3289895.760000000242144,3425709.050000000279397,10069613.300000000745058
20160119,3421563.569999999832362,3366678.760000000242144,3460557.500000000000000,10248800.830000000074506
20160120,3371478.889999999664724,3327190.360000000335276,3365415.700000000186265,10064085.949999999254942
20160121,3431464.029999999795109,3366240.000000000000000,3422943.300000000279397,10220648.330000000074506
20160122,3447770.669999999925494,3394320.640000000130385,3467748.450000000186265,10309840.760000001639128
20160125,3471065.870000000111759,3371943.879999999888241,3509787.850000000093132,10352798.599999999627471
20160126,3506882.240000000223517,3457940.840000000316650,3540211.100000000093132,10505035.179999999701977
20160127,3519694.600000000093132,3457502.080000000074506,3537445.350000000093132,10514643.029999999329448
20160128,3563664.289999999571592,3502255.600000000093132,3552380.399999999906868,10618301.289999999105930
20160129,3604430.889999999664724,3584303.720000000204891,3670754.500000000000000,10859490.109999999403954
20160201,3628599.659999999683350,3559294.400000000372529,3733813.600000000093132,10921708.660000000149012
20160202,3609381.120000000111759,3519806.000000000000000,3698412.000000000000000,10827600.120000001043081
20160203,3537166.000000000000000,3558416.879999999888241,3665776.149999999906868,10761360.029999999329448
20160204,3513579.609999999869615,3540866.480000000447035,3674073.400000000372529,10728520.490000000223517
20160205,3360413.669999999925494,3562804.480000000447035,3706156.100000000093132,10629375.250000000000000
20160208,3379341.019999999552965,3625108.400000000372529,3700624.600000000558794,10705075.019999999552965
20160209,3407295.259999999776483,3625985.920000000391155,3640331.250000000000000,10673613.429999999701977
20160210,3422728.330000000074506,3581232.400000000372529,3639224.950000000651926,10643186.680000001564622
20160211,3399141.939999999944121,3505765.680000000633299,3613226.899999999906868,10518135.520000001415610
20160212,3434084.740000000223517,3553590.520000000018626,3660797.800000000279397,10648474.060000000521541
20160216,3470483.490000000223517,3574651.000000000000000,3645309.600000000558794,10690445.089999999850988
20160217,3454759.229999999981374,3617649.480000000447035,3656925.750000000000000,10729335.460000000894070
20160218,3411954.299999999813735,3597027.760000000242144,3546848.900000000372529,10555831.960000000894070
20160219,3393318.139999999664724,3588691.320000000763685,3576719.000000000000000,10558729.460000000894070
20160222,3426513.799999999813735,3603609.160000000149012,3630374.549999999813735,10660498.509999999776483
20160223,3404092.169999999925494,3589568.840000000316650,3677392.300000000279397,10671054.310000000521541
20160224,3408751.209999999962747,3578599.840000000316650,3712793.900000000372529,10700145.950000001117587
20160225,3446897.100000000093132,3612823.120000000577420,3763683.700000000651926,10823404.920000001788139
