訓練日期,20160714 - 20161013
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10840765.259999999776483
真實報酬,840765.259999999776483

夏普值報酬,0.075376526000000
夏普值風險,0.025010087976313
夏普值,3.013844896163020

預期報酬,14788.517270805547014
風險,72859.805968649030547
趨勢值,0.202972229670347
找到最佳解世代,1936
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
Stock#,AAPL[0](2),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
張數,20646,57126,31665,23285,25819,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,21.979999999981374,18.740000000223517,38.600000000093132,51.350000000093132,60.260000000242144,
20160714,2039640.320000000065193,2010853.940000000409782,2030398.400000000139698,1999534.300000000279397,2017556.920000000158325,10097983.880000000819564
20160715,2039433.860000000102445,2003427.560000000288710,2032298.300000000279397,2002794.200000000186265,2021687.960000000195578,10099641.880000000819564
20160718,2061112.159999999916181,2002285.040000000037253,2025332.000000000232831,2000931.400000000139698,2021946.150000000372529,10111606.750000000000000
20160719,2061938.000000000000000,2007997.640000000130385,2022165.500000000000000,2006519.800000000046566,2032531.940000000176951,10131152.880000000819564
20160720,2063796.139999999897555,2038845.680000000167638,2024382.050000000046566,1986727.550000000046566,2049056.100000000325963,10162807.519999999552965
20160721,2052853.760000000009313,1957726.760000000474975,2016782.449999999953434,1985330.450000000186265,2034339.270000000484288,10047032.690000001341105
20160722,2036956.339999999850988,1980005.900000000139698,2027865.200000000186265,1996041.550000000046566,2063256.550000000046566,10104125.540000000968575
20160725,2009703.620000000111759,1981719.680000000167638,2022482.149999999906868,1997904.350000000093132,2038212.120000000111759,10050021.920000001788139
20160726,1995870.800000000046566,2004570.080000000307336,2030715.050000000046566,1985563.300000000046566,2026593.570000000065193,10043312.800000000745058
20160727,2125527.680000000167638,1989717.320000000065193,2037048.050000000046566,1966702.449999999953434,2027626.330000000307336,10146621.830000000074506
20160728,2154225.620000000111759,1986289.760000000474975,2029765.099999999860302,1974852.200000000186265,2044666.870000000111759,10189799.550000000745058
20160729,2151541.639999999664724,1991431.100000000093132,2025648.650000000139698,1993014.500000000232831,2015233.210000000195578,10176869.099999999627471
20160801,2189530.279999999795109,1990859.840000000316650,2020265.600000000093132,2012108.199999999953434,2020655.200000000419095,10233419.120000001043081
20160802,2157116.060000000055879,1974293.300000000279397,2015515.850000000093132,2020257.950000000186265,2021171.580000000307336,10188354.740000002086163
20160803,2184162.320000000298023,1956584.240000000223517,2047497.500000000000000,2001862.800000000046566,2032273.750000000000000,10222380.609999999403954
20160804,2185814.000000000000000,1975435.820000000065193,2044331.000000000232831,2003725.600000000093132,2052154.380000000353903,10261460.800000000745058
20160805,2219054.060000000055879,1998286.219999999972060,2099428.100000000093132,1997438.650000000139698,2069194.920000000158325,10383401.950000001117587
20160808,2237429.000000000000000,2001713.780000000260770,2093095.099999999860302,1996972.950000000186265,2064289.310000000288710,10393500.140000000596046
20160809,2246513.240000000223517,1994858.660000000381842,2085812.150000000139698,2002328.500000000000000,2067129.400000000372529,10396641.950000001117587
20160810,2229789.979999999981374,1972579.520000000251457,2067129.800000000046566,2009779.700000000186265,2057318.180000000400469,10336597.179999999701977
20160811,2228344.760000000242144,1981148.420000000158325,2072829.500000000000000,2019559.400000000139698,2068678.540000000270084,10370560.620000001043081
20160812,2233506.260000000242144,1974864.560000000288710,2068396.399999999906868,2026777.750000000232831,2066096.640000000130385,10369641.610000001266599
20160815,2260346.060000000055879,1994287.400000000139698,2081062.400000000139698,2026312.050000000046566,2089075.550000000046566,10451083.460000000894070
20160816,2258281.459999999962747,2011425.200000000186265,2080745.750000000000000,2016066.650000000139698,2086493.650000000372529,10453012.710000000894070
20160817,2254978.100000000093132,2000571.260000000474975,2086445.450000000186265,2024914.949999999953434,2087268.220000000437722,10454177.980000000447035
20160818,2252087.660000000149012,1997714.960000000195578,2088345.350000000093132,2036091.750000000000000,2072551.390000000130385,10446791.110000001266599
20160819,2257868.540000000037253,2013138.980000000447035,2085495.500000000000000,2033064.700000000186265,2077715.190000000176951,10467282.910000000149012
20160822,2240319.439999999944121,2019994.100000000093132,2083595.600000000093132,2022353.599999999860302,2092948.400000000372529,10459211.140000000596046
20160823,2247339.080000000074506,2022279.140000000130385,2082645.649999999906868,2035160.350000000325963,2086235.460000000195578,10473659.680000001564622
20160824,2230409.359999999869615,2007997.640000000130385,2088345.350000000093132,2033064.700000000186265,2073067.770000000484288,10432884.820000000298023
20160825,2220912.199999999720603,2004570.080000000307336,2092145.149999999906868,2046802.850000000325963,2073842.340000000083819,10438272.620000001043081
20160826,2207905.219999999739230,2014281.500000000000000,2096894.900000000139698,2039351.650000000139698,2080297.090000000083819,10438730.360000001266599
20160829,2205427.699999999720603,2030848.040000000037253,2120010.350000000093132,2056116.850000000093132,2088042.790000000270084,10500445.730000000447035
20160830,2188497.979999999981374,2039416.940000000409782,2137426.100000000093132,2038420.250000000232831,2095788.490000000223517,10499549.759999999776483
20160831,2190562.580000000074506,2050270.880000000353903,2137426.100000000093132,2033064.700000000186265,2088817.360000000335276,10500141.620000001043081
20160901,2203569.560000000055879,2057697.260000000474975,2128243.250000000000000,2056349.700000000186265,2099144.959999999962747,10545004.730000000447035
20160902,2224215.560000000055879,2061124.820000000065193,2137109.449999999720603,2053788.350000000093132,2117218.260000000242144,10593456.439999999478459
20160906,2223596.180000000167638,2089116.560000000288710,2135526.200000000186265,2064033.750000000000000,2130902.330000000074506,10643175.020000001415610
20160907,2237222.540000000037253,2082832.700000000186265,2126660.000000000000000,2047967.100000000093132,2149233.820000000298023,10643916.160000000149012
20160908,2178587.899999999906868,2081690.180000000167638,2129509.850000000093132,2044008.650000000139698,2142262.690000000409782,10576059.269999999552965
20160909,2129243.959999999962747,2024564.180000000167638,2110510.850000000093132,2008149.750000000000000,2099919.530000000260770,10372388.269999999552965
20160912,2176936.219999999739230,2061124.820000000065193,2123493.500000000000000,2054952.600000000093132,2142262.690000000409782,10558769.830000001937151
20160913,2228757.680000000167638,2034275.600000000093132,2106711.050000000279397,2027010.600000000093132,2114378.170000000391155,10511133.099999999627471
20160914,2307625.399999999906868,2034846.860000000102445,2102594.600000000093132,2026079.200000000186265,2104050.570000000298023,10575196.629999998956919
